onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.0218997,0.08146359,71,46,1,0,n0,-10.0,-10.0
2.1274018,0.058760624,69,55,1,0,n1,2.0219,-1.0
2.2302327,0.056089688,68,58,1,0,n2,2.0219,-1.0
2.3370702,0.10016016,69,61,1,0,n3,2.0219,-1.0
2.461269,0.1068375,57,42,1,0,n4,2.461269,0.0
2.461269,0.213675,72,54,1,0,n5,2.461269,0.0
2.6669312,0.042735,60,35,1,0,n6,2.461269,0.0
2.6816213,0.038728595,64,34,1,0,n7,2.461269,0.0
2.860574,0.05208328,60,48,1,0,n8,2.461269,0.0
2.863245,0.07745719,74,60,1,0,n9,2.863245,1.0
2.8752642,0.04540594,64,32,1,0,n10,2.863245,1.0
2.9634051,0.08279906,72,56,1,0,n11,2.863245,1.0
3.0662363,0.049412344,60,45,1,0,n12,2.863245,1.0
3.0675716,0.05074781,64,48,1,0,n13,2.863245,1.0
3.0689073,0.05074781,71,61,1,0,n14,2.863245,1.0
3.1637254,0.10817297,72,68,1,0,n15,2.863245,1.0
3.2612147,0.1068375,57,49,1,0,n16,2.863245,1.0
3.2812467,0.20833312,76,65,1,0,n17,3.271231,2.0
3.4575286,0.042735,60,50,1,0,n18,3.271231,2.0
3.4735541,0.040064063,64,50,1,0,n19,3.271231,2.0
3.6538424,0.05475422,64,48,1,0,n20,3.271231,2.0
3.655178,0.06677344,77,56,1,0,n21,3.655178,3.0
3.6591845,0.037393127,60,44,1,0,n22,3.655178,3.0
3.7366416,0.07211531,76,64,1,0,n23,3.655178,3.0
3.8354661,0.06143156,75,63,1,0,n24,3.655178,3.0
3.8501563,0.04540594,60,45,1,0,n25,3.655178,3.0
3.863511,0.05341875,64,42,1,0,n26,3.655178,3.0
3.928949,0.04139953,76,70,1,0,n27,3.655178,3.0
4.0304446,0.093482815,83,68,1,0,n28,3.655178,3.0
4.0357866,0.06143156,57,54,1,0,n29,4.033116,4.0
4.133276,0.080128126,81,70,1,0,n30,4.033116,4.0
4.204056,0.065437965,60,55,1,0,n31,4.033116,4.0
4.2200813,0.05341875,64,41,1,0,n32,4.033116,4.0
4.221417,0.09214734,80,73,1,0,n33,4.033116,4.0
4.3255835,0.08146359,81,76,1,0,n34,4.033116,4.0
4.412389,0.10149562,83,72,1,0,n35,4.033116,4.0
4.416395,0.05074781,57,55,1,0,n36,4.414392,5.0
4.5152197,0.07612172,81,80,1,0,n37,4.414392,5.0
4.595348,0.046741407,60,48,1,0,n38,4.414392,5.0
4.60069,0.08547,80,77,1,0,n39,4.414392,5.0
4.6113734,0.06276703,64,48,1,0,n40,4.414392,5.0
4.6861596,0.112179376,81,83,1,0,n41,4.414392,5.0
4.8050165,0.33520266,84,79,1,0,n42,4.414392,5.0
4.8076873,0.30448687,57,53,1,0,n43,4.8063526,6.0
4.999995,0.060096093,60,55,1,0,n44,4.8063526,6.0
5.020027,0.05341875,64,51,1,0,n45,4.8063526,6.0
5.210999,0.060096093,81,77,1,0,n46,4.8063526,6.0
5.2256894,0.042735,60,47,1,0,n47,5.225689,7.0
5.231031,0.05074781,64,45,1,0,n48,5.225689,7.0
5.3912873,0.044070467,84,79,1,0,n49,5.225689,7.0
5.404642,0.036057655,60,63,1,0,n50,5.225689,7.0
5.4460416,0.049412344,64,16,1,0,n51,5.225689,7.0
5.57024,0.06810891,79,74,1,0,n52,5.225689,7.0
5.598285,0.084134534,81,87,1,0,n53,5.5862656,8.0
5.6022916,0.080128126,52,69,1,0,n54,5.5862656,8.0
5.615646,0.065437965,83,82,1,0,n55,5.5862656,8.0
5.831992,0.036057655,81,55,1,0,n56,5.5862656,8.0
5.8413405,0.044070467,59,49,1,0,n57,5.5862656,8.0
5.8426757,0.03338672,78,55,1,0,n58,5.5862656,8.0
5.8493533,0.038728595,64,37,1,0,n59,5.5862656,8.0
6.034983,0.048076876,59,57,1,0,n60,5.5862656,8.0
6.036319,0.05208328,64,50,1,0,n61,5.5862656,8.0
6.040325,0.036057655,76,64,1,0,n62,6.038322,9.0
6.060357,0.029380312,79,52,1,0,n63,6.038322,9.0
6.2206135,0.04540594,81,77,1,0,n64,6.038322,9.0
6.221949,0.056089688,59,55,1,0,n65,6.038322,9.0
6.2232842,0.049412344,64,48,1,0,n66,6.038322,9.0
6.2259555,0.03338672,78,66,1,0,n67,6.038322,9.0
6.390218,0.078792654,79,85,1,0,n68,6.038322,9.0
6.407579,0.08680547,81,83,1,0,n69,6.402905,10.0
6.4155917,0.088140935,52,72,1,0,n70,6.402905,10.0
6.4342885,0.088140935,83,91,1,0,n71,6.402905,10.0
6.6292667,0.060096093,81,71,1,0,n72,6.402905,10.0
6.6359444,0.048076876,59,52,1,0,n73,6.402905,10.0
6.646628,0.037393127,64,38,1,0,n74,6.402905,10.0
6.6492987,0.025373906,78,56,1,0,n75,6.402905,10.0
6.826916,0.042735,76,68,1,0,n76,6.402905,10.0
6.828252,0.044070467,79,67,1,0,n77,6.402905,10.0
6.8335934,0.04540594,59,55,1,0,n78,6.830923,11.0
6.834929,0.05074781,64,49,1,0,n79,6.830923,11.0
7.0192237,0.048076876,64,56,1,0,n80,6.830923,11.0
7.0218945,0.05341875,59,58,1,0,n81,6.830923,11.0
7.033914,0.040064063,81,60,1,0,n82,6.830923,11.0
7.041927,0.03338672,78,43,1,0,n83,6.830923,11.0
7.059288,0.037393127,83,42,1,0,n84,6.830923,11.0
7.186157,0.09214734,79,92,1,0,n85,6.830923,11.0
7.202183,0.078792654,81,69,1,0,n86,6.830923,11.0
7.2208796,0.057425156,52,71,1,0,n87,7.2035184,12.0
7.2435827,0.12686953,83,73,1,0,n88,7.2035184,12.0
7.4091806,0.10416656,81,79,1,0,n89,7.2035184,12.0
7.418529,0.058760624,78,76,1,0,n90,7.2035184,12.0
7.4292126,0.03338672,59,66,1,0,n91,7.2035184,12.0
7.609501,0.034722187,79,75,1,0,n92,7.2035184,12.0
7.6175137,0.042735,76,66,1,0,n93,7.2035184,12.0
7.6281977,0.03205125,47,56,1,0,n94,7.617514,13.0
7.820505,0.057425156,78,70,1,0,n95,7.617514,13.0
7.823176,0.036057655,75,66,1,0,n96,7.617514,13.0
7.8365307,0.03338672,59,48,1,0,n97,7.617514,13.0
8.0742445,0.036057655,76,59,1,0,n98,7.617514,13.0
8.09027,0.40064064,52,51,1,0,n99,8.082257,14.0
8.497587,0.06677344,71,49,1,0,n100,8.082257,14.0
8.5843935,0.05475422,69,55,1,0,n101,8.497588,15.0
8.680547,0.06143156,68,57,1,0,n102,8.497588,15.0
8.783378,0.08680547,69,59,1,0,n103,8.497588,15.0
8.906241,0.22970062,72,59,1,0,n104,8.497588,15.0
8.916924,0.09882469,57,49,1,0,n105,8.911583,16.0
9.131935,0.05074781,60,43,1,0,n106,8.911583,16.0
9.138613,0.05475422,64,41,1,0,n107,8.911583,16.0
9.31623,0.07612172,74,61,1,0,n108,8.911583,16.0
9.337598,0.036057655,60,45,1,0,n109,9.337598,17.0
9.341604,0.046741407,64,43,1,0,n110,9.337598,17.0
9.400365,0.07745719,72,63,1,0,n111,9.337598,17.0
9.496518,0.05074781,71,57,1,0,n112,9.337598,17.0
9.5005245,0.044070467,60,50,1,0,n113,9.337598,17.0
9.519221,0.05208328,64,49,1,0,n114,9.337598,17.0
9.577982,0.09882469,72,65,1,0,n115,9.337598,17.0
9.696838,0.24706171,76,64,1,0,n116,9.337598,17.0
9.706187,0.09214734,57,51,1,0,n117,9.701513,18.0
9.894488,0.046741407,60,53,1,0,n118,9.701513,18.0
9.907843,0.04540594,64,45,1,0,n119,9.701513,18.0
10.097479,0.084134534,77,68,1,0,n120,9.701513,18.0
10.102821,0.05341875,64,49,1,0,n121,10.102821,19.0
10.108163,0.037393127,60,44,1,0,n122,10.102821,19.0
10.189627,0.07345078,76,67,1,0,n123,10.102821,19.0
10.280438,0.05074781,60,52,1,0,n124,10.102821,19.0
10.284445,0.07345078,75,68,1,0,n125,10.102821,19.0
10.293793,0.05208328,64,47,1,0,n126,10.102821,19.0
10.383269,0.04540594,76,69,1,0,n127,10.102821,19.0
10.470075,0.057425156,57,57,1,0,n128,10.470075,20.0
10.470075,0.080128126,83,70,1,0,n129,10.470075,20.0
10.576913,0.07612172,81,63,1,0,n130,10.470075,20.0
10.653034,0.05475422,60,52,1,0,n131,10.470075,20.0
10.662382,0.05208328,64,43,1,0,n132,10.470075,20.0
10.662382,0.08146359,80,73,1,0,n133,10.470075,20.0
10.765214,0.07345078,81,68,1,0,n134,10.470075,20.0
10.848013,0.097489215,83,71,1,0,n135,10.470075,20.0
10.873386,0.05074781,57,52,1,0,n136,10.8607,21.0
10.953515,0.08279906,81,73,1,0,n137,10.8607,21.0
11.041656,0.09481828,80,73,1,0,n138,10.8607,21.0
11.092403,0.05475422,60,21,1,0,n139,10.8607,21.0
11.095075,0.058760624,64,33,1,0,n140,10.8607,21.0
11.148493,0.116185784,81,74,1,0,n141,10.8607,21.0
11.283376,0.32986078,84,68,1,0,n142,10.8607,21.0
11.298065,0.24973266,57,36,1,0,n143,11.290721,22.0
11.4890375,0.05341875,60,50,1,0,n144,11.290721,22.0
11.510406,0.044070467,64,34,1,0,n145,11.290721,22.0
11.689358,0.04540594,81,75,1,0,n146,11.290721,22.0
11.6947,0.046741407,60,51,1,0,n147,11.6947,23.0
11.697371,0.056089688,64,48,1,0,n148,11.6947,23.0
11.889678,0.038728595,84,76,1,0,n149,11.6947,23.0
11.893684,0.038728595,60,53,1,0,n150,11.6947,23.0
11.923065,0.049412344,64,20,1,0,n151,11.6947,23.0
12.060618,0.07345078,79,73,1,0,n152,11.6947,23.0
12.094005,0.06276703,52,64,1,0,n153,12.0773115,24.0
12.095341,0.06677344,81,79,1,0,n154,12.0773115,24.0
12.111366,0.06810891,83,85,1,0,n155,12.0773115,24.0
12.329047,0.04139953,59,48,1,0,n156,12.0773115,24.0
12.329047,0.034722187,64,47,1,0,n157,12.0773115,24.0
12.33706,0.038728595,78,67,1,0,n158,12.0773115,24.0
12.338396,0.042735,81,63,1,0,n159,12.0773115,24.0
12.52002,0.049412344,59,57,1,0,n160,12.0773115,24.0
12.524026,0.05074781,79,76,1,0,n161,12.0773115,24.0
12.529367,0.046741407,64,45,1,0,n162,12.526697,25.0
12.529367,0.040064063,76,65,1,0,n163,12.526697,25.0
12.719005,0.05341875,81,81,1,0,n164,12.526697,25.0
12.721675,0.05341875,59,60,1,0,n165,12.526697,25.0
12.723011,0.04540594,64,48,1,0,n166,12.526697,25.0
12.752391,0.042735,78,33,1,0,n167,12.526697,25.0
12.879261,0.09615375,79,89,1,0,n168,12.526697,25.0
12.909976,0.10550203,81,80,1,0,n169,12.901964,26.0
12.924666,0.06944437,52,69,1,0,n170,12.901964,26.0
12.938022,0.10016016,83,88,1,0,n171,12.901964,26.0
13.138342,0.06810891,81,76,1,0,n172,12.901964,26.0
13.14769,0.05475422,59,58,1,0,n173,12.901964,26.0
13.150361,0.036057655,78,66,1,0,n174,12.901964,26.0
13.16238,0.036057655,64,34,1,0,n175,12.901964,26.0
13.337326,0.0641025,79,84,1,0,n176,12.901964,26.0
13.344004,0.040064063,76,66,1,0,n177,12.901964,26.0
13.349345,0.058760624,64,50,1,0,n178,13.346675,27.0
13.357358,0.042735,59,54,1,0,n179,13.346675,27.0
13.537646,0.044070467,64,55,1,0,n180,13.346675,27.0
13.537646,0.0641025,81,80,1,0,n181,13.346675,27.0
13.538982,0.057425156,59,58,1,0,n182,13.346675,27.0
13.544324,0.03338672,78,70,1,0,n183,13.346675,27.0
13.695232,0.09882469,79,93,1,0,n184,13.346675,27.0
13.715264,0.08947641,81,85,1,0,n185,13.346675,27.0
13.736631,0.06677344,52,71,1,0,n186,13.715932,28.0
13.756663,0.10016016,83,87,1,0,n187,13.715932,28.0
13.934281,0.10016016,81,74,1,0,n188,13.715932,28.0
13.938288,0.05341875,78,72,1,0,n189,13.715932,28.0
13.950307,0.036057655,59,62,1,0,n190,13.715932,28.0
14.149291,0.036057655,79,67,1,0,n191,13.715932,28.0
14.153297,0.05074781,76,58,1,0,n192,13.715932,28.0
14.15864,0.034722187,47,54,1,0,n193,14.153298,29.0
14.373651,0.05208328,78,62,1,0,n194,14.153298,29.0
14.38567,0.034722187,59,43,1,0,n195,14.153298,29.0
14.395018,0.040064063,75,34,1,0,n196,14.153298,29.0
14.603351,0.15758531,76,65,1,0,n197,14.153298,29.0
14.619376,0.39396328,52,44,1,0,n198,14.611363,30.0
15.024023,0.046741407,76,82,1,0,n199,14.611363,30.0
15.029366,0.036057655,72,72,1,0,n200,15.026694,31.0
15.232357,0.065437965,77,84,1,0,n201,15.026694,31.0
15.24037,0.03338672,74,74,1,0,n202,15.026694,31.0
15.435348,0.05074781,76,83,1,0,n203,15.026694,31.0
15.436684,0.0641025,79,84,1,0,n204,15.436683,32.0
15.439354,0.048076876,48,70,1,0,n205,15.436683,32.0
15.637004,0.060096093,79,84,1,0,n206,15.436683,32.0
15.642345,0.037393127,76,83,1,0,n207,15.436683,32.0
15.653029,0.05341875,60,58,1,0,n208,15.436683,32.0
15.854685,0.10950844,81,76,1,0,n209,15.436683,32.0
15.860027,0.040064063,52,61,1,0,n210,15.857356,33.0
15.944161,0.1068375,79,75,1,0,n211,15.857356,33.0
16.046993,0.093482815,77,80,1,0,n212,15.857356,33.0
16.076372,0.05208328,64,58,1,0,n213,15.857356,33.0
16.143147,0.057425156,76,83,1,0,n214,15.857356,33.0
16.259333,0.34989282,55,69,1,0,n215,15.857356,33.0
16.260668,0.34855735,74,71,1,0,n216,16.260668,34.0
16.263338,0.3458864,71,79,1,0,n217,16.260668,34.0
16.291384,0.034722187,72,54,1,0,n218,16.260668,34.0
16.47835,0.13087593,67,82,1,0,n219,16.260668,34.0
16.685347,0.048076876,72,77,1,0,n220,16.260668,34.0
16.688017,0.040064063,76,82,1,0,n221,16.686682,35.0
16.885668,0.06944437,77,91,1,0,n222,16.686682,35.0
16.887003,0.04139953,74,79,1,0,n223,16.686682,35.0
17.092665,0.07345078,79,88,1,0,n224,16.686682,35.0
17.099342,0.05475422,76,86,1,0,n225,17.099342,36.0
17.102013,0.04540594,48,70,1,0,n226,17.099342,36.0
17.298326,0.06143156,79,86,1,0,n227,17.099342,36.0
17.299662,0.05074781,76,87,1,0,n228,17.099342,36.0
17.30901,0.05475422,60,63,1,0,n229,17.099342,36.0
17.52135,0.040064063,52,61,1,0,n230,17.099342,36.0
17.528027,0.1068375,81,74,1,0,n231,17.524689,37.0
17.620174,0.10016016,79,73,1,0,n232,17.524689,37.0
17.720335,0.05074781,64,54,1,0,n233,17.524689,37.0
17.72434,0.08547,77,74,1,0,n234,17.524689,37.0
17.82183,0.06143156,76,75,1,0,n235,17.524689,37.0
17.94603,0.4447111,55,48,1,0,n236,17.524689,37.0
17.947365,0.44337562,74,72,1,0,n237,17.947365,38.0
17.955378,0.43536282,71,70,1,0,n238,17.947365,38.0
18.406765,0.038728595,72,63,1,0,n239,17.947365,38.0
18.410772,0.04139953,69,59,1,0,n240,18.40877,39.0
18.615099,0.05475422,74,68,1,0,n241,18.40877,39.0
18.620441,0.034722187,71,57,1,0,n242,18.40877,39.0
18.824768,0.05475422,76,70,1,0,n243,18.40877,39.0
18.827438,0.042735,72,65,1,0,n244,18.827438,40.0
18.830109,0.037393127,45,47,1,0,n245,18.827438,40.0
19.043785,0.044070467,72,63,1,0,n246,18.827438,40.0
19.04512,0.06143156,76,74,1,0,n247,18.827438,40.0
19.051798,0.049412344,57,56,1,0,n248,18.827438,40.0
19.261465,0.036057655,48,46,1,0,n249,18.827438,40.0
19.27215,0.093482815,77,64,1,0,n250,19.266808,41.0
19.368303,0.06276703,76,61,1,0,n251,19.266808,41.0
19.464457,0.06276703,60,40,1,0,n252,19.266808,41.0
19.468464,0.07211531,74,64,1,0,n253,19.266808,41.0
19.583313,0.036057655,72,59,1,0,n254,19.266808,41.0
19.6995,0.39529875,52,45,1,0,n255,19.266808,41.0
19.700834,0.39396328,71,57,1,0,n256,19.700834,42.0
19.708847,0.07745719,68,54,1,0,n257,19.700834,42.0
19.942554,0.15224344,64,59,1,0,n258,19.700834,42.0
20.172255,0.044070467,72,59,1,0,n259,19.700834,42.0
20.173592,0.05074781,69,57,1,0,n260,20.172922,43.0
20.379253,0.056089688,74,65,1,0,n261,20.172922,43.0
20.393944,0.03338672,71,45,1,0,n262,20.172922,43.0
20.591593,0.037393127,45,46,1,0,n263,20.172922,43.0
20.594263,0.048076876,76,65,1,0,n264,20.594263,44.0
20.602276,0.029380312,72,53,1,0,n265,20.594263,44.0
20.811945,0.0641025,76,73,1,0,n266,20.594263,44.0
20.817287,0.042735,72,49,1,0,n267,20.594263,44.0
20.821293,0.046741407,57,53,1,0,n268,20.594263,44.0
21.053665,0.097489215,77,59,1,0,n269,20.594263,44.0
21.056335,0.03338672,48,38,1,0,n270,21.055,45.0
