onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.0375,1.2114583,65,49,1,0,n0,-10.0,-10.0
1.0729166,1.1760417,53,23,1,0,n1,1.055208,0.0
1.2427083,1.00625,57,37,1,0,n2,1.055208,0.0
1.4572917,0.7916667,60,36,1,0,n3,1.055208,0.0
1.6208333,0.628125,57,46,1,0,n4,1.457292,1.0
1.78125,0.46770832,69,58,1,0,n5,1.457292,1.0
1.8145833,0.434375,60,43,1,0,n6,1.797917,2.0
1.9979167,0.25104168,57,47,1,0,n7,1.797917,2.0
2.178125,1.190625,72,69,1,0,n8,1.797917,2.0
2.1875,1.18125,53,47,1,0,n9,2.182812,3.0
2.3947916,0.16458334,60,49,1,0,n10,2.182812,3.0
2.6125,0.75625,63,41,1,0,n11,2.6125,4.0
2.7427084,0.62604165,60,53,1,0,n12,2.6125,4.0
2.9354167,0.43333334,69,71,1,0,n13,2.6125,4.0
2.95625,0.4125,63,54,1,0,n14,2.945833,5.0
3.1125,0.25625,60,57,1,0,n15,2.945833,5.0
3.2989583,1.1520833,70,78,1,0,n16,2.945833,5.0
3.3395834,1.1114583,53,48,1,0,n17,3.319271,6.0
3.5083334,0.16354166,58,47,1,0,n18,3.319271,6.0
3.6791666,0.771875,62,49,1,0,n19,3.319271,6.0
3.865625,0.5854167,58,58,1,0,n20,3.679167,7.0
4.0104165,0.440625,79,86,1,0,n21,3.679167,7.0
4.08125,0.36979166,62,42,1,0,n22,4.045833,8.0
4.2072916,0.24375,58,58,1,0,n23,4.045833,8.0
4.422917,0.21979167,77,75,1,0,n24,4.045833,8.0
4.43125,1.18125,53,48,1,0,n25,4.427084,9.0
4.6041665,0.09166667,76,71,1,0,n26,4.427084,9.0
4.6229167,0.1875,55,53,1,0,n27,4.427084,9.0
4.78125,0.83125,76,76,1,0,n28,4.427084,9.0
4.821875,0.15416667,58,53,1,0,n29,4.801563,10.0
4.976042,0.63645834,55,53,1,0,n30,4.801563,10.0
5.159375,0.453125,58,56,1,0,n31,5.159375,11.0
5.334375,0.278125,55,55,1,0,n32,5.159375,11.0
5.5666666,0.41041666,77,75,1,0,n33,5.159375,11.0
5.5916667,0.47604167,57,51,1,0,n34,5.159375,11.0
5.5958333,0.46666667,53,42,1,0,n35,5.591667,12.0
5.961458,0.38020834,69,62,1,0,n36,5.961458,13.0
6.3416667,0.371875,74,67,1,0,n37,5.961458,13.0
6.725,0.425,67,57,1,0,n38,6.725,15.0
7.1364584,0.6020833,72,70,1,0,n39,7.136458,16.0
7.733333,0.19583334,69,63,1,0,n40,7.526041,17.0
7.914583,1.1458334,65,68,1,0,n41,7.526041,17.0
7.9166665,0.42708334,53,66,1,0,n42,7.915625,18.0
8.30625,0.39166668,45,69,1,0,n43,8.30625,19.0
8.68125,0.38854167,50,74,1,0,n44,8.68125,20.0
9.035417,1.1364583,67,62,1,0,n45,8.68125,20.0
9.060416,0.35520834,43,51,1,0,n46,9.047917,21.0
9.261458,0.0375,64,64,1,0,n47,9.047917,21.0
9.333333,0.11666667,65,58,1,0,n48,9.047917,21.0
9.376041,0.56041664,48,58,1,0,n49,9.047917,21.0
9.383333,0.11666667,64,72,1,0,n50,9.378027,22.0
9.579166,0.13541667,62,62,1,0,n51,9.378027,22.0
9.779166,0.18020834,64,66,1,0,n52,9.378027,22.0
9.951041,0.22083333,45,54,1,0,n53,9.779167,23.0
10.144792,0.40208334,69,75,1,0,n54,9.779167,23.0
