xml_id	midi_id	track	channel	pitch	onset
n3-1	n1	0	0	53	2.0929466249999997
n4-1	n2	0	0	57	2.5064077499999997
n6-1	n4	0	0	57	2.979697875
n5-1	n3	0	0	60	2.76709125
n1-1	n0	0	0	65	2.0491432499999997
n8-1	n7	0	0	57	3.317304375
n7-1	n6	0	0	60	3.1666635
n2-1	n5	0	0	69	3.12179175
n11-1	n9	0	0	53	3.5106802500000005
n12-1	n10	0	0	60	3.699782625000002
n9-1	n8	0	0	72	3.4999965000000004
n14-1	n12	0	0	60	4.004269500000003
n13-1	n11	0	0	63	3.868585875000003
n16-1	n15	0	0	60	4.349354625000003
n15-1	n14	0	0	63	4.192303500000003
n10-1	n13	0	0	69	4.170936000000003
n19-1	n17	0	0	53	4.532046750000004
n20-1	n18	0	0	58	4.731832875000005
n17-1	n16	0	0	70	4.526704875000004
n22-1	n20	0	0	58	5.048071875000006
n21-1	n19	0	0	62	4.899567750000005
n24-1	n23	0	0	58	5.392088625000007
n23-1	n22	0	0	62	5.221148625000007
n18-1	n21	0	0	79	5.217943500000007
n29-1	n25	0	0	53	5.595079875000008
n30-1	n26	0	0	55	5.745720750000009
n26-1	n27	0	0	76	5.748925875000009
n25-1	n24	0	0	77	5.592943125000008
n32-1	n30	0	0	55	6.092942625000011
n31-1	n29	0	0	58	5.946575250000009
n27-1	n28	0	0	76	5.923071000000009
n34-1	n32	0	0	55	6.419865375000009
n33-1	n31	0	0	58	6.28952362500001
n38-1	n35	0	0	53	6.697642875000011
n39-1	n34	0	0	57	6.684822375000011
n35-1	n33	0	0	77	6.646360875000011
n36-1	n36	0	0	69	7.009608375000013
n37-1	n37	0	0	74	7.357898625000016
n42-1	n38	0	0	67	7.731829875000017
n43-1	n39	0	0	72	8.115376500000018
n44-1	n40	0	0	69	8.658111000000012
n49-1	n42	0	0	53	8.87178600000001
n46-1	n41	0	0	65	8.85469200000001
n50-1	n43	0	0	45	9.22434975000001
n51-1	n44	0	0	50	9.56088787500001
n57-1	n46	0	0	43	9.93268237500001
n56-1	n45	0	0	67	9.91986187500001
n58-1	n50	0	0	48	10.272425625000007
n54-1	n51	0	0	62	10.427340000000008
n53-1	n49	0	0	64	10.269220500000008
n59-1	n53	0	0	45	10.775630250000006
n55-1	n52	0	0	64	10.607895375000007
n64-1	n55	0	0	41	10.986100125000005
n63-1	n56	0	0	65	11.002125750000005
n60-1	n54	0	0	69	10.971142875000005
n65-1	n58	0	0	50	11.334390375000003
n61-1	n57	0	0	70	11.331185250000004
n66-1	n60	0	0	46	11.678407125000001
n62-1	n59	0	0	74	11.669860125000001
n76-1	n62	0	0	45	12.04913325
n68-1	n63	0	0	72	12.196569
n67-1	n61	0	0	74	12.025629
n70-1	n65	0	0	69	12.505329374999995
n69-1	n64	0	0	70	12.353620124999997
n78-1	n66	0	0	50	12.686953124999993
n72-1	n68	0	0	65	12.86109824999999
