onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.0491433,1.470084,65,48,0,0,n0,-10.0,-10.0
2.0929465,1.4262806,53,31,0,0,n1,2.071045,0.0
2.5064077,1.0128195,57,35,0,0,n2,2.071045,0.0
2.7670913,0.752136,60,34,0,0,n3,2.767091,1.0
2.979698,0.5395294,57,22,0,0,n4,2.767091,1.0
3.1217918,0.3974355,69,77,0,0,n5,2.767091,1.0
3.1666634,0.35256374,60,40,0,0,n6,3.144228,2.0
3.3173044,0.20192288,57,42,0,0,n7,3.144228,2.0
3.4999964,1.0213665,72,74,0,0,n8,3.144228,2.0
3.5106802,1.0106827,53,52,0,0,n9,3.505339,3.0
3.6997826,0.82158035,60,51,0,0,n10,3.505339,3.0
3.8685858,0.65277714,63,51,0,0,n11,3.505339,3.0
4.0042696,0.5170935,60,54,0,0,n12,3.868586,4.0
4.170936,0.350427,69,86,0,0,n13,3.868586,4.0
4.1923037,0.3290595,63,55,0,0,n14,4.18162,5.0
4.3493547,0.17200838,60,56,0,0,n15,4.18162,5.0
4.526705,1.0897425,70,75,0,0,n16,4.18162,5.0
4.532047,1.0844007,53,48,0,0,n17,4.529376,6.0
4.731833,0.8846145,58,46,0,0,n18,4.529376,6.0
4.8995676,0.7168796,62,44,0,0,n19,4.529376,6.0
5.048072,0.5683755,58,51,0,0,n20,4.899568,7.0
5.2179437,0.39850387,79,70,0,0,n21,4.899568,7.0
5.2211485,0.39529875,62,48,0,0,n22,5.219546,8.0
5.3920884,0.22435875,58,44,0,0,n23,5.219546,8.0
5.592943,0.111111,77,66,0,0,n24,5.219546,8.0
5.59508,0.5779909,53,43,0,0,n25,5.594012,9.0
5.745721,0.16773488,55,47,0,0,n26,5.594012,9.0
5.7489257,0.06517088,76,64,0,0,n27,5.594012,9.0
5.923071,0.26388863,76,57,0,0,n28,5.594012,9.0
5.946575,0.1239315,58,46,0,0,n29,5.934823,10.0
6.0929427,0.1410255,55,43,0,0,n30,5.934823,10.0
6.2895236,0.12499987,58,40,0,0,n31,5.934823,10.0
6.4198656,0.145299,55,48,0,0,n32,6.289524,11.0
6.646361,0.56303364,77,71,0,0,n33,6.289524,11.0
6.6848226,0.52457213,57,40,0,0,n34,6.684822,12.0
6.697643,0.51175165,53,31,0,0,n35,6.684822,12.0
7.0096083,0.37393126,69,77,0,0,n36,7.009608,13.0
7.3578987,0.384615,74,76,0,0,n37,7.009608,13.0
7.7318296,0.4145295,67,64,0,0,n38,7.357899,14.0
8.115376,0.78952914,72,60,0,0,n39,8.115376,16.0
8.658111,0.24893138,69,61,0,0,n40,8.489307,17.0
8.854692,1.1132468,65,67,0,0,n41,8.489307,17.0
8.871786,0.48931575,53,43,0,0,n42,8.863239,18.0
9.22435,0.43696538,45,53,0,0,n43,9.22435,19.0
9.560888,0.3717945,50,60,0,0,n44,9.560888,20.0
9.919862,1.1121783,67,66,0,0,n45,9.560888,20.0
9.932682,0.37927312,43,47,0,0,n46,9.926272,21.0
10.126059,0.042735,64,52,0,0,n47,9.926272,21.0
10.174135,0.077991374,65,55,0,0,n48,9.926272,21.0
10.26922,0.14316225,64,68,0,0,n49,10.268984,22.0
10.272426,0.50320464,48,45,0,0,n50,10.268984,22.0
10.42734,0.21581174,62,63,0,0,n51,10.268984,22.0
10.607896,0.34935862,64,67,0,0,n52,10.607895,23.0
10.77563,0.16559812,45,50,0,0,n53,10.607895,23.0
10.971143,0.3632475,69,70,0,0,n54,10.607895,23.0
10.9861,0.36965775,41,45,0,0,n55,10.9861,24.0
11.002126,1.1057681,65,47,0,0,n56,10.9861,24.0
11.331185,0.495726,70,82,0,0,n57,10.9861,24.0
11.334391,0.36858937,50,48,0,0,n58,11.332788,25.0
11.66986,0.18055537,74,80,0,0,n59,11.332788,25.0
11.678407,0.31303388,46,51,0,0,n60,11.674133,26.0
12.025629,0.273504,74,74,0,0,n61,11.674133,26.0
12.049133,0.22970062,45,41,0,0,n62,12.037381,27.0
12.196569,0.25961512,72,80,0,0,n63,12.037381,27.0
12.353621,0.26816213,70,81,0,0,n64,12.35362,28.0
12.505329,0.15705113,69,77,0,0,n65,12.35362,28.0
12.686954,0.06196575,50,51,0,0,n66,12.35362,28.0
12.697637,0.16773488,67,78,0,0,n67,12.692295,29.0
12.861098,0.1410255,65,63,0,0,n68,12.692295,29.0
13.045927,0.37820476,67,66,0,0,n69,12.692295,29.0
13.058747,0.35256374,46,50,0,0,n70,13.052338,30.0
13.403832,0.06196575,70,66,0,0,n71,13.052338,30.0
13.772422,0.086538374,64,54,0,0,n72,13.403833,31.0
13.785243,0.076923,48,44,0,0,n73,13.785243,32.0
13.79379,0.071581125,58,45,0,0,n74,13.785243,32.0
14.19443,0.264957,65,49,0,0,n75,13.785243,32.0
14.207251,0.043803375,57,44,0,0,n76,14.207251,33.0
14.22114,0.22970062,41,35,0,0,n77,14.207251,33.0
14.252123,0.17200838,57,46,0,0,n78,14.207251,33.0
15.012806,0.37713638,84,59,0,0,n79,14.626588,34.0
15.045925,0.34401676,69,43,0,0,n80,15.045925,35.0
15.048062,0.34188,72,42,0,0,n81,15.045925,35.0
15.317292,0.0726495,70,59,0,0,n82,15.045925,35.0
15.329044,0.060897376,82,66,0,0,n83,15.045925,35.0
15.389942,0.043803375,67,22,0,0,n84,15.045925,35.0
15.396352,0.04059825,81,82,0,0,n85,15.045925,35.0
15.409173,0.02777775,69,66,0,0,n86,15.409173,36.0
15.413446,0.02350425,65,67,0,0,n87,15.409173,36.0
15.776693,0.05769225,81,71,0,0,n88,15.409173,36.0
15.779899,0.0299145,65,61,0,0,n89,15.779899,37.0
15.792719,0.025641,69,51,0,0,n90,15.779899,37.0
16.14635,0.27457237,65,56,0,0,n91,15.779899,37.0
16.147419,0.2574784,81,70,0,0,n92,15.779899,37.0
16.157036,0.20619637,69,56,0,0,n93,16.14742,38.0
16.409172,0.10470075,67,63,0,0,n94,16.14742,38.0
16.409172,0.11645287,79,74,0,0,n95,16.14742,38.0
16.417719,0.10790587,60,52,0,0,n96,16.14742,38.0
16.462591,0.08760675,57,56,0,0,n97,16.14742,38.0
16.474342,0.103632376,77,82,0,0,n98,16.474342,39.0
16.492504,0.0555555,65,70,0,0,n99,16.474342,39.0
16.866436,0.06196575,77,88,0,0,n100,16.474342,39.0
16.873915,0.045940123,57,66,0,0,n101,16.873915,40.0
16.879257,0.0384615,65,71,0,0,n102,16.873915,40.0
17.228615,0.39850387,77,88,0,0,n103,16.873915,40.0
17.237162,0.36645263,65,56,0,0,n104,17.237162,41.0
17.247847,0.37820476,57,44,0,0,n105,17.237162,41.0
17.596136,0.09081188,79,80,0,0,n106,17.237162,41.0
17.615368,0.048076876,67,50,0,0,n107,17.237162,41.0
17.616436,0.041666623,76,64,0,0,n108,17.615902,42.0
17.61964,0.033119626,60,50,0,0,n109,17.615902,42.0
17.969,0.07371788,79,79,0,0,n110,17.615902,42.0
17.982887,0.06196575,67,49,0,0,n111,17.615902,42.0
17.985025,0.056623876,60,50,0,0,n112,17.983955,43.0
17.985025,0.04059825,76,60,0,0,n113,17.983955,43.0
18.326904,0.07478625,79,72,0,0,n114,17.983955,43.0
18.340794,0.063034125,60,45,0,0,n115,17.983955,43.0
18.345068,0.04059825,76,56,0,0,n116,18.342932,44.0
18.352547,0.04487175,67,43,0,0,n117,18.342932,44.0
18.72434,0.4316235,79,59,0,0,n118,18.342932,44.0
18.733955,0.40384576,67,38,0,0,n119,18.342932,44.0
18.747845,0.42093974,60,39,0,0,n120,18.7409,45.0
18.751049,0.38247824,76,46,0,0,n121,18.7409,45.0
19.137802,0.1581195,81,51,0,0,n122,18.7409,45.0
19.14421,0.14423062,77,45,0,0,n123,18.7409,45.0
19.161306,0.14636737,69,37,0,0,n124,19.15276,46.0
19.163443,0.12927337,65,39,0,0,n125,19.15276,46.0
19.589724,0.07051275,84,80,0,0,n126,19.15276,46.0
19.61216,0.1837605,72,55,0,0,n127,19.61216,47.0
19.617502,0.16452976,69,53,0,0,n128,19.61216,47.0
19.676262,0.110042624,86,75,0,0,n129,19.61216,47.0
19.746775,0.1239315,84,76,0,0,n130,19.61216,47.0
19.803398,0.0641025,67,51,0,0,n131,19.61216,47.0
19.810877,0.076923,70,66,0,0,n132,19.61216,47.0
19.819424,0.11752125,82,82,0,0,n133,19.61216,47.0
