onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.5084375,1.79875,70,57,0,0,n0,-10.0,-10.0
0.5771875,1.73,58,26,0,0,n1,0.542812,0.0
1.0071875,1.3,65,26,0,0,n2,0.542812,0.0
1.3990625,0.908125,62,39,0,0,n3,0.542812,0.0
1.8040625,0.5459375,65,37,0,0,n4,0.542812,0.0
2.2384374,0.8271875,74,60,0,0,n5,0.542812,0.0
2.2790625,1.609375,58,36,0,0,n6,2.2587495,1.0
2.6696875,0.4615625,65,35,0,0,n7,2.2587495,1.0
2.7553124,0.3103125,75,52,0,0,n8,2.2587495,1.0
2.865625,0.2,74,54,0,0,n9,2.2587495,1.0
2.9459374,0.1196875,72,73,0,0,n10,2.2587495,1.0
3.059375,0.8290625,74,68,0,0,n11,2.2587495,1.0
3.090625,0.7978125,62,35,0,0,n12,2.2587495,1.0
3.43125,0.4571875,75,72,0,0,n13,2.2587495,1.0
3.4709375,0.42375,65,41,0,0,n14,2.2587495,1.0
3.85,1.634375,76,70,0,0,n15,2.2587495,1.0
3.915625,1.56875,57,38,0,0,n16,3.8828125,2.0
4.2853127,1.1990625,65,40,0,0,n17,3.8828125,2.0
4.6625,0.821875,60,40,0,0,n18,3.8828125,2.0
5.0459375,0.4384375,77,54,0,0,n19,3.8828125,2.0
5.0615625,0.4875,65,29,0,0,n20,3.8828125,2.0
5.4490623,1.615625,72,57,0,0,n21,3.8828125,2.0
5.4928126,1.571875,57,34,0,0,n22,5.4709377,3.0
5.8771877,1.1875,65,31,0,0,n23,5.4709377,3.0
6.2375,0.8271875,60,37,0,0,n24,5.4709377,3.0
6.646875,0.459375,65,33,0,0,n25,5.4709377,3.0
7.0571876,0.72625,75,59,0,0,n26,5.4709377,3.0
7.1115627,1.533125,55,37,0,0,n27,7.084375,4.0
7.4834375,0.4009375,63,42,0,0,n28,7.084375,4.0
7.5353127,0.248125,77,60,0,0,n29,7.084375,4.0
7.6396875,0.14375,75,68,0,0,n30,7.084375,4.0
7.7165623,0.1115625,74,76,0,0,n31,7.084375,4.0
7.8334374,0.81125,75,79,0,0,n32,7.084375,4.0
7.85,0.7946875,58,54,0,0,n33,7.084375,4.0
8.207188,0.4375,77,79,0,0,n34,7.084375,4.0
8.2125,0.4321875,63,43,0,0,n35,7.084375,4.0
8.615625,0.7728125,79,77,0,0,n36,7.084375,4.0
8.678125,1.6665626,51,44,0,0,n37,8.646875,5.0
9.017813,0.48125,58,43,0,0,n38,8.646875,5.0
9.097813,0.290625,81,61,0,0,n39,8.646875,5.0
9.200937,0.1875,79,72,0,0,n40,8.646875,5.0
9.28125,0.1165625,77,75,0,0,n41,8.646875,5.0
9.413438,0.93125,79,77,0,0,n42,8.646875,5.0
9.455313,0.889375,55,35,0,0,n43,8.646875,5.0
9.799063,0.545625,81,72,0,0,n44,8.646875,5.0
9.841562,0.5178125,58,41,0,0,n45,8.646875,5.0
10.286563,1.6603125,81,66,0,0,n46,8.646875,5.0
10.324062,1.6228125,50,37,0,0,n47,10.305313,6.0
10.710313,1.2365625,58,35,0,0,n48,10.305313,6.0
