xml_id	midi_id	track	channel	pitch	onset
n12-1	n1	0	0	58	0.53
n16-1	n6	0	0	58	2.151875
n14-1	n3	0	0	62	1.401875
n18-1	n12	0	0	62	2.9634374999999986
n13-1	n2	0	0	65	1.009375
n15-1	n4	0	0	65	1.74875
n17-1	n7	0	0	65	2.547812499999999
n19-1	n14	0	0	65	3.3362499999999984
n1-1	n0	0	0	70	0.509375
n5-1	n10	0	0	72	2.825937499999999
n2-1	n5	0	0	74	2.12375
n6-1	n9	0	0	74	2.724999999999999
n4-1	n11	0	0	74	2.944687499999999
n7-1	n8	0	0	75	2.6165624999999992
n3-1	n13	0	0	75	3.317499999999998
n20-1	n16	0	0	57	3.767499999999998
n22-1	n18	0	0	60	4.5696874999999935
n21-1	n17	0	0	65	4.194687499999998
n23-1	n20	0	0	65	4.970624999999993
n8-1	n15	0	0	76	3.725937499999998
n9-1	n19	0	0	77	4.951874999999993
n24-1	n21	0	0	57	5.375937499999993
n26-1	n24	0	0	60	6.1999999999999895
n25-1	n23	0	0	65	5.816562499999991
n27-1	n25	0	0	65	6.60499999999999
n10-1	n22	0	0	72	5.385312499999993
n44-1	n27	0	0	55	7.0674999999999875
n46-1	n33	0	0	58	7.8656249999999845
n45-1	n28	0	0	63	7.488437499999986
n47-1	n35	0	0	63	8.270624999999987
n31-1	n31	0	0	74	7.7562499999999845
n28-1	n26	0	0	75	7.028124999999988
n32-1	n30	0	0	75	7.656249999999985
n30-1	n32	0	0	75	7.861249999999985
n33-1	n29	0	0	77	7.546874999999986
n29-1	n34	0	0	77	8.258124999999987
n48-1	n37	0	0	51	8.663437499999986
n50-1	n43	0	0	55	9.46124999999999
n49-1	n38	0	0	58	9.058124999999988
n51-1	n45	0	0	58	9.843749999999993
n37-1	n41	0	0	77	9.33749999999999
n34-1	n36	0	0	79	8.641562499999987
n36-1	n40	0	0	79	9.243749999999988
n38-1	n42	0	0	79	9.43843749999999
n39-1	n39	0	0	81	9.143749999999988
n35-1	n44	0	0	81	9.828124999999993
n52-1	n46	0	0	50	10.271874999999994
n54-1	n49	0	0	53	11.145624999999997
n53-1	n48	0	0	58	10.749999999999996
n55-1	n51	0	0	58	11.556249999999999
n40-1	n47	0	0	81	10.271874999999994
n41-1	n50	0	0	82	11.537499999999998
n56-1	n53	0	0	50	11.9759375
n58-1	n55	0	0	53	12.791562500000005
n57-1	n54	0	0	58	12.398750000000003
n59-1	n56	0	0	58	13.213437500000005
n42-1	n52	0	0	77	11.964375
n75-1	n58	0	0	51	13.693750000000005
n77-1	n60	0	0	51	14.56250000000001
n76-1	n59	0	0	55	14.14562500000001
n78-1	n62	0	0	59	14.96031250000001
n60-1	n57	0	0	79	13.665625000000006
n62-1	n63	0	0	79	15.097812500000012
n61-1	n61	0	0	80	14.919687500000009
n79-1	n65	0	0	51	15.353125000000015
n81-1	n69	0	0	51	16.19468750000002
n80-1	n67	0	0	60	15.768750000000017
