xml_id	midi_id	track	channel	pitch	onset
n13-1	n2	0	0	41	2.0598270000000003
n14-1	n3	0	0	45	2.0726475000000004
n15-1	n1	0	0	48	2.0555535000000003
n16-1	n0	0	0	53	2.050211625
n8-1	n10	0	0	81	2.6709375000000013
n7-1	n9	0	0	82	2.588672625000001
n3-1	n5	0	0	83	2.2553396250000004
n2-1	n4	0	0	84	2.1549123750000003
n4-1	n6	0	0	84	2.3301258750000002
n6-1	n8	0	0	84	2.486108625000001
n5-1	n7	0	0	89	2.4113223750000006
n21-1	n16	0	0	77	3.1997831250000006
n20-1	n15	0	0	79	3.0929456250000005
n9-1	n11	0	0	80	2.7510656250000007
n10-1	n12	0	0	81	2.8311937500000006
n12-1	n14	0	0	81	3.0010653750000005
n11-1	n13	0	0	84	2.9123902500000005
n27-1	n22	0	0	72	3.7232868750000008
n26-1	n21	0	0	74	3.6271331250000007
n22-1	n17	0	0	76	3.2873898750000006
n23-1	n18	0	0	77	3.369654750000001
n25-1	n20	0	0	77	3.5384580000000008
n24-1	n19	0	0	81	3.454056375000001
n34-1	n28	0	0	69	4.263884625
n33-1	n27	0	0	70	4.17307275
n28-1	n23	0	0	71	3.8087568750000007
n29-1	n24	0	0	72	3.891021750000001
n31-1	n26	0	0	72	4.060893375000001
n30-1	n25	0	0	77	3.979696875000001
n47-1	n34	0	0	57	4.726491
n39-1	n33	0	0	65	4.70298675
n35-1	n29	0	0	68	4.345081125
n36-1	n30	0	0	69	4.43375625
n38-1	n32	0	0	69	4.610038125
n37-1	n31	0	0	72	4.513884375
n40-1	n35	0	0	77	4.776704625000001
n48-1	n36	0	0	55	4.87820025
n49-1	n39	0	0	57	5.0320462500000005
n62-1	n42	0	0	58	5.2200802500000005
n41-1	n37	0	0	64	4.879268625
n43-1	n40	0	0	65	5.042730000000001
n50-1	n43	0	0	67	5.231832375000001
n42-1	n38	0	0	77	4.954054875000001
n44-1	n41	0	0	77	5.147430750000001
n51-1	n44	0	0	77	5.3151656250000014
n63-1	n45	0	0	57	5.389951875000001
n64-1	n48	0	0	58	5.550208125000002
n65-1	n51	0	0	60	5.722216500000003
n52-1	n46	0	0	65	5.398498875000001
n54-1	n49	0	0	67	5.567302125000002
n56-1	n52	0	0	69	5.732900250000003
n53-1	n47	0	0	77	5.479695375000002
n55-1	n50	0	0	77	5.662387500000003
n57-1	n53	0	0	77	5.836532625000003
n66-1	n54	0	0	58	5.8899513750000025
n67-1	n57	0	0	60	6.063028125000003
n80-1	n61	0	0	61	6.284181750000004
n58-1	n55	0	0	67	5.904908625000003
n60-1	n58	0	0	69	6.074780250000003
n68-1	n60	0	0	70	6.282045000000004
n59-1	n56	0	0	77	5.997857250000004
n61-1	n59	0	0	77	6.181617750000004
n69-1	n62	0	0	77	6.392087625000004
n81-1	n65	0	0	60	6.649566000000004
n82-1	n69	0	0	61	6.854694000000005
n72-1	n66	0	0	69	6.657044625000004
n70-1	n63	0	0	70	6.475420875000004
n74-1	n68	0	0	70	6.8290530000000045
n71-1	n64	0	0	77	6.572643000000004
n73-1	n67	0	0	77	6.757471875000005
n75-1	n70	0	0	77	6.9284118750000045
n94-1	n75	0	0	59	7.388881500000005
