xml_id	midi_id	track	channel	pitch	onset
n13-1	n3	1	0	41	0.5166666666666667
n14-1	n2	1	0	45	0.5145833333333334
n15-1	n1	1	0	48	0.509375
n16-1	n0	1	0	53	0.5
n8-1	n11	1	0	81	1.1604166666666669
n7-1	n10	1	0	82	1.0812500000000003
n3-1	n5	1	0	83	0.7083333333333334
n2-1	n4	1	0	84	0.6135416666666668
n4-1	n6	1	0	84	0.8072916666666667
n6-1	n8	1	0	84	0.9802083333333336
n5-1	n7	1	0	89	0.9020833333333335
n21-1	n17	1	0	77	1.7020833333333334
n20-1	n16	1	0	79	1.6114583333333334
n9-1	n12	1	0	80	1.2510416666666668
n10-1	n13	1	0	81	1.3364583333333335
n12-1	n15	1	0	81	1.5052083333333333
n11-1	n14	1	0	84	1.434375
n27-1	n23	1	0	72	2.2239583333333335
n26-1	n22	1	0	74	2.1375
n22-1	n18	1	0	76	1.7927083333333333
n23-1	n19	1	0	77	1.865625
n25-1	n21	1	0	77	2.0364583333333335
n24-1	n20	1	0	81	1.9645833333333333
n34-1	n29	1	0	69	2.75
n33-1	n28	1	0	70	2.659375
n28-1	n24	1	0	71	2.316666666666667
n29-1	n25	1	0	72	2.3958333333333335
n31-1	n27	1	0	72	2.55625
n30-1	n26	1	0	77	2.484375
n47-1	n34	1	0	57	3.172916666666667
n39-1	n35	1	0	65	3.177083333333334
n35-1	n30	1	0	68	2.830208333333333
n36-1	n31	1	0	69	2.915625
n38-1	n33	1	0	69	3.090625
n37-1	n32	1	0	72	3.010416666666667
n40-1	n36	1	0	77	3.280208333333334
n48-1	n37	1	0	55	3.3625000000000003
n49-1	n41	1	0	57	3.5510416666666664
n62-1	n44	1	0	58	3.7208333333333337
n41-1	n38	1	0	64	3.3625000000000003
n43-1	n40	1	0	65	3.545833333333333
n50-1	n43	1	0	67	3.716666666666667
n42-1	n39	1	0	77	3.473958333333333
n44-1	n42	1	0	77	3.625
n51-1	n45	1	0	77	3.8208333333333337
n63-1	n47	1	0	57	3.9156250000000004
n64-1	n50	1	0	58	4.108333333333334
n65-1	n53	1	0	60	4.281250000000002
n52-1	n46	1	0	65	3.9083333333333337
n54-1	n49	1	0	67	4.083333333333334
n56-1	n52	1	0	69	4.263541666666669
n53-1	n48	1	0	77	3.9864583333333337
n55-1	n51	1	0	77	4.176041666666668
n57-1	n54	1	0	77	4.353125000000003
n66-1	n56	1	0	58	4.453125000000003
n67-1	n59	1	0	60	4.639583333333335
n80-1	n62	1	0	61	4.833333333333335
n58-1	n55	1	0	67	4.44791666666667
n60-1	n58	1	0	69	4.620833333333335
n68-1	n61	1	0	70	4.828125000000002
n59-1	n57	1	0	77	4.535416666666669
n61-1	n60	1	0	77	4.730208333333335
n69-1	n63	1	0	77	4.901041666666668
n81-1	n67	1	0	60	5.2093750000000005
n82-1	n69	1	0	61	5.3968750000000005
n72-1	n66	1	0	69	5.2041666666666675
n70-1	n64	1	0	70	4.9958333333333345
n74-1	n70	1	0	70	5.401041666666667
n71-1	n65	1	0	77	5.098958333333335
n73-1	n68	1	0	77	5.311458333333333
n75-1	n71	1	0	77	5.481249999999999
n94-1	n78	1	0	59	5.965624999999998
n83-1	n75	1	0	60	5.779166666666665
n84-1	n77	1	0	68	5.948958333333332
n78-1	n74	1	0	69	5.765624999999998
n76-1	n72	1	0	70	5.581249999999999
n77-1	n73	1	0	77	5.666666666666665
n79-1	n76	1	0	77	5.841666666666666
n85-1	n79	1	0	77	6.030208333333332
n95-1	n81	1	0	59	6.148958333333331
n96-1	n84	1	0	59	6.3302083333333306
n97-1	n88	1	0	60	6.511458333333329
n90-1	n87	1	0	67	6.4947916666666625
n86-1	n80	1	0	68	6.122916666666664
n88-1	n83	1	0	68	6.299999999999997
n91-1	n86	1	0	76	6.4895833333333295
n87-1	n82	1	0	77	6.22395833333333
n89-1	n85	1	0	77	6.363541666666664
n112-1	n91	1	0	41	7.146874999999994
n113-1	n92	1	0	45	7.151041666666661
n114-1	n90	1	0	48	7.142708333333328
n115-1	n89	1	0	53	7.1333333333333275
n101-1	n93	1	0	84	7.236458333333327
n107-1	n101	1	0	81	7.789583333333324
n106-1	n100	1	0	82	7.711458333333326
n102-1	n94	1	0	83	7.334374999999993
n103-1	n95	1	0	84	7.4333333333333265
n105-1	n98	1	0	84	7.603124999999992
n104-1	n96	1	0	89	7.535416666666659
n120-1	n107	1	0	77	8.317708333333327
n119-1	n106	1	0	79	8.235416666666657
n108-1	n102	1	0	80	7.879166666666657
n109-1	n103	1	0	81	7.961458333333322
n111-1	n105	1	0	81	8.132291666666655
n110-1	n104	1	0	84	8.057291666666655
n126-1	n113	1	0	72	8.855208333333326
n125-1	n112	1	0	74	8.762499999999994
n121-1	n108	1	0	76	8.403124999999994
n122-1	n109	1	0	77	8.493749999999995
n124-1	n111	1	0	77	8.659374999999994
n123-1	n110	1	0	81	8.584374999999994
n133-1	n119	1	0	69	9.382291666666664
n132-1	n118	1	0	70	9.301041666666661
n127-1	n114	1	0	71	8.948958333333326
n128-1	n115	1	0	72	9.028124999999994
n130-1	n117	1	0	72	9.195833333333328
n129-1	n116	1	0	77	9.121874999999994
n146-1	n124	1	0	57	9.815624999999995
n138-1	n125	1	0	65	9.833333333333329
n134-1	n120	1	0	68	9.478124999999999
n135-1	n121	1	0	69	9.564583333333331
n137-1	n123	1	0	69	9.73645833333333
n136-1	n122	1	0	72	9.651041666666664
n139-1	n126	1	0	77	9.928124999999996
n147-1	n127	1	0	55	10.015624999999996
n148-1	n131	1	0	57	10.21770833333333
n161-1	n134	1	0	58	10.395833333333332
n140-1	n128	1	0	64	10.01770833333333
n142-1	n130	1	0	65	10.196874999999997
n149-1	n133	1	0	67	10.382291666666665
n141-1	n129	1	0	77	10.115624999999996
n143-1	n132	1	0	77	10.279166666666665
n150-1	n135	1	0	77	10.473958333333332
n162-1	n137	1	0	57	10.580208333333331
n163-1	n140	1	0	58	10.763541666666665
n164-1	n143	1	0	60	10.95208333333333
n151-1	n136	1	0	65	10.562499999999998
n153-1	n139	1	0	67	10.742708333333331
n155-1	n142	1	0	69	10.934374999999998
n152-1	n138	1	0	77	10.648958333333331
n154-1	n141	1	0	77	10.841666666666665
n156-1	n144	1	0	77	11.026041666666664
n165-1	n146	1	0	58	11.135416666666663
n166-1	n149	1	0	60	11.31145833333333
n179-1	n152	1	0	61	11.517708333333333
n157-1	n145	1	0	67	11.122916666666663
n159-1	n148	1	0	69	11.28645833333333
n167-1	n151	1	0	70	11.50625
n158-1	n147	1	0	77	11.210416666666664
n160-1	n150	1	0	77	11.391666666666666
n168-1	n153	1	0	77	11.621875000000001
n180-1	n157	1	0	60	11.898958333333335
n181-1	n160	1	0	61	12.078125000000005
n171-1	n156	1	0	69	11.889583333333334
n169-1	n154	1	0	70	11.70625
n173-1	n159	1	0	70	12.071875000000004
n170-1	n155	1	0	77	11.816666666666666
n172-1	n158	1	0	77	11.97916666666667
n174-1	n161	1	0	77	12.166666666666673
n191-1	n168	1	0	59	12.657291666666675
n182-1	n164	1	0	60	12.459375000000009
n183-1	n167	1	0	68	12.616666666666674
n177-1	n165	1	0	69	12.459375000000009
n175-1	n162	1	0	70	12.256250000000007
n176-1	n163	1	0	77	12.371875000000008
n178-1	n166	1	0	77	12.537500000000009
n184-1	n169	1	0	77	12.692708333333341
n194-1	n171	1	0	58	13.263541666666674
n187-1	n170	1	0	67	13.23645833333334
n188-1	n172	1	0	76	13.328125000000007
n206-1	n174	1	0	57	13.911458333333343
n197-1	n173	1	0	66	13.908333333333342
n198-1	n175	1	0	75	14.011458333333342
n209-1	n176	1	0	46	14.569791666666674
n210-1	n177	1	0	58	14.661458333333341
n222-1	n183	1	0	48	15.093750000000007
n223-1	n182	1	0	55	15.088541666666673
n224-1	n184	1	0	58	15.093750000000007
n202-1	n178	1	0	62	14.745833333333339
n203-1	n179	1	0	67	14.82708333333334
n204-1	n180	1	0	70	14.928125000000007
n214-1	n186	1	0	70	15.195833333333342
n213-1	n185	1	0	72	15.12083333333334
n205-1	n181	1	0	74	15.016666666666673
n225-1	n191	1	0	53	15.623958333333345
n226-1	n192	1	0	57	15.629166666666679
n218-1	n190	1	0	64	15.555208333333345
n217-1	n189	1	0	65	15.480208333333344
n219-1	n193	1	0	65	15.635416666666679
n216-1	n188	1	0	67	15.392708333333344
n215-1	n187	1	0	69	15.30312500000001
n234-1	n197	1	0	48	16.261458333333344
n220-1	n194	1	0	60	15.852083333333345
n221-1	n195	1	0	60	16.03125000000001
n229-1	n196	1	0	64	16.225000000000012
n230-1	n198	1	0	70	16.28125000000001
n235-1	n200	1	0	58	16.50104166666668
n237-1	n201	1	0	58	16.657291666666676
n239-1	n204	1	0	58	16.85625000000001
n236-1	n199	1	0	60	16.47604166666668
n238-1	n202	1	0	60	16.657291666666676
n240-1	n203	1	0	60	16.841666666666676
n248-1	n212	1	0	53	17.38958333333334
n241-1	n205	1	0	58	17.02500000000001
n243-1	n209	1	0	58	17.20937500000001
n242-1	n206	1	0	60	17.02500000000001
n244-1	n210	1	0	60	17.20937500000001
n246-1	n213	1	0	65	17.429166666666674
n233-1	n208	1	0	67	17.195833333333344
n245-1	n211	1	0	67	17.38437500000001
n232-1	n207	1	0	69	17.027083333333344
n249-1	n214	1	0	57	17.581250000000004
n251-1	n216	1	0	57	17.77083333333334
n253-1	n219	1	0	57	17.975000000000005
n250-1	n215	1	0	60	17.58541666666667
n252-1	n217	1	0	60	17.780208333333338
n254-1	n220	1	0	60	17.97916666666667
n247-1	n218	1	0	65	17.952083333333338
n264-1	n226	1	0	48	18.530208333333334
n255-1	n221	1	0	57	18.14895833333334
n257-1	n223	1	0	57	18.33541666666667
n256-1	n222	1	0	60	18.14895833333334
n258-1	n224	1	0	60	18.345833333333335
n259-1	n225	1	0	64	18.473958333333336
n260-1	n227	1	0	70	18.541666666666668
