xml_id	midi_id	track	channel	pitch	onset
n8-1	n2	0	0	57	2.05528640625
n11-1	n5	0	0	57	2.36244421875
n14-1	n9	0	0	57	2.58413203125
n17-1	n12	0	0	57	2.7884587499999998
n9-1	n4	0	0	60	2.0793248437500003
n12-1	n6	0	0	60	2.36244421875
n15-1	n10	0	0	60	2.59214484375
n18-1	n14	0	0	60	2.7924651562499996
n10-1	n3	0	0	64	2.07131203125
n13-1	n7	0	0	64	2.377134375
n16-1	n11	0	0	64	2.59748671875
n19-1	n13	0	0	64	2.7897942187499996
n1-1	n0	0	0	75	2.00988046875
n2-1	n1	0	0	76	2.03658984375
n3-1	n8	0	0	76	2.5654354687499996
n4-1	n15	0	0	76	2.89529625
n5-1	n16	0	0	76	2.9994628125
n20-1	n17	0	0	57	3.03017859375
n23-1	n21	0	0	57	3.285253125
n21-1	n18	0	0	60	3.0368559375
n24-1	n22	0	0	60	3.29193046875
n22-1	n19	0	0	64	3.050210625
n25-1	n20	0	0	64	3.2772403125
n26-1	n24	0	0	57	3.46821234375
n29-1	n29	0	0	57	3.67120359375
n37-1	deletion
n27-1	n25	0	0	60	3.46821234375
n30-1	n28	0	0	60	3.6565134375
n28-1	n26	0	0	64	3.4802315624999998
n31-1	n27	0	0	64	3.6511715625
n40-1	deletion
n7-1	n30	0	0	69	3.7673573437499996
n6-1	n23	0	0	72	3.4575285937499998
n41-1	n38	0	0	57	4.1199210937499995
n38-1	n32	0	0	59	3.87686578125
n42-1	n36	0	0	59	4.1052309375
n39-1	n33	0	0	62	3.88220765625
n43-1	n35	0	0	62	4.10122453125
n44-1	n37	0	0	64	4.11324375
n33-1	n34	0	0	68	4.09321171875
n32-1	n31	0	0	69	3.8648465625
n45-1	n43	0	0	57	4.344279843749999
n49-1	n47	0	0	57	4.547271093749998
n46-1	n41	0	0	59	4.338937968749999
n50-1	n46	0	0	59	4.544600156249999
n47-1	n42	0	0	62	4.338937968749999
n51-1	n45	0	0	62	4.539258281249999
n48-1	n40	0	0	64	4.333596093749999
n52-1	n44	0	0	64	4.533916406249999
n34-1	n39	0	0	68	4.312228593749999
n53-1	n51	0	0	57	4.7903264062499975
n57-1	n52	0	0	57	4.977292031249998
n54-1	n49	0	0	59	4.766287968749998
n58-1	n55	0	0	59	4.985304843749998
n55-1	n50	0	0	62	4.772965312499998
n59-1	n53	0	0	62	4.9826339062499985
n56-1	n48	0	0	64	4.7622815624999975
n60-1	n54	0	0	64	4.9826339062499985
n61-1	deletion
n65-1	deletion
n62-1	n58	0	0	59	5.216340937499997
