xml_id	midi_id	track	channel	pitch	onset
n8-1	n4	0	0	57	1.6025625000000001
n11-1	n7	0	0	57	1.9791646875000002
n14-1	n10	0	0	57	2.2569421875000004
n17-1	n14	0	0	57	2.5213650000000003
n9-1	n3	0	0	60	1.59855609375
n12-1	n5	0	0	60	1.9738228125000001
n15-1	n9	0	0	60	2.2489293750000003
n18-1	n12	0	0	60	2.5040039062500004
n10-1	n2	0	0	64	1.5945496875
n13-1	n6	0	0	64	1.9764937500000002
n16-1	n11	0	0	64	2.25827765625
n19-1	n13	0	0	64	2.5120167187500004
n1-1	n0	0	0	75	1.50774421875
n2-1	n1	0	0	76	1.56650484375
n3-1	n8	0	0	76	2.2462584375000003
n4-1	n15	0	0	76	2.6135123437500005
n5-1	n16	0	0	76	2.7096660937500006
n20-1	n19	0	0	57	2.7203498437500007
n23-1	n22	0	0	57	2.9607342187500003
n21-1	n17	0	0	60	2.7150079687500006
n24-1	n20	0	0	60	2.9567278125000005
n22-1	n18	0	0	64	2.7176789062500006
n25-1	n21	0	0	64	2.9580632812500003
n26-1	n24	0	0	57	3.1931057812500003
n29-1	n29	0	0	57	3.42547734375
n27-1	n25	0	0	60	3.1957767187500004
n30-1	n27	0	0	60	3.4054453125
n28-1	n26	0	0	64	3.1957767187500004
n31-1	n28	0	0	64	3.4161290625
n7-1	n30	0	0	69	3.50427
n6-1	n23	0	0	72	3.1904348437500003
n37-1	n32	0	0	57	3.6565134375
n41-1	n38	0	0	57	3.9302845312500003
n38-1	n34	0	0	59	3.66853265625
n42-1	n40	0	0	59	3.9356264062500004
n39-1	n36	0	0	62	3.67521
n43-1	n37	0	0	62	3.9182653125000004
n40-1	n33	0	0	64	3.66051984375
n44-1	n39	0	0	64	3.9302845312500003
n33-1	n35	0	0	68	3.67120359375
n32-1	n31	0	0	69	3.62312671875
n45-1	n44	0	0	57	4.15197234375
n49-1	n46	0	0	57	4.388350312499999
n46-1	n45	0	0	59	4.161320625
n50-1	n49	0	0	59	4.399034062499999
n47-1	n43	0	0	62	4.150636875
n51-1	n47	0	0	62	4.388350312499999
n48-1	n42	0	0	64	4.14930140625
n52-1	n48	0	0	64	4.388350312499999
n34-1	n41	0	0	68	4.1479659375
n53-1	n51	0	0	57	4.6193864062499985
n57-1	n55	0	0	57	4.847751562499998
n54-1	n53	0	0	59	4.635412031249999
n58-1	n57	0	0	59	4.854428906249998
n55-1	n52	0	0	62	4.624728281249999
n59-1	n56	0	0	62	4.850422499999998
n56-1	n50	0	0	64	4.618050937499999
n60-1	n54	0	0	64	4.8464160937499985
n61-1	n62	0	0	57	5.1135098437499975
n65-1	n66	0	0	57	5.352558749999997
n62-1	n60	0	0	59	5.105497031249997
n66-1	n65	0	0	59	5.3405395312499975
n63-1	n61	0	0	62	5.109503437499997
n67-1	n64	0	0	62	5.337868593749998
n64-1	n59	0	0	64	5.102826093749997
n68-1	n63	0	0	64	5.336533124999998
n36-1	n67	0	0	71	5.444706093749996
n35-1	n58	0	0	74	5.086800468749997
n79-1	n71	0	0	57	5.566233749999996
n82-1	n74	0	0	57	5.779908749999996
n80-1	n69	0	0	60	5.5568854687499964
n83-1	n73	0	0	60	5.777237812499997
n81-1	n70	0	0	64	5.559556406249996
n84-1	n72	0	0	64	5.766554062499997
n69-1	n68	0	0	76	5.546201718749996
n85-1	n77	0	0	57	6.000261093749995
n88-1	n81	0	0	57	6.247322812499996
n86-1	n76	0	0	60	5.994919218749995
n89-1	n79	0	0	60	6.228626249999996
n87-1	n78	0	0	64	6.004267499999996
n90-1	n80	0	0	64	6.245987343749996
n70-1	n75	0	0	76	5.986906406249996
