onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,0.5,0.0,0.5,0,4,57,5,n8-1,0.0,2.128737
0.0,0.5,0.0,0.5,0,4,60,5,n9-1,0.0,2.128737
0.0,0.5,0.0,0.5,0,4,64,5,n10-1,0.0,2.128737
0.0,0.0,0.0,0.0,0,0,75,1,n1-1,0.0,2.128737
0.0,1.0,0.0,1.0,0,8,76,1,n2-1,0.0,2.128737
0.5,0.5,0.5,0.5,4,4,57,5,n11-1,0.0,2.128737
0.5,0.5,0.5,0.5,4,4,60,5,n12-1,0.0,2.128737
0.5,0.5,0.5,0.5,4,4,64,5,n13-1,0.0,2.128737
1.0,0.5,1.0,0.5,8,4,57,5,n14-1,1.0,2.5929465
1.0,0.5,1.0,0.5,8,4,60,5,n15-1,1.0,2.5929465
1.0,0.5,1.0,0.5,8,4,64,5,n16-1,1.0,2.5929465
1.0,0.75,1.0,0.75,8,6,76,1,n3-1,1.0,2.5929465
1.5,0.5,1.5,0.5,12,4,57,5,n17-1,1.0,2.5929465
1.5,0.5,1.5,0.5,12,4,60,5,n18-1,1.0,2.5929465
1.5,0.5,1.5,0.5,12,4,64,5,n19-1,1.0,2.5929465
1.75,0.25,1.75,0.25,14,2,76,1,n4-1,1.0,2.5929465
2.0,0.5,2.0,0.5,16,4,57,5,n20-1,2.0,3.0021336
2.0,0.5,2.0,0.5,16,4,60,5,n21-1,2.0,3.0021336
2.0,0.5,2.0,0.5,16,4,64,5,n22-1,2.0,3.0021336
2.0,1.0,2.0,1.0,16,8,76,1,n5-1,2.0,3.0021336
2.5,0.5,2.5,0.5,20,4,57,5,n23-1,2.0,3.0021336
2.5,0.5,2.5,0.5,20,4,60,5,n24-1,2.0,3.0021336
2.5,0.5,2.5,0.5,20,4,64,5,n25-1,2.0,3.0021336
3.0,0.5,3.0,0.5,24,4,57,5,n26-1,3.0,3.4150605
3.0,0.5,3.0,0.5,24,4,60,5,n27-1,3.0,3.4150605
3.0,0.5,3.0,0.5,24,4,64,5,n28-1,3.0,3.4150605
3.0,0.75,3.0,0.75,24,6,72,1,n6-1,3.0,3.4150605
3.5,0.5,3.5,0.5,28,4,57,5,n29-1,3.0,3.4150605
3.5,0.5,3.5,0.5,28,4,60,5,n30-1,3.0,3.4150605
3.5,0.5,3.5,0.5,28,4,64,5,n31-1,3.0,3.4150605
3.75,0.25,3.75,0.25,30,2,69,1,n7-1,3.0,3.4150605
4.0,0.5,4.0,0.5,32,4,57,5,n37-1,4.0,3.851492
4.0,0.5,4.0,0.5,32,4,59,5,n38-1,4.0,3.851492
4.0,0.5,4.0,0.5,32,4,62,5,n39-1,4.0,3.851492
4.0,0.5,4.0,0.5,32,4,64,5,n40-1,4.0,3.851492
4.0,1.0,4.0,1.0,32,8,68,1,n33-1,4.0,3.851492
4.0,0.0,4.0,0.0,32,0,69,1,n32-1,4.0,3.851492
4.5,0.5,4.5,0.5,36,4,57,5,n41-1,4.0,3.851492
4.5,0.5,4.5,0.5,36,4,59,5,n42-1,4.0,3.851492
4.5,0.5,4.5,0.5,36,4,62,5,n43-1,4.0,3.851492
4.5,0.5,4.5,0.5,36,4,64,5,n44-1,4.0,3.851492
5.0,0.5,5.0,0.5,40,4,57,5,n45-1,5.0,4.270295
5.0,0.5,5.0,0.5,40,4,59,5,n46-1,5.0,4.270295
5.0,0.5,5.0,0.5,40,4,62,5,n47-1,5.0,4.270295
5.0,0.5,5.0,0.5,40,4,64,5,n48-1,5.0,4.270295
5.0,2.0,5.0,2.0,40,16,68,1,n34-1,5.0,4.270295
5.5,0.5,5.5,0.5,44,4,57,5,n49-1,5.0,4.270295
5.5,0.5,5.5,0.5,44,4,59,5,n50-1,5.0,4.270295
5.5,0.5,5.5,0.5,44,4,62,5,n51-1,5.0,4.270295
5.5,0.5,5.5,0.5,44,4,64,5,n52-1,5.0,4.270295
6.0,0.5,6.0,0.5,48,4,57,5,n53-1,6.0,4.7104654
6.0,0.5,6.0,0.5,48,4,59,5,n54-1,6.0,4.7104654
6.0,0.5,6.0,0.5,48,4,62,5,n55-1,6.0,4.7104654
6.0,0.5,6.0,0.5,48,4,64,5,n56-1,6.0,4.7104654
6.5,0.5,6.5,0.5,52,4,57,5,n57-1,6.0,4.7104654
6.5,0.5,6.5,0.5,52,4,59,5,n58-1,6.0,4.7104654
6.5,0.5,6.5,0.5,52,4,62,5,n59-1,6.0,4.7104654
6.5,0.5,6.5,0.5,52,4,64,5,n60-1,6.0,4.7104654
7.0,0.5,7.0,0.5,56,4,57,5,n61-1,7.0,5.139952
7.0,0.5,7.0,0.5,56,4,59,5,n62-1,7.0,5.139952
7.0,0.5,7.0,0.5,56,4,62,5,n63-1,7.0,5.139952
7.0,0.5,7.0,0.5,56,4,64,5,n64-1,7.0,5.139952
7.0,0.75,7.0,0.75,56,6,74,1,n35-1,7.0,5.139952
7.5,0.5,7.5,0.5,60,4,57,5,n65-1,7.0,5.139952
7.5,0.5,7.5,0.5,60,4,59,5,n66-1,7.0,5.139952
7.5,0.5,7.5,0.5,60,4,62,5,n67-1,7.0,5.139952
7.5,0.5,7.5,0.5,60,4,64,5,n68-1,7.0,5.139952
7.75,0.25,7.75,0.25,62,2,71,1,n36-1,7.0,5.139952
8.0,0.5,8.0,0.5,64,4,57,5,n79-1,8.0,5.5833273
8.0,0.5,8.0,0.5,64,4,60,5,n80-1,8.0,5.5833273
8.0,0.5,8.0,0.5,64,4,64,5,n81-1,8.0,5.5833273
8.0,1.0,8.0,1.0,64,8,76,1,n69-1,8.0,5.5833273
8.5,0.5,8.5,0.5,68,4,57,5,n82-1,8.0,5.5833273
8.5,0.5,8.5,0.5,68,4,60,5,n83-1,8.0,5.5833273
8.5,0.5,8.5,0.5,68,4,64,5,n84-1,8.0,5.5833273
