onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.0502117,0.06196575,75,68,0,0,n0,-10.0,-10.0
2.1175191,0.3290595,76,74,0,0,n1,-10.0,-10.0
2.1228611,0.06196575,64,53,0,0,n2,-10.0,-10.0
2.1346133,0.04914525,60,41,0,0,n3,2.128737,0.0
2.142092,0.050213624,57,37,0,0,n4,2.128737,0.0
2.3493567,0.07371788,60,46,0,0,n5,2.128737,0.0
2.3514934,0.07905975,64,55,0,0,n6,2.128737,0.0
2.3557668,0.063034125,57,41,0,0,n7,2.128737,0.0
2.5619633,0.18589725,76,85,0,0,n8,2.128737,0.0
2.5886726,0.052350376,57,44,0,0,n9,2.128737,0.0
2.5972197,0.041666623,64,50,0,0,n10,2.5929465,1.0
2.6025615,0.0470085,60,43,0,0,n11,2.5929465,1.0
2.7735014,0.077991374,64,54,0,0,n12,2.5929465,1.0
2.7767067,0.07585462,60,52,0,0,n13,2.5929465,1.0
2.7852535,0.063034125,57,48,0,0,n14,2.5929465,1.0
2.8760655,0.0299145,76,77,0,0,n15,2.5929465,1.0
2.9647405,0.4497859,76,80,0,0,n16,2.5929465,1.0
2.9978602,0.045940123,57,41,0,0,n17,2.5929465,1.0
3.0064073,0.035256375,64,44,0,0,n18,3.0021336,2.0
3.0235012,0.050213624,60,32,0,0,n19,3.0021336,2.0
3.1869626,0.06623925,64,48,0,0,n20,3.0021336,2.0
3.1890993,0.06196575,60,55,0,0,n21,3.0021336,2.0
3.2019198,0.05769225,57,44,0,0,n22,3.0021336,2.0
3.4038427,0.28418776,72,80,0,0,n23,3.0021336,2.0
3.4113214,0.048076876,64,60,0,0,n24,3.0021336,2.0
3.4188,0.04914525,57,50,0,0,n25,3.4150605,3.0
3.4188,0.052350376,60,53,0,0,n26,3.4150605,3.0
3.6282015,0.071581125,57,45,0,0,n27,3.4150605,3.0
3.6282015,0.0811965,60,51,0,0,n28,3.4150605,3.0
3.6282015,0.071581125,64,55,0,0,n29,3.4150605,3.0
3.697646,0.03205125,69,77,0,0,n30,3.4150605,3.0
3.8183722,0.08333325,69,78,0,0,n31,3.4150605,3.0
3.8493552,0.037393127,64,56,0,0,n32,3.4150605,3.0
3.851492,0.05341875,59,51,0,0,n33,3.851492,4.0
3.8600388,0.03632475,62,45,0,0,n34,3.851492,4.0
3.8643124,0.042735,57,32,0,0,n35,3.851492,4.0
3.9123893,0.17735025,68,68,0,0,n36,3.851492,4.0
4.0448675,0.059829,62,49,0,0,n37,3.851492,4.0
4.0470047,0.05769225,64,53,0,0,n38,3.851492,4.0
4.051278,0.063034125,59,43,0,0,n39,3.851492,4.0
4.053415,0.051282,57,40,0,0,n40,3.851492,4.0
4.2499957,0.89850336,68,62,0,0,n41,3.851492,4.0
4.261748,0.051282,64,53,0,0,n42,3.851492,4.0
4.2702947,0.054487124,59,47,0,0,n43,3.851492,4.0
4.272432,0.054487124,57,39,0,0,n44,4.270295,5.0
4.272432,0.052350376,62,42,0,0,n45,4.270295,5.0
4.481833,0.058760624,62,49,0,0,n46,4.270295,5.0
4.4850383,0.0555555,64,47,0,0,n47,4.270295,5.0
4.487175,0.059829,57,44,0,0,n48,4.270295,5.0
4.495722,0.054487124,59,41,0,0,n49,4.270295,5.0
4.6987133,0.05341875,64,54,0,0,n50,4.270295,5.0
4.709397,0.051282,62,47,0,0,n51,4.270295,5.0
4.7115335,0.05769225,59,43,0,0,n52,4.7104654,6.0
4.712602,0.0555555,57,42,0,0,n53,4.7104654,6.0
4.9102516,0.05769225,64,60,0,0,n54,4.7104654,6.0
4.9177303,0.05341875,62,51,0,0,n55,4.7104654,6.0
4.919867,0.058760624,59,53,0,0,n56,4.7104654,6.0
4.920935,0.054487124,57,45,0,0,n57,4.7104654,6.0
5.114311,0.376068,74,81,0,0,n58,4.7104654,6.0
5.129268,0.048076876,64,59,0,0,n59,4.7104654,6.0
5.139952,0.04914525,62,47,0,0,n60,5.139952,7.0
5.1431575,0.0555555,59,47,0,0,n61,5.139952,7.0
5.1613197,0.045940123,57,24,0,0,n62,5.139952,7.0
5.344012,0.050213624,64,60,0,0,n63,5.139952,7.0
5.3461485,0.0555555,59,54,0,0,n64,5.139952,7.0
5.347217,0.060897376,62,53,0,0,n65,5.139952,7.0
5.353627,0.054487124,57,41,0,0,n66,5.139952,7.0
5.432687,0.0641025,71,72,0,0,n67,5.139952,7.0
5.564097,0.34401676,76,79,0,0,n68,5.139952,7.0
5.575849,0.051282,64,55,0,0,n69,5.139952,7.0
5.5908065,0.060897376,57,42,0,0,n70,5.5833273,8.0
5.59508,0.05341875,60,43,0,0,n71,5.5833273,8.0
5.7927294,0.095085375,60,50,0,0,n72,5.5833273,8.0
5.795934,0.07051275,64,57,0,0,n73,5.5833273,8.0
5.806618,0.0641025,57,47,0,0,n74,5.5833273,8.0
6.003199,0.23717925,76,82,0,0,n75,5.5833273,8.0
6.0245667,0.060897376,64,56,0,0,n76,5.5833273,8.0
6.0470023,0.051282,57,34,0,0,n77,6.035785,9.0
6.0523443,0.051282,60,46,0,0,n78,6.035785,9.0
6.237173,0.07051275,64,59,0,0,n79,6.035785,9.0
6.23931,0.08440162,60,49,0,0,n80,6.035785,9.0
6.2435837,0.06730763,57,47,0,0,n81,6.035785,9.0
6.330122,0.0299145,76,77,0,0,n82,6.035785,9.0
6.4262757,0.24252112,76,80,0,0,n83,6.035785,9.0
6.461532,0.060897376,64,56,0,0,n84,6.035785,9.0
6.4861045,0.052350376,60,50,0,0,n85,6.4738183,10.0
6.4914465,0.050213624,57,35,0,0,n86,6.4738183,10.0
6.690164,0.10470075,77,77,0,0,n87,6.4738183,10.0
6.694438,0.0555555,60,50,0,0,n88,6.4738183,10.0
6.697643,0.048076876,64,53,0,0,n89,6.4738183,10.0
6.6997795,0.04914525,57,43,0,0,n90,6.4738183,10.0
6.7809763,0.103632376,76,84,0,0,n91,6.4738183,10.0
6.87713,0.08333325,74,82,0,0,n92,6.4738183,10.0
6.8963604,0.052350376,64,54,0,0,n93,6.4738183,10.0
6.902771,0.050213624,60,51,0,0,n94,6.899566,11.0
6.9123864,0.042735,57,40,0,0,n95,6.899566,11.0
6.9754205,0.050213624,72,72,0,0,n96,6.899566,11.0
7.0758476,0.1068375,71,73,0,0,n97,6.899566,11.0
7.086531,0.09081188,60,55,0,0,n98,6.899566,11.0
7.0875998,0.06517088,64,56,0,0,n99,6.899566,11.0
7.104694,0.051282,57,34,0,0,n100,6.899566,11.0
7.167728,0.035256375,69,77,0,0,n101,6.899566,11.0
7.295933,0.08867513,69,77,0,0,n102,6.899566,11.0
7.302343,0.04914525,64,59,0,0,n103,6.899566,11.0
7.314095,0.043803375,57,36,0,0,n104,7.314095,12.0
7.314095,0.04914525,62,53,0,0,n105,7.314095,12.0
7.3151636,0.050213624,59,52,0,0,n106,7.314095,12.0
7.3888817,0.188034,68,69,0,0,n107,7.314095,12.0
7.5363173,0.05341875,62,42,0,0,n108,7.314095,12.0
7.5373855,0.063034125,59,46,0,0,n109,7.314095,12.0
7.538454,0.052350376,64,48,0,0,n110,7.314095,12.0
7.544864,0.0555555,57,31,0,0,n111,7.314095,12.0
7.745719,0.88995636,68,56,0,0,n112,7.314095,12.0
7.759608,0.063034125,64,45,0,0,n113,7.314095,12.0
7.7681546,0.056623876,62,41,0,0,n114,7.314095,12.0
7.769223,0.0555555,57,35,0,0,n115,7.768155,13.0
7.772428,0.0555555,59,39,0,0,n116,7.768155,13.0
7.974351,0.05341875,64,48,0,0,n117,7.768155,13.0
7.979693,0.056623876,59,48,0,0,n118,7.768155,13.0
7.9818296,0.052350376,62,47,0,0,n119,7.768155,13.0
7.9893084,0.043803375,57,34,0,0,n120,7.768155,13.0
8.186957,0.051282,64,50,0,0,n121,7.768155,13.0
8.188026,0.05769225,62,51,0,0,n122,7.768155,13.0
8.197641,0.05341875,59,45,0,0,n123,8.192834,14.0
8.1987095,0.050213624,57,32,0,0,n124,8.192834,14.0
8.39529,0.048076876,64,52,0,0,n125,8.192834,14.0
8.397428,0.063034125,59,56,0,0,n126,8.192834,14.0
8.404906,0.050213624,62,46,0,0,n127,8.192834,14.0
8.408112,0.0470085,57,34,0,0,n128,8.192834,14.0
8.604692,0.38354662,74,82,0,0,n129,8.192834,14.0
8.620718,0.050213624,64,54,0,0,n130,8.192834,14.0
8.629265,0.05341875,62,51,0,0,n131,8.629265,15.0
8.63247,0.054487124,59,55,0,0,n132,8.629265,15.0
8.641017,0.048076876,57,30,0,0,n133,8.629265,15.0
8.837598,0.0555555,64,61,0,0,n134,8.629265,15.0
8.847214,0.051282,59,54,0,0,n135,8.629265,15.0
8.851487,0.051282,62,48,0,0,n136,8.629265,15.0
8.854692,0.0470085,57,35,0,0,n137,8.629265,15.0
8.93482,0.05769225,71,67,0,0,n138,8.629265,15.0
9.043795,0.33546975,76,80,0,0,n139,8.629265,15.0
9.050204,0.041666623,64,64,0,0,n140,8.629265,15.0
9.052341,0.041666623,57,56,0,0,n141,9.052341,16.0
9.052341,0.18910238,72,70,0,0,n142,9.052341,16.0
9.065162,0.037393127,60,49,0,0,n143,9.052341,16.0
9.277768,0.07905975,57,60,0,0,n144,9.052341,16.0
9.387811,0.03205125,69,60,0,0,n145,9.052341,16.0
9.399563,0.058760624,72,55,0,0,n146,9.052341,16.0
9.482897,0.0982905,72,50,0,0,n147,9.052341,16.0
9.485033,0.048076876,52,58,0,0,n148,9.485033,17.0
9.489306,0.5918797,76,67,0,0,n149,9.485033,17.0
9.692298,0.04059825,48,46,0,0,n150,9.485033,17.0
9.902768,0.136752,45,45,0,0,n151,9.902768,18.0
10.14422,0.060897376,72,49,0,0,n152,9.902768,18.0
10.145289,0.048076876,69,45,0,0,n153,9.902768,18.0
10.34828,0.04487175,74,56,0,0,n154,9.902768,18.0
10.363237,0.0384615,71,40,0,0,n155,10.355759,19.0
10.573708,0.042735,76,56,0,0,n156,10.355759,19.0
10.588665,0.03205125,72,50,0,0,n157,10.355759,19.0
10.840801,0.4572645,76,63,0,0,n158,10.355759,19.0
10.860032,0.43696538,73,46,0,0,n159,10.850416,20.0
11.320501,0.35790563,77,45,0,0,n160,10.850416,20.0
11.323707,0.21901688,62,35,0,0,n161,10.850416,20.0
11.330117,0.39423037,74,37,0,0,n162,10.850416,20.0
11.339732,0.47115338,53,29,0,0,n163,11.334925,21.0
11.344006,0.37072614,57,26,0,0,n164,11.334925,21.0
11.356826,0.10790587,60,18,0,0,n165,11.334925,21.0
11.810885,0.21901688,62,43,0,0,n166,11.334925,21.0
11.82798,0.2264955,59,29,0,0,n167,11.82798,22.0
11.837595,0.21153826,55,27,0,0,n168,11.82798,22.0
12.010672,0.054487124,71,53,0,0,n169,11.82798,22.0
12.024561,0.034188,67,43,0,0,n170,11.82798,22.0
12.213663,0.039529875,72,58,0,0,n171,11.82798,22.0
12.224347,0.030982874,69,54,0,0,n172,12.219005,23.0
12.419859,0.037393127,74,71,0,0,n173,12.219005,23.0
12.448706,0.0470085,71,42,0,0,n174,12.219005,23.0
12.704047,0.51282,75,67,0,0,n175,12.219005,23.0
12.723278,0.4198714,71,30,0,0,n176,12.713662,24.0
13.215798,0.39850387,76,47,0,0,n177,12.713662,24.0
13.221141,0.18162376,60,27,0,0,n178,12.713662,24.0
13.221141,0.42628163,72,37,0,0,n179,12.713662,24.0
13.237166,0.16773488,59,26,0,0,n180,13.229154,25.0
13.25426,0.478632,52,25,0,0,n181,13.229154,25.0
13.25426,0.24679463,55,16,0,0,n182,13.229154,25.0
13.722209,0.21474338,60,41,0,0,n183,13.229154,25.0
13.731824,0.22329037,53,37,0,0,n184,13.731824,26.0
13.731824,0.23397413,57,32,0,0,n185,13.731824,26.0
13.914516,0.05341875,69,52,0,0,n186,13.731824,26.0
13.964729,0.045940123,65,12,0,0,n187,13.731824,26.0
14.124986,0.035256375,68,56,0,0,n188,13.731824,26.0
14.127123,0.043803375,71,55,0,0,n189,14.126055,27.0
14.350413,0.03632475,72,41,0,0,n190,14.126055,27.0
14.36537,0.045940123,69,30,0,0,n191,14.126055,27.0
14.627122,0.36431587,72,41,0,0,n192,14.627122,28.0
