onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.5077442,0.17761734,75,75,0,0,n0,-10.0,-10.0
1.5197635,0.12286312,64,43,0,0,n1,-10.0,-10.0
1.5264407,0.120192185,60,45,0,0,n2,1.523102,0.0
1.535789,0.097489215,57,46,0,0,n3,1.523102,0.0
1.6559813,1.8309276,76,75,0,0,n4,1.523102,0.0
1.820244,1.666665,57,42,0,0,n5,1.523102,0.0
1.8255857,1.6613231,60,54,0,0,n6,1.523102,0.0
1.8255857,1.6613231,64,47,0,0,n7,1.523102,0.0
2.0592928,1.4276161,76,83,0,0,n8,1.523102,0.0
2.076654,1.410255,57,46,0,0,n9,1.523102,0.0
2.086002,1.4009067,60,51,0,0,n10,2.081328,1.0
2.091344,1.3955648,64,45,0,0,n11,2.081328,1.0
2.3010128,1.1858963,60,43,0,0,n12,2.081328,1.0
2.3237157,1.1631932,64,42,0,0,n13,2.081328,1.0
2.3357348,1.1511741,57,38,0,0,n14,2.081328,1.0
2.435895,1.051014,76,75,0,0,n15,2.081328,1.0
2.5427325,0.94417644,57,49,0,0,n16,2.081328,1.0
2.5427325,0.94417644,76,80,0,0,n17,2.081328,1.0
2.5454035,0.9415055,60,47,0,0,n18,2.544068,2.0
2.5574226,0.9294863,64,47,0,0,n19,2.544068,2.0
2.763085,0.7238241,60,35,0,0,n20,2.544068,2.0
2.7897942,0.6971147,57,44,0,0,n21,2.544068,2.0
2.7897942,0.6971147,64,42,0,0,n22,2.544068,2.0
3.0208304,0.46607858,60,46,0,0,n23,2.544068,2.0
3.039527,0.44738203,72,82,0,0,n24,2.544068,2.0
3.0421977,0.4447111,57,44,0,0,n25,3.0408626,3.0
3.048875,0.43803376,64,46,0,0,n26,3.0408626,3.0
3.225157,0.26175186,60,23,0,0,n27,3.0408626,3.0
3.2745693,0.21233954,64,43,0,0,n28,3.0408626,3.0
3.2772403,0.20966859,57,40,0,0,n29,3.0408626,3.0
3.396097,0.09081188,69,76,0,0,n30,3.0408626,3.0
3.526973,0.24038437,69,71,0,0,n31,3.0408626,3.0
3.5283084,0.097489215,59,46,0,0,n32,3.0408626,3.0
3.5323148,0.06810891,62,42,0,0,n33,3.0408626,3.0
3.5363212,0.056089688,57,17,0,0,n34,3.532315,4.0
3.5403275,0.06143156,64,27,0,0,n35,3.532315,4.0
3.7566736,0.08547,68,71,0,0,n36,3.532315,4.0
3.7713637,0.080128126,59,37,0,0,n37,3.532315,4.0
3.7807121,0.05074781,62,36,0,0,n38,3.532315,4.0
3.7927313,0.05475422,64,16,0,0,n39,3.532315,4.0
4.0117483,1.4356289,68,70,0,0,n40,3.532315,4.0
4.019761,1.4276161,57,40,0,0,n41,3.532315,4.0
4.022432,1.4249451,62,41,0,0,n42,4.022432,5.0
4.027774,1.4196032,59,45,0,0,n43,4.022432,5.0
4.029109,1.4182678,64,32,0,0,n44,4.022432,5.0
4.2494617,1.1979154,59,41,0,0,n45,4.022432,5.0
4.261481,1.1858963,62,40,0,0,n46,4.022432,5.0
4.2628164,1.1845608,57,41,0,0,n47,4.022432,5.0
4.2735,1.173877,64,33,0,0,n48,4.022432,5.0
4.4965234,0.95085377,59,40,0,0,n49,4.022432,5.0
4.504536,0.94284093,62,47,0,0,n50,4.022432,5.0
4.5085425,0.93883455,57,43,0,0,n51,4.506539,6.0
4.509878,0.93749905,64,38,0,0,n52,4.506539,6.0
4.7529335,0.69444376,64,46,0,0,n53,4.506539,6.0
4.75694,0.6904373,57,44,0,0,n54,4.506539,6.0
4.758275,0.6891019,59,50,0,0,n55,4.506539,6.0
4.7676234,0.6797536,62,53,0,0,n56,4.506539,6.0
4.999995,0.44738203,74,82,0,0,n57,4.506539,6.0
5.010679,0.4366983,62,52,0,0,n58,4.506539,6.0
5.0133495,0.43402734,64,45,0,0,n59,4.506539,6.0
