onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.5064087,0.15624985,75,75,0,0,n0,-10.0,-10.0
1.6038979,0.6249994,76,87,0,0,n1,1.506409,0.0
1.6332783,0.18830109,60,56,0,0,n2,1.506409,0.0
1.6359493,0.18830109,57,55,0,0,n3,1.506409,0.0
1.6359493,0.59294814,64,54,0,0,n4,1.506409,0.0
2.0045385,0.22435875,60,54,0,0,n5,1.506409,0.0
2.0058742,0.22302328,64,50,0,0,n6,1.506409,0.0
2.0218997,0.20699766,57,44,0,0,n7,2.013887,1.0
2.2409165,0.43269187,76,90,0,0,n8,2.013887,1.0
2.2662904,0.40731797,64,49,0,0,n9,2.013887,1.0
2.2756388,0.3979697,60,51,0,0,n10,2.013887,1.0
2.2809806,0.3926278,57,45,0,0,n11,2.013887,1.0
2.5120168,0.16159172,57,55,0,0,n12,2.013887,1.0
2.5227005,0.15090796,64,53,0,0,n13,2.013887,1.0
2.526707,0.14690156,60,60,0,0,n14,2.013887,1.0
2.606835,0.06677344,76,84,0,0,n15,2.013887,1.0
2.7216854,0.53285205,76,83,0,0,n16,2.013887,1.0
2.7296982,0.080128126,64,49,0,0,n17,2.013887,1.0
2.7337046,0.06944437,60,52,0,0,n18,2.7317016,2.0
2.737711,0.07612172,57,54,0,0,n19,2.7317016,2.0
2.9700825,0.25774547,64,60,0,0,n20,2.7317016,2.0
2.9727535,0.25507453,60,57,0,0,n21,2.7317016,2.0
2.9754243,0.2524036,57,55,0,0,n22,2.7317016,2.0
3.2037895,0.46874952,72,83,0,0,n23,2.7317016,2.0
3.2198153,0.084134534,60,59,0,0,n24,2.7317016,2.0
3.2211506,0.078792654,64,56,0,0,n25,3.220483,3.0
3.225157,0.07478625,57,51,0,0,n26,3.220483,3.0
3.4508512,0.22168781,64,55,0,0,n27,3.220483,3.0
3.4535222,0.21901688,60,63,0,0,n28,3.220483,3.0
3.4575286,0.21501046,57,42,0,0,n29,3.220483,3.0
3.5483406,0.12419859,69,80,0,0,n30,3.220483,3.0
3.6738746,0.12152766,57,49,0,0,n31,3.220483,3.0
3.677881,0.24973266,69,82,0,0,n32,3.220483,3.0
3.6912355,0.10416656,59,56,0,0,n33,3.220483,3.0
3.6925712,0.09214734,64,40,0,0,n34,3.691236,4.0
3.6939065,0.097489215,62,55,0,0,n35,3.691236,4.0
3.9209363,0.22569422,68,73,0,0,n36,3.691236,4.0
3.9650068,0.18162376,62,49,0,0,n37,3.691236,4.0
3.9676776,0.17895281,59,53,0,0,n38,3.691236,4.0
3.9676776,0.17895281,64,34,0,0,n39,3.691236,4.0
3.9783614,0.16826907,57,41,0,0,n40,3.691236,4.0
4.1639915,0.9415055,68,72,0,0,n41,3.691236,4.0
4.167998,0.09615375,59,57,0,0,n42,3.691236,4.0
4.1760106,0.070779845,62,50,0,0,n43,3.691236,4.0
4.178682,0.06944437,57,47,0,0,n44,4.176011,5.0
4.178682,0.07211531,64,46,0,0,n45,4.176011,5.0
4.4003696,0.09081188,64,53,0,0,n46,4.176011,5.0
4.4083824,0.08146359,62,57,0,0,n47,4.176011,5.0
4.419066,0.07211531,57,48,0,0,n48,4.176011,5.0
4.421737,0.080128126,59,61,0,0,n49,4.176011,5.0
4.6514378,0.07745719,62,61,0,0,n50,4.176011,5.0
4.652773,0.06810891,64,59,0,0,n51,4.176011,5.0
4.6621213,0.06810891,57,48,0,0,n52,4.657447,6.0
4.6661277,0.06276703,59,56,0,0,n53,4.657447,6.0
4.882474,0.07345078,64,59,0,0,n54,4.657447,6.0
4.8931575,0.070779845,57,54,0,0,n55,4.657447,6.0
4.8931575,0.070779845,62,65,0,0,n56,4.657447,6.0
4.902506,0.06143156,59,56,0,0,n57,4.657447,6.0
5.1135097,0.33520266,74,77,0,0,n58,4.657447,6.0
5.1282,0.060096093,64,59,0,0,n59,4.657447,6.0
5.1322064,0.06143156,62,61,0,0,n60,5.132206,7.0
5.1375484,0.06143156,59,54,0,0,n61,5.132206,7.0
5.1388836,0.056089688,57,51,0,0,n62,5.132206,7.0
5.3378687,0.08680547,59,62,0,0,n63,5.132206,7.0
5.341875,0.056089688,64,64,0,0,n64,5.132206,7.0
5.349888,0.07211531,62,64,0,0,n65,5.132206,7.0
5.3592362,0.06276703,57,50,0,0,n66,5.132206,7.0
5.4487123,0.038728595,74,9,0,0,n67,5.132206,7.0
5.4687448,0.07612172,71,62,0,0,n68,5.132206,7.0
5.5969496,0.470085,76,69,0,0,n69,5.132206,7.0
5.6036267,0.09214734,60,56,0,0,n70,5.132206,7.0
5.607633,0.08547,57,45,0,0,n71,5.60563,8.0
5.6169815,0.07345078,64,45,0,0,n72,5.60563,8.0
5.8440113,0.22302328,64,52,0,0,n73,5.60563,8.0
5.8560305,0.21100406,60,58,0,0,n74,5.60563,8.0
5.858701,0.20833312,57,52,0,0,n75,5.60563,8.0
6.079054,0.36591843,76,86,0,0,n76,5.60563,8.0
6.0950794,0.34989282,64,53,0,0,n77,5.60563,8.0
6.103092,0.34188,57,46,0,0,n78,6.0990853,9.0
6.104428,0.34054452,60,53,0,0,n79,6.0990853,9.0
6.316767,0.128205,64,65,0,0,n80,6.0990853,9.0
6.3207736,0.12419859,57,57,0,0,n81,6.0990853,9.0
6.3207736,0.12419859,60,60,0,0,n82,6.0990853,9.0
6.4316177,0.05208328,76,83,0,0,n83,6.0990853,9.0
6.541126,0.2897967,64,62,0,0,n84,6.0990853,9.0
6.546468,0.28445485,57,59,0,0,n85,6.546468,10.0
6.546468,0.28445485,60,63,0,0,n86,6.546468,10.0
6.555816,0.27510655,76,79,0,0,n87,6.546468,10.0
6.794865,0.1535789,77,80,0,0,n88,6.546468,10.0
6.802878,0.05208328,64,64,0,0,n89,6.546468,10.0
6.80822,0.06143156,57,57,0,0,n90,6.546468,10.0
6.809555,0.05341875,60,58,0,0,n91,6.546468,10.0
6.909715,0.12686953,76,84,0,0,n92,6.546468,10.0
7.005869,0.09214734,74,77,0,0,n93,6.546468,10.0
7.016553,0.056089688,64,59,0,0,n94,6.546468,10.0
7.0218945,0.060096093,57,56,0,0,n95,7.019224,11.0
7.0218945,0.056089688,60,60,0,0,n96,7.019224,11.0
7.114042,0.07612172,72,81,0,0,n97,7.019224,11.0
7.222215,0.070779845,57,57,0,0,n98,7.019224,11.0
7.222215,0.10550203,71,83,0,0,n99,7.019224,11.0
7.2235503,0.05475422,64,59,0,0,n100,7.019224,11.0
7.224886,0.07211531,60,63,0,0,n101,7.019224,11.0
7.318369,0.04139953,69,75,0,0,n102,7.019224,11.0
7.443903,0.48611063,69,78,0,0,n103,7.019224,11.0
7.4519157,0.12954047,57,40,0,0,n104,7.019224,11.0
7.4519157,0.13087593,62,52,0,0,n105,7.019224,11.0
7.4519157,0.13488235,64,48,0,0,n106,7.019224,11.0
7.4599285,0.120192185,59,57,0,0,n107,7.451916,12.0
7.696306,0.23370703,68,76,0,0,n108,7.451916,12.0
7.7417126,0.18830109,64,50,0,0,n109,7.451916,12.0
7.7430477,0.18696563,62,54,0,0,n110,7.451916,12.0
7.7483897,0.18162376,59,53,0,0,n111,7.451916,12.0
7.755067,0.17494641,57,44,0,0,n112,7.451916,12.0
7.9393616,0.08146359,62,56,0,0,n113,7.451916,12.0
7.9393616,0.96020204,68,74,0,0,n114,7.451916,12.0
7.940697,0.07211531,64,57,0,0,n115,7.940697,13.0
7.9447036,0.08547,59,53,0,0,n116,7.940697,13.0
7.94871,0.06677344,57,45,0,0,n117,7.940697,13.0
8.178411,0.07211531,64,59,0,0,n118,7.940697,13.0
8.182417,0.07345078,62,65,0,0,n119,7.940697,13.0
8.187758,0.07211531,59,63,0,0,n120,7.940697,13.0
8.191766,0.060096093,57,50,0,0,n121,7.940697,13.0
8.420131,0.08947641,62,67,0,0,n122,7.940697,13.0
8.420131,0.07745719,64,59,0,0,n123,7.940697,13.0
8.430814,0.088140935,59,61,0,0,n124,8.425472,14.0
8.433485,0.07345078,57,58,0,0,n125,8.425472,14.0
8.663186,0.06944437,64,61,0,0,n126,8.425472,14.0
8.669863,0.078792654,62,71,0,0,n127,8.425472,14.0
8.6778755,0.070779845,59,63,0,0,n128,8.425472,14.0
8.687224,0.05341875,57,57,0,0,n129,8.425472,14.0
8.907577,0.22435875,74,81,0,0,n130,8.425472,14.0
8.908912,0.06677344,62,68,0,0,n131,8.908912,15.0
