onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.5197635,17.47728,80,37,0,0,n0,-10.0,-10.0
1.5251054,17.471937,77,34,0,0,n1,1.525105,-2.0
1.5317826,17.46526,73,24,0,0,n2,1.525105,-2.0
1.6319429,17.3651,81,45,0,0,n3,1.525105,-2.0
1.7614833,17.23556,73,41,0,0,n4,1.525105,-2.0
1.7641542,17.23289,77,36,0,0,n5,1.525105,-2.0
1.7654897,17.231554,80,33,0,0,n6,1.525105,-2.0
1.8843464,17.112696,73,35,0,0,n7,1.525105,-2.0
1.8896883,17.107355,77,39,0,0,n8,1.525105,-2.0
1.8936946,17.103348,80,41,0,0,n9,1.525105,-2.0
2.0098805,16.987162,81,44,0,0,n10,1.525105,-2.0
2.111376,16.885668,73,37,0,0,n11,1.525105,-2.0
2.116718,16.880325,77,40,0,0,n12,1.525105,-2.0
2.1220598,16.874983,80,35,0,0,n13,1.525105,-2.0
2.2355747,16.761469,73,37,0,0,n14,1.525105,-2.0
2.2449229,16.75212,80,40,0,0,n15,1.525105,-2.0
2.2516003,16.745443,77,38,0,0,n16,1.525105,-2.0
2.3624442,16.6346,81,39,0,0,n17,1.525105,-2.0
2.498662,16.49838,77,47,0,0,n18,1.525105,-2.0
2.5106812,16.486362,80,37,0,0,n19,2.510681,-1.0
2.5307133,16.46633,73,11,0,0,n20,2.510681,-1.0
2.6175187,16.379524,81,42,0,0,n21,2.510681,-1.0
2.7417173,16.255325,80,40,0,0,n22,2.510681,-1.0
2.755072,16.24197,73,22,0,0,n23,2.510681,-1.0
2.757743,16.2393,77,28,0,0,n24,2.510681,-1.0
2.828523,16.16852,77,9,0,0,n25,2.510681,-1.0
2.8619096,16.135134,80,34,0,0,n26,2.510681,-1.0
2.9553924,16.04165,81,49,0,0,n27,2.510681,-1.0
3.1717384,15.825305,73,38,0,0,n28,2.510681,-1.0
3.1770802,15.8199625,80,9,0,0,n29,2.510681,-1.0
3.2919304,15.705112,81,51,0,0,n30,2.510681,-1.0
3.4188,15.578243,77,43,0,0,n31,2.510681,-1.0
3.424142,15.572901,80,40,0,0,n32,3.424142,0.0
