xml_id	midi_id	track	channel	pitch	onset
n540-1	n1	0	0	73	0.5649032812500001
n544-1	n6	0	0	73	0.9241443749999999
n547-1	n8	0	0	73	1.02697546875
n558-1	n17	0	0	73	1.6907034375
n562-1	n20	0	0	73	1.885681875
n569-1	n27	0	0	73	2.22889734375
n577-1	n33	0	0	73	2.568106406249999
n572-1	deletion
n551-1	deletion
n554-1	deletion
n565-1	deletion
n541-1	n2	0	0	77	0.5849353125000001
n545-1	n5	0	0	77	0.9214734374999999
n548-1	n9	0	0	77	1.05769125
n552-1	n11	0	0	77	1.2686953125
n555-1	n13	0	0	77	1.4289515625000002
n559-1	n16	0	0	77	1.6546457812500002
n563-1	n19	0	0	77	1.86832078125
n566-1	n23	0	0	77	1.9898484374999998
n570-1	n25	0	0	77	2.2088653125
n573-1	n29	0	0	77	2.3397412499999994
n578-1	n31	0	0	77	2.5373906249999996
n542-1	n0	0	0	80	0.5208328125000001
n546-1	n4	0	0	80	0.9107896874999999
n549-1	n7	0	0	80	1.0256399999999999
n553-1	n12	0	0	80	1.28071453125
n560-1	n15	0	0	80	1.6452975
n564-1	n21	0	0	80	1.88701734375
n567-1	n22	0	0	80	1.97515828125
n571-1	n26	0	0	80	2.2248909375
n574-1	n28	0	0	80	2.3157028124999997
n579-1	n32	0	0	80	2.5667709374999994
n556-1	deletion
n543-1	n3	0	0	81	0.7425206249999999
n550-1	n10	0	0	81	1.169870625
n557-1	n14	0	0	81	1.5251053125
n561-1	n18	0	0	81	1.75079953125
n568-1	n24	0	0	81	2.10603421875
n575-1	n30	0	0	81	2.4278821875
n580-1	n34	0	0	81	2.654911874999999
n588-1	n42	0	0	73	3.1156485937499983
n581-1	deletion
n584-1	deletion
n591-1	deletion
n582-1	n36	0	0	77	2.765755781249999
n585-1	n38	0	0	77	2.896631718749999
n589-1	n40	0	0	77	3.0956165624999983
n592-1	n44	0	0	77	3.230498906249998
n583-1	n35	0	0	80	2.7550720312499988
n586-1	n37	0	0	80	2.8912898437499988
n590-1	n41	0	0	80	3.1116421874999984
n593-1	n43	0	0	80	3.223821562499998
n587-1	n39	0	0	81	3.0034692187499985
n594-1	n45	0	0	81	3.344013749999998
n595-1	n47	0	0	73	3.470883281249998
n599-1	n50	0	0	73	3.679216406249998
n602-1	n53	0	0	73	3.7847184374999983
n606-1	n57	0	0	73	4.011748124999999
n609-1	n61	0	0	73	4.154643281249999
n596-1	n46	0	0	77	3.462870468749998
n600-1	n52	0	0	77	3.687229218749998
n603-1	n54	0	0	77	3.8087568749999985
n607-1	n56	0	0	77	4.006406249999999
n610-1	n60	0	0	77	4.143959531249999
n597-1	n48	0	0	80	3.482902499999998
n601-1	n51	0	0	80	3.679216406249998
n608-1	n58	0	0	80	4.038457499999999
n611-1	n59	0	0	80	4.123927499999999
n604-1	deletion
n598-1	n49	0	0	81	3.552346874999998
n605-1	n55	0	0	81	3.9009042187499983
n612-1	n62	0	0	81	4.238777812499999
n613-1	n65	0	0	73	4.36297640625
n617-1	deletion
n624-1	n74	0	0	73	4.938563437499999
n620-1	deletion
n627-1	deletion
n614-1	n63	0	0	77	4.353628124999999
n618-1	n67	0	0	77	4.577986874999999
n621-1	n70	0	0	77	4.70218546875
n625-1	n72	0	0	77	4.910518593749999
n628-1	deletion
n615-1	n64	0	0	80	4.358969999999999
n619-1	n68	0	0	80	4.587335156249999
n622-1	n69	0	0	80	4.671469687499999
n626-1	n73	0	0	80	4.914524999999999
n629-1	deletion
n616-1	n66	0	0	81	4.469813906249999
n623-1	n71	0	0	81	4.815700312499999
n630-1	n75	0	0	81	5.153573906249998
n635-1	n80	0	0	73	5.572911093749997
n638-1	deletion
n642-1	n86	0	0	73	5.868049687499996
n631-1	deletion
n645-1	deletion
n632-1	n77	0	0	77	5.332526718749998
n636-1	n82	0	0	77	5.583594843749996
n643-1	n85	0	0	77	5.8520240624999955
n646-1	n88	0	0	77	5.968209843749996
n639-1	deletion
n633-1	n76	0	0	80	5.279107968749998
n637-1	n79	0	0	80	5.486105624999997
n640-1	n81	0	0	80	5.580923906249996
n644-1	n84	0	0	80	5.8466821874999955
n647-1	n87	0	0	80	5.945506874999996
n634-1	n78	0	0	81	5.381939062499997
n641-1	n83	0	0	81	5.743851093749996
n648-1	n89	0	0	81	6.100421249999997
n657-1	n93	0	0	73	6.706724062499996
n654-1	deletion
n650-1	deletion
n661-1	deletion
n664-1	deletion
n718-1	n90	0	0	75	6.352824843749996
n658-1	n92	0	0	77	6.692033906249995
n655-1	deletion
n662-1	n95	0	0	77	6.945772968749996
n665-1	n98	0	0	77	7.095345468749994
n651-1	deletion
n663-1	n96	0	0	80	6.947108437499995
n666-1	n97	0	0	80	7.064629687499995
n652-1	deletion
n656-1	deletion
n659-1	deletion
n653-1	n91	0	0	81	6.473017031249996
n660-1	n94	0	0	81	6.824245312499996
n667-1	n99	0	0	81	7.188828281249994
n719-1	n100	0	0	71	7.387813124999994
n675-1	n104	0	0	73	7.7136674999999935
n679-1	n109	0	0	73	7.982096718749992
n668-1	deletion
n672-1	deletion
n682-1	deletion
n676-1	n103	0	0	77	7.706990156249994
n673-1	deletion
n680-1	n107	0	0	77	7.956722812499993
n669-1	deletion
n683-1	deletion
n674-1	n102	0	0	80	7.610836406249994
n677-1	n105	0	0	80	7.721680312499993
n681-1	n108	0	0	80	7.964735624999992
n684-1	n110	0	0	80	8.064895781249993
n670-1	deletion
n671-1	n101	0	0	81	7.487973281249994
n678-1	n106	0	0	81	7.8498853124999926
n685-1	n111	0	0	81	8.186423437499993
n720-1	n116	0	0	68	8.811422812499991
