idx,matchtype,partid,ppartid
0,0,n540-1,n1
1,0,n544-1,n6
2,0,n547-1,n8
3,0,n558-1,n17
4,0,n562-1,n20
5,0,n569-1,n27
6,0,n577-1,n33
7,1,n572-1,undefined
8,1,n551-1,undefined
9,1,n554-1,undefined
10,1,n565-1,undefined
11,0,n541-1,n2
12,0,n545-1,n5
13,0,n548-1,n9
14,0,n552-1,n11
15,0,n555-1,n13
16,0,n559-1,n16
17,0,n563-1,n19
18,0,n566-1,n23
19,0,n570-1,n25
20,0,n573-1,n29
21,0,n578-1,n31
22,0,n542-1,n0
23,0,n546-1,n4
24,0,n549-1,n7
25,0,n553-1,n12
26,0,n560-1,n15
27,0,n564-1,n21
28,0,n567-1,n22
29,0,n571-1,n26
30,0,n574-1,n28
31,0,n579-1,n32
32,1,n556-1,undefined
33,0,n543-1,n3
34,0,n550-1,n10
35,0,n557-1,n14
36,0,n561-1,n18
37,0,n568-1,n24
38,0,n575-1,n30
39,0,n580-1,n34
40,0,n588-1,n42
41,1,n581-1,undefined
42,1,n584-1,undefined
43,1,n591-1,undefined
44,0,n582-1,n36
45,0,n585-1,n38
46,0,n589-1,n40
47,0,n592-1,n44
48,0,n583-1,n35
49,0,n586-1,n37
50,0,n590-1,n41
51,0,n593-1,n43
52,0,n587-1,n39
53,0,n594-1,n45
54,0,n595-1,n47
55,0,n599-1,n50
56,0,n602-1,n53
57,0,n606-1,n57
58,0,n609-1,n61
59,0,n596-1,n46
60,0,n600-1,n52
61,0,n603-1,n54
62,0,n607-1,n56
63,0,n610-1,n60
64,0,n597-1,n48
65,0,n601-1,n51
66,0,n608-1,n58
67,0,n611-1,n59
68,1,n604-1,undefined
69,0,n598-1,n49
70,0,n605-1,n55
71,0,n612-1,n62
72,0,n613-1,n65
73,1,n617-1,undefined
74,0,n624-1,n74
75,1,n620-1,undefined
76,1,n627-1,undefined
77,0,n614-1,n63
78,0,n618-1,n67
79,0,n621-1,n70
80,0,n625-1,n72
81,1,n628-1,undefined
82,0,n615-1,n64
83,0,n619-1,n68
84,0,n622-1,n69
85,0,n626-1,n73
86,1,n629-1,undefined
87,0,n616-1,n66
88,0,n623-1,n71
89,0,n630-1,n75
90,0,n635-1,n80
91,1,n638-1,undefined
92,0,n642-1,n86
93,1,n631-1,undefined
94,1,n645-1,undefined
95,0,n632-1,n77
96,0,n636-1,n82
97,0,n643-1,n85
98,0,n646-1,n88
99,1,n639-1,undefined
100,0,n633-1,n76
101,0,n637-1,n79
102,0,n640-1,n81
103,0,n644-1,n84
104,0,n647-1,n87
105,0,n634-1,n78
106,0,n641-1,n83
107,0,n648-1,n89
108,0,n657-1,n93
109,1,n654-1,undefined
110,1,n650-1,undefined
111,1,n661-1,undefined
112,1,n664-1,undefined
113,0,n718-1,n90
114,0,n658-1,n92
115,1,n655-1,undefined
116,0,n662-1,n95
117,0,n665-1,n98
118,1,n651-1,undefined
119,0,n663-1,n96
120,0,n666-1,n97
121,1,n652-1,undefined
122,1,n656-1,undefined
123,1,n659-1,undefined
124,0,n653-1,n91
125,0,n660-1,n94
126,0,n667-1,n99
127,0,n719-1,n100
128,0,n675-1,n104
129,0,n679-1,n109
130,1,n668-1,undefined
131,1,n672-1,undefined
132,1,n682-1,undefined
133,0,n676-1,n103
134,1,n673-1,undefined
135,0,n680-1,n107
136,1,n669-1,undefined
137,1,n683-1,undefined
138,0,n674-1,n102
139,0,n677-1,n105
140,0,n681-1,n108
141,0,n684-1,n110
142,1,n670-1,undefined
143,0,n671-1,n101
144,0,n678-1,n106
145,0,n685-1,n111
146,0,n720-1,n116
147,0,n700-1,n121
148,1,n686-1,undefined
149,1,n690-1,undefined
150,1,n693-1,undefined
151,1,n697-1,undefined
152,0,n691-1,n114
153,0,n698-1,n118
154,0,n701-1,n119
155,1,n687-1,undefined
156,1,n694-1,undefined
157,0,n692-1,n113
158,0,n699-1,n117
159,0,n702-1,n120
160,1,n688-1,undefined
161,1,n695-1,undefined
162,0,n689-1,n112
163,0,n696-1,n115
164,0,n703-1,n122
165,0,n721-1,n123
166,0,n722-1,n129
167,1,n704-1,undefined
168,0,n708-1,n126
169,0,n710-1,n128
170,0,n713-1,n132
171,1,n705-1,undefined
172,1,n715-1,undefined
173,0,n706-1,n124
174,0,n709-1,n127
175,1,n711-1,undefined
176,0,n714-1,n131
177,1,n716-1,undefined
178,0,n707-1,n125
179,0,n712-1,n130
180,0,n717-1,n133
181,1,n723-1,undefined
182,1,n727-1,undefined
183,1,n730-1,undefined
184,1,n734-1,undefined
185,1,n737-1,undefined
186,0,n791-1,n134
187,0,n728-1,n137
188,0,n731-1,n138
189,0,n735-1,n142
190,0,n738-1,n143
191,1,n724-1,undefined
192,0,n729-1,n136
193,0,n732-1,n139
194,0,n736-1,n141
195,1,n725-1,undefined
196,1,n739-1,undefined
197,0,n726-1,n135
198,0,n733-1,n140
199,0,n740-1,n144
200,0,n792-1,n145
201,1,n741-1,undefined
202,1,n745-1,undefined
203,1,n748-1,undefined
204,1,n752-1,undefined
205,1,n755-1,undefined
206,0,n746-1,n148
207,0,n749-1,n149
208,0,n753-1,n153
209,0,n756-1,n155
210,0,n760-1,n157
211,1,n742-1,undefined
212,0,n747-1,n147
213,0,n750-1,n150
214,0,n754-1,n152
215,0,n757-1,n154
216,0,n761-1,n158
217,1,n743-1,undefined
218,0,n744-1,n146
219,0,n751-1,n151
220,0,n758-1,n156
221,0,n793-1,n163
222,0,n763-1,n162
223,0,n773-1,n167
224,1,n759-1,undefined
225,1,n766-1,undefined
226,1,n770-1,undefined
227,0,n764-1,n160
228,0,n771-1,n164
229,0,n774-1,n166
230,1,n767-1,undefined
231,0,n765-1,n161
232,0,n772-1,n165
233,1,n775-1,undefined
234,1,n768-1,undefined
235,0,n762-1,n159
236,0,n776-1,n168
237,1,n769-1,undefined
238,0,n794-1,n169
239,0,n777-1,n175
240,0,n795-1,n176
241,1,n796-1,undefined
242,0,n781-1,n172
243,0,n783-1,n174
244,0,n786-1,n179
245,0,n788-1,n180
246,1,n778-1,undefined
247,0,n779-1,n170
248,0,n782-1,n173
249,1,n784-1,undefined
250,0,n787-1,n178
251,1,n789-1,undefined
252,0,n780-1,n171
253,0,n785-1,n177
254,0,n790-1,n181
255,0,n858-1,n188
256,1,n800-1,undefined
257,1,n803-1,undefined
258,1,n807-1,undefined
259,1,n810-1,undefined
260,0,n857-1,n182
261,0,n801-1,n186
262,0,n808-1,n191
263,1,n811-1,undefined
264,1,n797-1,undefined
265,1,n804-1,undefined
266,0,n798-1,n183
267,0,n802-1,n185
268,0,n805-1,n187
269,0,n809-1,n190
270,1,n812-1,undefined
271,0,n799-1,n184
272,0,n806-1,n189
273,1,n813-1,undefined
274,0,n818-1,n196
275,1,n814-1,undefined
276,1,n820-1,undefined
277,1,n822-1,undefined
278,0,n815-1,n193
279,0,n860-1,n197
280,0,n859-1,n192
281,0,n821-1,n199
282,0,n823-1,n200
283,0,n816-1,n194
284,0,n817-1,n195
285,0,n819-1,n198
286,0,n824-1,n201
287,0,n828-1,n204
288,0,n829-1,n205
289,0,n861-1,n202
290,0,n830-1,n207
291,0,n834-1,n212
292,1,n837-1,undefined
293,1,n825-1,undefined
294,0,n831-1,n206
295,0,n835-1,n211
296,1,n826-1,undefined
297,1,n838-1,undefined
298,0,n827-1,n203
299,0,n832-1,n208
300,0,n836-1,n210
301,0,n839-1,n213
302,0,n833-1,n209
303,0,n840-1,n214
304,0,n863-1,n222
305,0,n862-1,n215
306,1,n841-1,undefined
307,1,n846-1,undefined
308,1,n850-1,undefined
309,1,n853-1,undefined
310,0,n847-1,n220
311,1,n842-1,undefined
312,1,n851-1,undefined
313,0,n854-1,n227
314,0,n843-1,n216
315,0,n848-1,n219
316,0,n852-1,n223
317,0,n855-1,n224
318,0,n844-1,n217
319,0,n845-1,n218
320,0,n849-1,n221
321,0,n856-1,n225
322,0,n928-1,n229
323,0,n864-1,n228
324,0,n869-1,n232
325,0,n873-1,n237
326,0,n876-1,n238
327,0,n880-1,n244
328,0,n870-1,n231
329,0,n874-1,n235
330,0,n877-1,n239
331,0,n881-1,n242
332,0,n886-1,n249
333,0,n890-1,n252
334,0,n893-1,n253
335,0,n897-1,n255
336,0,n902-1,n260
337,0,n906-1,n267
338,1,n865-1,undefined
339,1,n909-1,undefined
340,0,n866-1,n226
341,0,n871-1,n233
342,0,n875-1,n236
343,0,n878-1,n240
344,0,n882-1,n243
345,0,n868-1,n230
346,0,n872-1,n234
347,0,n879-1,n241
348,0,n883-1,n245
349,1,n867-1,undefined
350,0,n885-1,n248
351,0,n896-1,n256
352,0,n901-1,n262
353,0,n905-1,n266
354,1,n892-1,undefined
355,1,n908-1,undefined
356,1,n889-1,undefined
357,0,n887-1,n247
358,0,n891-1,n251
359,0,n898-1,n257
360,0,n903-1,n261
361,0,n907-1,n265
362,1,n894-1,undefined
363,1,n910-1,undefined
364,0,n884-1,n246
365,0,n888-1,n250
366,0,n895-1,n254
367,0,n930-1,n263
368,0,n899-1,n258
369,0,n900-1,n259
370,0,n904-1,n264
371,0,n911-1,n268
372,0,n932-1,n276
373,0,n931-1,n269
374,0,n917-1,n273
375,0,n921-1,n278
376,1,n912-1,undefined
377,1,n924-1,undefined
378,0,n918-1,n274
379,0,n922-1,n277
380,0,n925-1,n279
381,1,n913-1,undefined
382,0,n919-1,n272
383,1,n914-1,undefined
384,1,n923-1,undefined
385,0,n935-1,n282
386,0,n940-1,n285
387,0,n944-1,n289
388,0,n947-1,n292
389,0,n951-1,n295
390,0,n956-1,n301
391,0,n960-1,n304
392,0,n963-1,n306
393,0,n967-1,n310
394,0,n972-1,n314
395,0,n976-1,n320
396,0,n986-1,n324
397,0,n991-1,n329
398,0,n995-1,n332
399,0,n998-1,n335
400,0,n1002-1,n340
401,0,n1007-1,n345
402,0,n1011-1,n347
403,0,n1014-1,n352
404,0,n1018-1,n354
405,0,n1023-1,n365
406,0,n1027-1,n367
407,1,n926-1,undefined
408,1,n979-1,undefined
409,1,n1030-1,undefined
410,0,n915-1,n270
411,0,n916-1,n271
412,0,n920-1,n275
413,0,n927-1,n280
414,0,n981-1,n281
415,0,n938-1,n284
416,0,n942-1,n290
417,1,n933-1,undefined
418,1,n945-1,undefined
419,0,n939-1,n286
420,0,n943-1,n288
421,0,n946-1,n291
422,0,n950-1,n296
423,0,n955-1,n299
424,0,n959-1,n303
425,0,n962-1,n307
426,1,n934-1,undefined
427,1,n966-1,undefined
428,0,n936-1,n283
429,0,n941-1,n287
430,0,n948-1,n293
431,1,n937-1,undefined
432,0,n982-1,n294
433,0,n954-1,n300
434,0,n958-1,n305
435,1,n949-1,undefined
436,1,n961-1,undefined
437,0,n952-1,n297
438,0,n953-1,n298
439,0,n957-1,n302
440,0,n964-1,n308
441,0,n983-1,n309
442,0,n984-1,n317
443,0,n965-1,n311
444,0,n970-1,n315
445,1,n974-1,undefined
446,1,n977-1,undefined
447,0,n971-1,n316
448,0,n975-1,n319
449,0,n978-1,n321
450,0,n968-1,n312
