idx,matchtype,partid,ppartid
0,0,n540-1,n2
1,0,n544-1,n5
2,0,n547-1,n7
3,0,n551-1,n11
4,0,n554-1,n13
5,0,n558-1,n15
6,0,n562-1,n19
7,0,n565-1,n23
8,0,n569-1,n26
9,0,n572-1,n29
10,0,n577-1,n32
11,0,n541-1,n1
12,0,n545-1,n6
13,0,n548-1,n8
14,0,n552-1,n10
15,0,n555-1,n12
16,0,n559-1,n17
17,0,n563-1,n20
18,0,n566-1,n22
19,0,n570-1,n25
20,0,n573-1,n30
21,0,n578-1,n33
22,0,n542-1,n0
23,0,n549-1,n4
24,1,n546-1,undefined
25,0,n560-1,n16
26,0,n564-1,n21
27,0,n571-1,n27
28,0,n579-1,n34
29,1,n556-1,undefined
30,0,n574-1,n28
31,0,n583-1,n38
32,1,n567-1,undefined
33,1,n553-1,undefined
34,0,n543-1,n3
35,0,n550-1,n9
36,0,n557-1,n14
37,0,n561-1,n18
38,0,n568-1,n24
39,0,n575-1,n31
40,0,n580-1,n35
41,0,n581-1,n37
42,0,n588-1,n42
43,1,n584-1,undefined
44,1,n591-1,undefined
45,0,n582-1,n36
46,0,n585-1,n39
47,0,n589-1,n41
48,0,n592-1,n45
49,0,n590-1,n43
50,0,n593-1,n44
51,1,n586-1,undefined
52,0,n587-1,n40
53,0,n594-1,n46
54,0,n598-1,n50
55,0,n605-1,n56
56,0,n595-1,n47
57,0,n599-1,n51
58,0,n602-1,n54
59,0,n606-1,n58
60,1,n609-1,undefined
61,0,n596-1,n48
62,0,n600-1,n52
63,1,n603-1,undefined
64,0,n607-1,n57
65,0,n610-1,n60
66,0,n597-1,n49
67,0,n601-1,n53
68,0,n604-1,n55
69,0,n608-1,n59
70,0,n611-1,n61
71,0,n615-1,n65
72,0,n619-1,n68
73,0,n622-1,n71
74,0,n626-1,n76
75,0,n629-1,n84
76,0,n633-1,n90
77,0,n637-1,n92
78,0,n640-1,n95
79,0,n644-1,n99
80,0,n647-1,n105
81,0,n612-1,n62
82,0,n616-1,n66
83,0,n613-1,n63
84,0,n617-1,n72
85,0,n620-1,n74
86,0,n624-1,n79
87,0,n627-1,n82
88,2,undefined,n67
89,0,n614-1,n64
90,0,n618-1,n70
91,0,n621-1,n75
92,0,n625-1,n77
93,0,n628-1,n80
94,2,undefined,n69
95,0,n623-1,n73
96,0,n630-1,n81
97,2,undefined,n78
98,0,n631-1,n86
99,0,n635-1,n93
100,0,n638-1,n96
101,0,n642-1,n101
102,0,n645-1,n104
103,0,n650-1,n107
104,0,n654-1,n109
105,0,n657-1,n115
106,0,n661-1,n120
107,0,n668-1,n125
108,2,undefined,n88
109,2,undefined,n100
110,0,n632-1,n85
111,0,n636-1,n91
112,0,n639-1,n97
113,0,n643-1,n103
114,0,n646-1,n106
115,2,undefined,n89
116,0,n634-1,n87
117,0,n641-1,n98
118,0,n648-1,n108
119,2,undefined,n102
120,0,n664-1,n123
121,0,n672-1,n130
122,0,n718-1,n112
123,0,n651-1,n111
124,0,n662-1,n118
125,0,n673-1,n129
126,1,n655-1,undefined
127,0,n665-1,n121
128,0,n676-1,n134
129,1,n658-1,undefined
130,0,n652-1,n110
131,0,n656-1,n114
132,0,n659-1,n116
133,0,n663-1,n119
134,0,n670-1,n126
135,0,n666-1,n122
136,0,n674-1,n131
137,0,n653-1,n113
138,0,n660-1,n117
139,0,n667-1,n124
140,0,n671-1,n128
141,0,n719-1,n127
142,0,n675-1,n133
143,0,n679-1,n136
144,0,n682-1,n138
145,0,n687-1,n140
146,0,n691-1,n144
147,0,n694-1,n146
148,0,n701-1,n151
149,0,n705-1,n154
150,0,n708-1,n159
151,0,n710-1,n161
152,0,n713-1,n165
153,0,n715-1,n166
154,0,n724-1,n168
155,0,n728-1,n172
156,0,n731-1,n175
157,0,n735-1,n178
158,1,n683-1,undefined
159,1,n698-1,undefined
160,1,n738-1,undefined
161,1,n669-1,undefined
162,1,n680-1,undefined
163,0,n677-1,n132
164,0,n684-1,n137
165,0,n688-1,n141
166,0,n692-1,n145
167,1,n681-1,undefined
168,1,n695-1,undefined
169,0,n678-1,n135
170,0,n685-1,n139
171,0,n720-1,n149
172,0,n690-1,n143
173,0,n693-1,n147
174,0,n700-1,n152
175,0,n704-1,n155
176,0,n722-1,n163
177,1,n697-1,undefined
178,1,n723-1,undefined
179,1,n686-1,undefined
180,0,n702-1,n150
181,1,n699-1,undefined
182,0,n689-1,n142
183,0,n696-1,n148
184,0,n703-1,n153
185,0,n721-1,n156
186,0,n709-1,n158
187,0,n711-1,n160
188,0,n714-1,n164
189,1,n716-1,undefined
190,1,n706-1,undefined
191,0,n707-1,n157
192,0,n712-1,n162
193,0,n717-1,n167
194,0,n727-1,n174
195,0,n730-1,n176
196,0,n734-1,n179
197,0,n737-1,n180
198,0,n791-1,n170
199,0,n725-1,n169
200,0,n732-1,n173
201,1,n729-1,undefined
202,1,n736-1,undefined
203,1,n739-1,undefined
204,0,n726-1,n171
205,0,n733-1,n177
206,0,n740-1,n181
207,0,n792-1,n185
208,0,n741-1,n182
209,0,n745-1,n188
210,0,n748-1,n192
211,0,n752-1,n194
212,0,n755-1,n197
213,0,n742-1,n183
214,0,n746-1,n187
215,0,n749-1,n191
216,0,n753-1,n195
217,0,n760-1,n201
218,1,n756-1,undefined
219,0,n743-1,n184
220,0,n747-1,n189
221,0,n750-1,n190
222,0,n754-1,n196
223,0,n761-1,n200
224,1,n757-1,undefined
225,0,n744-1,n186
226,0,n751-1,n193
227,0,n758-1,n198
228,0,n793-1,n208
229,0,n759-1,n199
230,0,n763-1,n204
231,0,n766-1,n206
232,0,n770-1,n209
233,0,n773-1,n214
234,0,n764-1,n203
235,0,n767-1,n205
236,0,n771-1,n211
237,0,n774-1,n213
238,0,n772-1,n210
239,0,n775-1,n212
240,1,n765-1,undefined
241,1,n768-1,undefined
242,0,n762-1,n202
243,0,n769-1,n207
244,0,n776-1,n215
245,0,n794-1,n218
246,0,n777-1,n216
247,0,n795-1,n225
248,0,n778-1,n217
249,0,n781-1,n222
250,0,n783-1,n224
251,0,n786-1,n228
252,0,n788-1,n229
253,0,n779-1,n219
254,0,n782-1,n221
255,0,n784-1,n223
256,0,n787-1,n227
257,0,n789-1,n232
258,0,n798-1,n236
259,0,n802-1,n237
260,0,n805-1,n240
261,0,n809-1,n244
262,0,n812-1,n245
263,0,n859-1,n249
264,0,n821-1,n255
265,0,n823-1,n257
266,0,n827-1,n261
267,0,n832-1,n267
268,1,n836-1,undefined
269,1,n839-1,undefined
270,0,n780-1,n220
271,0,n785-1,n226
272,0,n790-1,n230
273,0,n803-1,n239
274,1,n858-1,undefined
275,1,n796-1,undefined
276,1,n800-1,undefined
277,1,n807-1,undefined
278,1,n810-1,undefined
279,0,n857-1,n231
280,0,n797-1,n233
281,0,n801-1,n235
282,0,n804-1,n238
283,0,n808-1,n241
284,0,n811-1,n243
285,0,n815-1,n247
286,0,n860-1,n253
287,0,n826-1,n262
288,0,n831-1,n268
289,1,n835-1,undefined
290,0,n799-1,n234
291,0,n806-1,n242
292,0,n813-1,n246
293,0,n814-1,n248
294,0,n818-1,n252
295,0,n820-1,n256
296,0,n822-1,n258
297,0,n816-1,n250
298,0,n817-1,n251
299,0,n819-1,n254
300,0,n824-1,n259
301,0,n861-1,n263
302,0,n825-1,n260
303,0,n830-1,n266
304,0,n837-1,n272
305,1,n834-1,undefined
306,0,n838-1,n271
307,0,n828-1,n264
308,0,n829-1,n265
309,0,n833-1,n270
310,0,n840-1,n273
311,0,n863-1,n283
312,0,n862-1,n275
313,0,n841-1,n274
314,0,n846-1,n281
315,0,n850-1,n285
316,1,n853-1,undefined
317,0,n842-1,n277
318,0,n847-1,n282
319,0,n851-1,n286
320,1,n854-1,undefined
321,0,n843-1,n276
322,0,n848-1,n280
323,0,n852-1,n287
324,0,n855-1,n288
325,0,n844-1,n278
326,0,n845-1,n279
327,0,n849-1,n284
328,0,n856-1,n289
329,0,n928-1,n293
330,0,n864-1,n290
331,0,n869-1,n298
332,0,n873-1,n302
333,0,n876-1,n303
334,0,n865-1,n292
335,0,n874-1,n297
336,0,n877-1,n300
337,0,n881-1,n307
338,0,n886-1,n311
339,0,n890-1,n314
340,0,n893-1,n318
341,0,n897-1,n322
342,1,n870-1,undefined
343,0,n866-1,n291
344,0,n875-1,n296
345,0,n878-1,n301
346,0,n882-1,n306
347,0,n887-1,n312
348,0,n891-1,n316
349,0,n894-1,n317
350,0,n898-1,n323
351,1,n871-1,undefined
352,0,n867-1,n294
353,0,n868-1,n295
354,0,n872-1,n299
355,0,n879-1,n304
356,0,n880-1,n305
357,0,n885-1,n310
358,0,n889-1,n315
359,0,n892-1,n319
360,0,n896-1,n321
361,0,n901-1,n326
362,0,n905-1,n333
363,1,n908-1,undefined
364,0,n883-1,n308
365,0,n884-1,n309
366,0,n888-1,n313
367,0,n895-1,n320
368,0,n899-1,n324
369,0,n930-1,n329
370,0,n902-1,n327
371,0,n906-1,n332
372,0,n909-1,n335
373,0,n903-1,n328
374,0,n907-1,n331
375,0,n910-1,n334
376,0,n900-1,n325
377,0,n904-1,n330
378,0,n911-1,n336
379,0,n932-1,n346
380,0,n931-1,n337
381,0,n912-1,n338
382,0,n917-1,n344
383,0,n921-1,n348
384,1,n924-1,undefined
385,0,n913-1,n340
386,0,n918-1,n345
387,0,n922-1,n350
388,0,n925-1,n352
389,0,n914-1,n339
390,0,n919-1,n343
391,0,n923-1,n349
392,0,n926-1,n351
393,0,n915-1,n341
394,0,n916-1,n342
395,0,n920-1,n347
396,0,n927-1,n353
397,0,n981-1,n357
398,0,n933-1,n355
399,0,n938-1,n361
400,0,n942-1,n364
401,0,n945-1,n367
402,0,n934-1,n356
403,0,n939-1,n362
404,0,n943-1,n365
405,0,n950-1,n371
406,0,n955-1,n377
407,0,n959-1,n379
408,0,n962-1,n383
409,0,n966-1,n386
410,1,n946-1,undefined
411,0,n935-1,n354
412,0,n940-1,n360
413,0,n944-1,n366
414,0,n951-1,n372
415,0,n956-1,n376
416,0,n960-1,n381
417,0,n963-1,n382
418,0,n967-1,n387
419,0,n972-1,n392
420,0,n976-1,n397
421,0,n979-1,n400
422,1,n947-1,undefined
423,1,n986-1,undefined
424,0,n936-1,n358
425,0,n937-1,n359
426,0,n941-1,n363
427,0,n948-1,n368
428,0,n982-1,n370
429,0,n949-1,n369
430,0,n954-1,n375
431,0,n958-1,n380
432,0,n961-1,n384
433,0,n965-1,n388
434,0,n970-1,n393
435,0,n974-1,n399
436,1,n977-1,undefined
437,0,n952-1,n373
438,0,n953-1,n374
439,0,n957-1,n378
440,0,n964-1,n385
441,0,n968-1,n390
442,0,n983-1,n389
443,0,n984-1,n395
444,0,n971-1,n394
445,0,n975-1,n398
446,0,n978-1,n401
447,0,n969-1,n391
448,0,n973-1,n396
449,0,n980-1,n402
450,0,n985-1,n404
451,0,n990-1,n410
452,0,n994-1,n412
453,0,n997-1,n415
454,0,n1033-1,n406
455,0,n991-1,n405
456,0,n998-1,n416
457,1,n995-1,undefined
458,0,n987-1,n403
459,0,n992-1,n409
460,0,n996-1,n413
461,0,n999-1,n414
462,0,n988-1,n407
463,0,n989-1,n408
464,0,n993-1,n411
465,0,n1000-1,n417
466,0,n1004-1,n420
467,0,n1005-1,n421
468,0,n1009-1,n425
469,0,n1016-1,n430
470,0,n1020-1,n434
471,0,n1021-1,n435
472,0,n1025-1,n438
473,0,n1032-1,n443
474,0,n1039-1,n448
475,0,n1046-1,n454
476,0,n1053-1,n459
477,0,n1006-1,n424
478,0,n1010-1,n428
479,0,n1017-1,n432
480,1,n1013-1,undefined
481,1,n1022-1,undefined
482,1,n1001-1,undefined
483,0,n1002-1,n419
484,0,n1007-1,n423
485,0,n1011-1,n426
486,0,n1018-1,n431
487,1,n1014-1,undefined
488,1,n1023-1,undefined
489,0,n1003-1,n418
490,0,n1008-1,n422
491,0,n1012-1,n427
492,0,n1015-1,n429
493,0,n1019-1,n433
494,0,n1024-1,n436
495,0,n1028-1,n439
496,1,n1031-1,undefined
497,0,n1026-1,n440
498,1,n1029-1,undefined
499,0,n1035-1,n437
500,0,n1027-1,n441
501,0,n1030-1,n442
502,0,n1036-1,n445
503,0,n1043-1,n449
504,0,n1047-1,n453
505,0,n1050-1,n455
506,1,n1040-1,undefined
507,0,n1108-1,n447
508,0,n1037-1,n446
509,0,n1044-1,n452
510,0,n1048-1,n457
511,0,n1051-1,n458
512,0,n1055-1,n462
513,0,n1059-1,n466
514,0,n1066-1,n471
515,0,n1073-1,n476
516,1,n1041-1,undefined
517,0,n1038-1,n444
518,0,n1045-1,n450
519,0,n1049-1,n451
520,0,n1052-1,n456
521,0,n1056-1,n463
522,0,n1060-1,n467
523,0,n1063-1,n468
524,0,n1067-1,n472
525,0,n1070-1,n473
526,0,n1074-1,n477
527,1,n1042-1,undefined
528,0,n1109-1,n460
529,0,n1054-1,n461
530,0,n1058-1,n465
531,0,n1065-1,n470
532,0,n1072-1,n478
533,1,n1061-1,undefined
534,0,n1076-1,n480
535,1,n1068-1,undefined
536,0,n1069-1,n474
537,0,n1077-1,n481
538,1,n1062-1,undefined
539,0,n1057-1,n464
540,0,n1064-1,n469
541,0,n1071-1,n475
542,0,n1075-1,n479
543,0,n1110-1,n484
544,0,n1083-1,n486
545,0,n1086-1,n489
546,1,n1079-1,undefined
