idx,matchtype,partid,ppartid
0,0,n540-1,n1
1,0,n544-1,n5
2,0,n547-1,n7
3,0,n551-1,n12
4,0,n554-1,n15
5,0,n558-1,n20
6,0,n562-1,n22
7,0,n565-1,n25
8,0,n569-1,n31
9,0,n572-1,n32
10,0,n577-1,n35
11,0,n541-1,n2
12,0,n545-1,n6
13,0,n548-1,n9
14,0,n552-1,n13
15,0,n555-1,n16
16,0,n559-1,n18
17,0,n563-1,n23
18,0,n566-1,n27
19,0,n570-1,n30
20,0,n573-1,n33
21,0,n578-1,n36
22,0,n542-1,n0
23,0,n546-1,n4
24,0,n549-1,n8
25,0,n553-1,n11
26,0,n556-1,n14
27,0,n560-1,n19
28,0,n564-1,n24
29,0,n567-1,n26
30,0,n571-1,n29
31,0,n579-1,n37
32,1,n574-1,undefined
33,0,n543-1,n3
34,0,n550-1,n10
35,0,n557-1,n17
36,0,n561-1,n21
37,0,n568-1,n28
38,0,n575-1,n34
39,0,n580-1,n38
40,0,n581-1,n40
41,0,n584-1,n43
42,0,n588-1,n45
43,0,n591-1,n48
44,0,n582-1,n39
45,0,n589-1,n47
46,1,n585-1,undefined
47,1,n592-1,undefined
48,0,n583-1,n41
49,0,n586-1,n42
50,0,n590-1,n46
51,0,n593-1,n49
52,0,n587-1,n44
53,0,n594-1,n50
54,0,n595-1,n52
55,0,n599-1,n55
56,0,n602-1,n59
57,0,n606-1,n62
58,0,n609-1,n65
59,0,n613-1,n70
60,0,n617-1,n74
61,0,n620-1,n75
62,0,n624-1,n79
63,1,n627-1,undefined
64,0,n596-1,n53
65,0,n600-1,n57
66,1,n603-1,undefined
67,0,n607-1,n63
68,0,n610-1,n66
69,0,n597-1,n51
70,0,n601-1,n56
71,0,n604-1,n58
72,0,n608-1,n61
73,0,n611-1,n64
74,0,n598-1,n54
75,0,n605-1,n60
76,0,n612-1,n67
77,0,n614-1,n69
78,0,n618-1,n72
79,0,n625-1,n80
80,1,n621-1,undefined
81,1,n628-1,undefined
82,0,n615-1,n68
83,0,n619-1,n73
84,0,n622-1,n76
85,0,n626-1,n78
86,0,n629-1,n81
87,0,n616-1,n71
88,0,n623-1,n77
89,0,n630-1,n82
90,0,n634-1,n86
91,0,n641-1,n92
92,1,n648-1,undefined
93,0,n631-1,n84
94,0,n635-1,n88
95,0,n638-1,n90
96,1,n642-1,undefined
97,1,n645-1,undefined
98,0,n632-1,n83
99,0,n636-1,n89
100,1,n639-1,undefined
101,0,n643-1,n94
102,0,n646-1,n96
103,0,n633-1,n85
104,0,n637-1,n87
105,0,n640-1,n91
106,0,n644-1,n93
107,0,n647-1,n95
108,0,n650-1,n99
109,1,n654-1,undefined
110,1,n657-1,undefined
111,1,n661-1,undefined
112,1,n664-1,undefined
113,0,n718-1,n100
114,0,n651-1,n97
115,0,n658-1,n102
116,0,n662-1,n106
117,0,n665-1,n107
118,0,n669-1,n110
119,0,n673-1,n116
120,0,n676-1,n119
121,0,n680-1,n121
122,0,n683-1,n125
123,0,n687-1,n127
124,1,n655-1,undefined
125,0,n652-1,n98
126,0,n656-1,n103
127,0,n659-1,n104
128,0,n663-1,n105
129,0,n666-1,n108
130,0,n653-1,n101
131,0,n667-1,n109
132,0,n671-1,n114
133,0,n678-1,n120
134,0,n685-1,n126
135,0,n689-1,n130
136,1,n660-1,undefined
137,0,n719-1,n113
138,0,n668-1,n111
139,0,n672-1,n117
140,0,n679-1,n123
141,0,n686-1,n128
142,1,n682-1,undefined
143,1,n675-1,undefined
144,0,n670-1,n112
145,0,n674-1,n115
146,0,n677-1,n118
147,0,n681-1,n122
148,0,n684-1,n124
149,0,n688-1,n129
150,0,n720-1,n134
151,1,n690-1,undefined
152,1,n693-1,undefined
153,1,n697-1,undefined
154,1,n700-1,undefined
155,0,n691-1,n131
156,0,n698-1,n136
157,0,n701-1,n139
158,1,n694-1,undefined
159,0,n692-1,n132
160,0,n695-1,n133
161,0,n699-1,n137
162,0,n702-1,n138
163,0,n696-1,n135
164,0,n703-1,n140
165,0,n721-1,n141
166,0,n722-1,n149
167,1,n704-1,undefined
168,0,n705-1,n142
169,0,n708-1,n146
170,0,n710-1,n148
171,0,n713-1,n150
172,0,n715-1,n152
173,0,n724-1,n154
174,0,n731-1,n158
175,1,n728-1,undefined
176,0,n706-1,n143
177,0,n709-1,n145
178,0,n711-1,n147
179,0,n714-1,n151
180,1,n716-1,undefined
181,0,n707-1,n144
182,0,n717-1,n153
183,0,n726-1,n157
184,0,n733-1,n162
185,0,n740-1,n166
186,0,n744-1,n171
187,0,n751-1,n178
188,0,n758-1,n184
189,0,n762-1,n188
190,1,n712-1,undefined
191,0,n730-1,n161
192,1,n734-1,undefined
193,1,n723-1,undefined
194,1,n727-1,undefined
195,1,n737-1,undefined
196,0,n791-1,n156
197,0,n735-1,n163
198,0,n738-1,n165
199,0,n725-1,n155
200,0,n729-1,n159
201,0,n732-1,n160
202,0,n739-1,n164
203,0,n743-1,n169
204,0,n747-1,n173
205,0,n750-1,n176
206,0,n754-1,n179
207,0,n757-1,n183
208,0,n761-1,n187
209,1,n736-1,undefined
210,0,n792-1,n170
211,0,n741-1,n168
212,0,n745-1,n172
213,0,n748-1,n177
214,0,n755-1,n182
215,0,n759-1,n186
216,1,n752-1,undefined
217,0,n742-1,n167
218,0,n746-1,n174
219,0,n749-1,n175
220,0,n753-1,n180
221,0,n756-1,n181
222,0,n760-1,n185
223,0,n793-1,n194
224,0,n763-1,n191
225,0,n770-1,n198
226,1,n766-1,undefined
227,1,n773-1,undefined
228,0,n764-1,n189
229,0,n767-1,n193
230,0,n771-1,n196
231,0,n774-1,n199
232,0,n765-1,n190
233,0,n768-1,n192
234,0,n772-1,n197
235,0,n775-1,n200
236,0,n769-1,n195
237,0,n776-1,n201
238,0,n794-1,n202
239,0,n795-1,n210
240,1,n777-1,undefined
241,0,n778-1,n204
242,0,n781-1,n207
243,0,n783-1,n209
244,0,n786-1,n212
245,0,n788-1,n214
246,0,n779-1,n203
247,0,n782-1,n206
248,0,n784-1,n208
249,0,n787-1,n211
250,0,n789-1,n213
251,0,n780-1,n205
252,0,n790-1,n215
253,1,n785-1,undefined
254,0,n858-1,n224
255,1,n796-1,undefined
256,1,n800-1,undefined
257,1,n803-1,undefined
258,1,n807-1,undefined
259,1,n810-1,undefined
260,0,n857-1,n216
261,0,n797-1,n218
262,0,n801-1,n221
263,0,n804-1,n223
264,0,n808-1,n226
265,0,n811-1,n228
266,0,n798-1,n217
267,0,n802-1,n220
268,0,n805-1,n222
269,0,n809-1,n225
270,0,n812-1,n227
271,0,n799-1,n219
272,0,n813-1,n229
273,1,n806-1,undefined
274,0,n818-1,n234
275,0,n822-1,n238
276,1,n814-1,undefined
277,1,n820-1,undefined
278,0,n815-1,n231
279,0,n860-1,n235
280,0,n859-1,n230
281,0,n821-1,n236
282,0,n823-1,n237
283,0,n816-1,n232
284,0,n817-1,n233
285,0,n824-1,n239
286,1,n819-1,undefined
287,0,n861-1,n240
288,0,n825-1,n242
289,0,n830-1,n248
290,1,n834-1,undefined
291,1,n837-1,undefined
292,0,n826-1,n243
293,0,n831-1,n247
294,0,n835-1,n251
295,0,n838-1,n253
296,0,n827-1,n241
297,0,n832-1,n246
298,0,n836-1,n250
299,0,n839-1,n252
300,0,n828-1,n244
301,0,n829-1,n245
302,0,n833-1,n249
303,0,n840-1,n254
304,0,n863-1,n264
305,0,n862-1,n258
306,0,n841-1,n257
307,0,n846-1,n262
308,1,n850-1,undefined
309,1,n853-1,undefined
310,0,n842-1,n256
311,0,n847-1,n263
312,0,n851-1,n267
313,0,n854-1,n268
314,0,n843-1,n255
315,0,n848-1,n261
316,0,n852-1,n266
317,0,n855-1,n269
318,0,n844-1,n259
319,0,n845-1,n260
320,0,n849-1,n265
321,0,n856-1,n270
322,0,n928-1,n274
323,0,n864-1,n272
324,0,n869-1,n279
325,0,n873-1,n283
326,0,n880-1,n288
327,0,n885-1,n294
328,1,n876-1,undefined
329,1,n889-1,undefined
330,0,n865-1,n273
331,0,n870-1,n278
332,0,n874-1,n281
333,0,n877-1,n284
334,0,n866-1,n271
335,0,n871-1,n277
336,0,n875-1,n282
337,0,n878-1,n285
338,0,n867-1,n275
339,0,n868-1,n276
340,0,n872-1,n280
341,0,n879-1,n286
342,0,n896-1,n302
343,1,n892-1,undefined
344,0,n881-1,n287
345,0,n886-1,n293
346,0,n890-1,n297
347,0,n893-1,n298
348,0,n897-1,n301
349,0,n882-1,n289
350,0,n887-1,n292
351,0,n891-1,n296
352,0,n894-1,n299
353,0,n898-1,n303
354,0,n883-1,n290
355,0,n884-1,n291
356,0,n888-1,n295
357,0,n895-1,n300
358,0,n899-1,n304
359,0,n930-1,n309
360,0,n901-1,n308
361,1,n905-1,undefined
362,1,n908-1,undefined
363,0,n902-1,n307
364,0,n906-1,n311
365,0,n909-1,n314
366,0,n903-1,n306
367,0,n907-1,n312
368,0,n910-1,n313
369,0,n900-1,n305
370,0,n904-1,n310
371,0,n911-1,n315
372,0,n932-1,n325
373,0,n931-1,n316
374,0,n912-1,n319
375,0,n917-1,n323
376,0,n921-1,n327
377,0,n924-1,n332
378,0,n913-1,n318
379,0,n918-1,n324
380,0,n922-1,n329
381,0,n925-1,n331
382,0,n914-1,n317
383,0,n919-1,n322
384,0,n923-1,n328
385,0,n926-1,n330
386,0,n915-1,n320
387,0,n916-1,n321
388,0,n920-1,n326
389,0,n927-1,n333
390,0,n981-1,n337
391,0,n933-1,n336
392,0,n938-1,n341
393,0,n942-1,n346
394,1,n945-1,undefined
395,0,n934-1,n335
396,0,n939-1,n342
397,0,n943-1,n344
398,0,n946-1,n348
399,0,n935-1,n334
400,0,n940-1,n340
401,0,n944-1,n345
402,0,n947-1,n347
403,0,n936-1,n338
404,0,n937-1,n339
405,0,n941-1,n343
406,0,n948-1,n349
407,0,n982-1,n350
408,0,n949-1,n351
409,0,n954-1,n358
