onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
-2.0,0.125,-2.0,0.125,0,896,73,2,n540-1,-2.0,0.5422
-2.0,0.125,-2.0,0.125,0,896,77,2,n541-1,-2.0,0.5422
-2.0,0.125,-2.0,0.125,0,896,80,2,n542-1,-2.0,0.5422
-1.875,0.125,-1.875,0.125,896,896,81,2,n543-1,-2.0,0.5422
-1.75,0.125,-1.75,0.125,1792,896,73,2,n544-1,-2.0,0.5422
-1.75,0.125,-1.75,0.125,1792,896,77,2,n545-1,-2.0,0.5422
-1.75,0.125,-1.75,0.125,1792,896,80,2,n546-1,-2.0,0.5422
-1.625,0.125,-1.625,0.125,2688,896,73,2,n547-1,-2.0,0.5422
-1.625,0.125,-1.625,0.125,2688,896,77,2,n548-1,-2.0,0.5422
-1.625,0.125,-1.625,0.125,2688,896,80,2,n549-1,-2.0,0.5422
-1.5,0.125,-1.5,0.125,3584,896,81,2,n550-1,-2.0,0.5422
-1.375,0.125,-1.375,0.125,4480,896,73,2,n551-1,-2.0,0.5422
-1.375,0.125,-1.375,0.125,4480,896,77,2,n552-1,-2.0,0.5422
-1.375,0.125,-1.375,0.125,4480,896,80,2,n553-1,-2.0,0.5422
-1.25,0.125,-1.25,0.125,5376,896,73,2,n554-1,-2.0,0.5422
-1.25,0.125,-1.25,0.125,5376,896,77,2,n555-1,-2.0,0.5422
-1.25,0.125,-1.25,0.125,5376,896,80,2,n556-1,-2.0,0.5422
-1.125,0.125,-1.125,0.125,6272,896,81,2,n557-1,-2.0,0.5422
-1.0,0.125,-1.0,0.125,7168,896,73,2,n558-1,-1.0,1.832263
-1.0,0.125,-1.0,0.125,7168,896,77,2,n559-1,-1.0,1.832263
-1.0,0.125,-1.0,0.125,7168,896,80,2,n560-1,-1.0,1.832263
-0.875,0.125,-0.875,0.125,8064,896,81,2,n561-1,-1.0,1.832263
-0.75,0.125,-0.75,0.125,8960,896,73,2,n562-1,-1.0,1.832263
-0.75,0.125,-0.75,0.125,8960,896,77,2,n563-1,-1.0,1.832263
-0.75,0.125,-0.75,0.125,8960,896,80,2,n564-1,-1.0,1.832263
-0.625,0.125,-0.625,0.125,9856,896,73,2,n565-1,-1.0,1.832263
-0.625,0.125,-0.625,0.125,9856,896,77,2,n566-1,-1.0,1.832263
-0.625,0.125,-0.625,0.125,9856,896,80,2,n567-1,-1.0,1.832263
-0.5,0.125,-0.5,0.125,10752,896,81,2,n568-1,-1.0,1.832263
-0.375,0.125,-0.375,0.125,11648,896,73,2,n569-1,-1.0,1.832263
-0.375,0.125,-0.375,0.125,11648,896,77,2,n570-1,-1.0,1.832263
-0.375,0.125,-0.375,0.125,11648,896,80,2,n571-1,-1.0,1.832263
-0.25,0.125,-0.25,0.125,12544,896,73,2,n572-1,-1.0,1.832263
-0.25,0.125,-0.25,0.125,12544,896,77,2,n573-1,-1.0,1.832263
-0.25,0.125,-0.25,0.125,12544,896,80,2,n574-1,-1.0,1.832263
-0.125,0.125,-0.125,0.125,13440,896,81,2,n575-1,-1.0,1.832263
0.0,0.125,0.0,0.125,14336,896,73,2,n577-1,0.0,2.821845
0.0,0.125,0.0,0.125,14336,896,77,2,n578-1,0.0,2.821845
0.0,0.125,0.0,0.125,14336,896,80,2,n579-1,0.0,2.821845
0.125,0.125,0.125,0.125,15232,896,81,2,n580-1,0.0,2.821845
0.25,0.125,0.25,0.125,16128,896,73,2,n581-1,0.0,2.821845
0.25,0.125,0.25,0.125,16128,896,77,2,n582-1,0.0,2.821845
0.25,0.125,0.25,0.125,16128,896,80,2,n583-1,0.0,2.821845
0.375,0.125,0.375,0.125,17024,896,73,2,n584-1,0.0,2.821845
0.375,0.125,0.375,0.125,17024,896,77,2,n585-1,0.0,2.821845
0.375,0.125,0.375,0.125,17024,896,80,2,n586-1,0.0,2.821845
0.5,0.125,0.5,0.125,17920,896,81,2,n587-1,0.0,2.821845
0.625,0.125,0.625,0.125,18816,896,73,2,n588-1,0.0,2.821845
0.625,0.125,0.625,0.125,18816,896,77,2,n589-1,0.0,2.821845
0.625,0.125,0.625,0.125,18816,896,80,2,n590-1,0.0,2.821845
0.75,0.125,0.75,0.125,19712,896,73,2,n591-1,0.0,2.821845
0.75,0.125,0.75,0.125,19712,896,77,2,n592-1,0.0,2.821845
0.75,0.125,0.75,0.125,19712,896,80,2,n593-1,0.0,2.821845
0.875,0.125,0.875,0.125,20608,896,81,2,n594-1,0.0,2.821845
1.0,0.125,1.0,0.125,21504,896,73,2,n595-1,1.0,3.798073
1.0,0.125,1.0,0.125,21504,896,77,2,n596-1,1.0,3.798073
1.0,0.125,1.0,0.125,21504,896,80,2,n597-1,1.0,3.798073
1.125,0.125,1.125,0.125,22400,896,81,2,n598-1,1.0,3.798073
1.25,0.125,1.25,0.125,23296,896,73,2,n599-1,1.0,3.798073
1.25,0.125,1.25,0.125,23296,896,77,2,n600-1,1.0,3.798073
1.25,0.125,1.25,0.125,23296,896,80,2,n601-1,1.0,3.798073
1.375,0.125,1.375,0.125,24192,896,73,2,n602-1,1.0,3.798073
1.375,0.125,1.375,0.125,24192,896,77,2,n603-1,1.0,3.798073
1.375,0.125,1.375,0.125,24192,896,80,2,n604-1,1.0,3.798073
1.5,0.125,1.5,0.125,25088,896,81,2,n605-1,1.0,3.798073
1.625,0.125,1.625,0.125,25984,896,73,2,n606-1,1.0,3.798073
1.625,0.125,1.625,0.125,25984,896,77,2,n607-1,1.0,3.798073
1.625,0.125,1.625,0.125,25984,896,80,2,n608-1,1.0,3.798073
1.75,0.125,1.75,0.125,26880,896,73,2,n609-1,1.0,3.798073
1.75,0.125,1.75,0.125,26880,896,77,2,n610-1,1.0,3.798073
1.75,0.125,1.75,0.125,26880,896,80,2,n611-1,1.0,3.798073
1.875,0.125,1.875,0.125,27776,896,81,2,n612-1,1.0,3.798073
2.0,0.125,2.0,0.125,28672,896,73,2,n613-1,2.0,4.736908
