xml_id	midi_id	track	channel	pitch	onset
n547-1	n3	0	0	73	1.9551262500000002
n544-1	deletion
n551-1	n5	0	0	73	2.2849870312499996
n554-1	n7	0	0	73	2.3490895312499998
n558-1	n12	0	0	73	2.6415571874999997
n562-1	n16	0	0	73	2.89529625
n577-1	n24	0	0	73	3.5803917187499996
n572-1	deletion
n540-1	deletion
n565-1	deletion
n569-1	deletion
n541-1	n1	0	0	77	1.5304471875000003
n552-1	n6	0	0	77	2.2849870312499996
n555-1	n9	0	0	77	2.40785015625
n559-1	n11	0	0	77	2.6241960937499997
n563-1	n15	0	0	77	2.868586875
n566-1	n17	0	0	77	3.0315140625
n570-1	n20	0	0	77	3.205125
n573-1	n21	0	0	77	3.3480201562499996
n578-1	n23	0	0	77	3.5710434374999998
n548-1	deletion
n545-1	deletion
n542-1	n0	0	0	80	1.5224343750000002
n556-1	n8	0	0	80	2.3891535937499997
n564-1	n14	0	0	80	2.8659159375
n567-1	n18	0	0	80	3.034185
n579-1	n25	0	0	80	3.6004237499999996
n574-1	deletion
n546-1	deletion
n549-1	deletion
n553-1	deletion
n560-1	deletion
n571-1	deletion
n543-1	n2	0	0	81	1.71607734375
n550-1	n4	0	0	81	2.1941751562499996
n557-1	n10	0	0	81	2.54940984375
n561-1	n13	0	0	81	2.75507203125
n568-1	n19	0	0	81	3.10229390625
n575-1	n22	0	0	81	3.4428384375
n581-1	n29	0	0	73	3.804750468749999
n588-1	n34	0	0	73	4.131940312499999
n591-1	n36	0	0	73	4.20806203125
n584-1	deletion
n582-1	n27	0	0	77	3.7940667187499995
n585-1	n30	0	0	77	3.936961874999999
n589-1	n33	0	0	77	4.126598437499999
n592-1	n37	0	0	77	4.26415171875
n583-1	n28	0	0	80	3.7980731249999993
n586-1	n31	0	0	80	3.9463101562499987
n590-1	n35	0	0	80	4.154643281249999
n593-1	n38	0	0	80	4.268158125
n580-1	n26	0	0	81	3.6872292187499998
n587-1	n32	0	0	81	4.025102812499999
n594-1	n39	0	0	81	4.36965375
n595-1	n40	0	0	73	4.487175000000001
n599-1	deletion
n606-1	n48	0	0	73	5.008007812499999
n613-1	n54	0	0	73	5.361907031249998
n617-1	n57	0	0	73	5.571575624999999
n609-1	deletion
n620-1	deletion
n602-1	deletion
n596-1	n41	0	0	77	4.4951878125
n600-1	n44	0	0	77	4.687495312499999
n603-1	n45	0	0	77	4.817035781249999
n607-1	n47	0	0	77	5.004001406249999
n610-1	n50	0	0	77	5.161586718749999
n597-1	n42	0	0	80	4.503200625
n601-1	deletion
n608-1	n49	0	0	80	5.020027031249999
n611-1	n51	0	0	80	5.162922187499999
n604-1	deletion
n598-1	n43	0	0	81	4.57398046875
n605-1	n46	0	0	81	4.9145249999999985
n612-1	n52	0	0	81	5.271095156249998
n616-1	n56	0	0	81	5.486105624999998
n624-1	n64	0	0	73	5.9294812499999985
n627-1	deletion
n614-1	n53	0	0	77	5.359236093749998
n618-1	n59	0	0	77	5.587601249999999
n621-1	n61	0	0	77	5.750528437499998
n625-1	n63	0	0	77	5.926810312499999
n628-1	n66	0	0	77	6.079053749999999
n615-1	n55	0	0	80	5.369919843749997
n619-1	n58	0	0	80	5.5835948437499985
n622-1	n60	0	0	80	5.749192968749998
n626-1	n65	0	0	80	5.950848749999999
n629-1	n67	0	0	80	6.080389218749999
n633-1	n71	0	0	80	6.314096249999999
n637-1	n74	0	0	80	6.537119531249998
n640-1	n77	0	0	80	6.693369374999997
n644-1	n80	0	0	80	6.888347812499997
