onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.5109375,18.558437,80,38,0,0,n0,-10.0,-10.0
0.5140625,18.555313,77,30,0,0,n1,0.514062,-2.0
0.5246875,18.544687,73,31,0,0,n2,0.514062,-2.0
0.7465625,18.322813,81,38,0,0,n3,0.514062,-2.0
0.9028125,18.166563,80,50,0,0,n4,0.514062,-2.0
0.9121875,18.157188,73,48,0,0,n5,0.514062,-2.0
1.0296875,18.039688,77,43,0,0,n6,0.514062,-2.0
1.035,18.034374,73,45,0,0,n7,0.514062,-2.0
1.1328125,17.936562,81,55,0,0,n8,0.514062,-2.0
1.244375,17.825,77,52,0,0,n9,0.514062,-2.0
1.26,17.809376,73,46,0,0,n10,0.514062,-2.0
1.2734375,17.795937,80,54,0,0,n11,0.514062,-2.0
1.37875,17.690624,80,58,0,0,n12,0.514062,-2.0
1.3828125,17.686562,73,53,0,0,n13,0.514062,-2.0
1.4703125,17.599062,81,63,0,0,n14,0.514062,-2.0
1.6059375,17.463438,77,63,0,0,n15,0.514062,-2.0
1.61,17.459375,80,63,0,0,n16,1.61,-1.0
1.625625,17.44375,73,42,0,0,n17,1.61,-1.0
1.7046875,17.364687,81,61,0,0,n18,1.61,-1.0
1.8296875,17.239687,73,38,0,0,n19,1.61,-1.0
1.8296875,17.239687,77,53,0,0,n20,1.61,-1.0
1.9453125,17.124062,80,42,0,0,n21,1.61,-1.0
2.0403125,17.029062,81,54,0,0,n22,1.61,-1.0
2.1890626,16.880312,77,58,0,0,n23,1.61,-1.0
2.1975,16.871876,73,39,0,0,n24,1.61,-1.0
2.2015624,16.867813,80,64,0,0,n25,1.61,-1.0
2.2975,16.771875,73,51,0,0,n26,1.61,-1.0
2.41625,16.653126,81,65,0,0,n27,1.61,-1.0
2.5528126,16.516563,77,66,0,0,n28,2.552812,0.0
2.5528126,16.516563,80,66,0,0,n29,2.552812,0.0
2.5640626,16.505312,73,55,0,0,n30,2.552812,0.0
2.65375,16.415625,81,65,0,0,n31,2.552812,0.0
2.7734375,16.295937,73,46,0,0,n32,2.552812,0.0
2.77875,16.290625,77,49,0,0,n33,2.552812,0.0
2.7996874,16.269688,80,48,0,0,n34,2.552812,0.0
2.8965626,16.172813,80,54,0,0,n35,2.552812,0.0
2.900625,16.16875,73,51,0,0,n36,2.552812,0.0
2.9840624,16.085312,81,58,0,0,n37,2.552812,0.0
