xml_id	midi_id	track	channel	pitch	onset
n540-1	n0	0	0	73	0.52350375
n544-1	n6	0	0	73	0.8253196875
n547-1	n8	0	0	73	0.92948625
n551-1	n10	0	0	73	1.1311420312499998
n558-1	n18	0	0	73	1.5291117187500003
n562-1	n22	0	0	73	1.7321029687500007
n569-1	n28	0	0	73	2.0659701562500006
n554-1	deletion
n565-1	deletion
n572-1	deletion
n541-1	n1	0	0	77	0.5261746875000001
n545-1	n5	0	0	77	0.81597140625
n552-1	n12	0	0	77	1.1538449999999998
n555-1	n14	0	0	77	1.2686953125
n559-1	n17	0	0	77	1.4796993750000003
n563-1	n21	0	0	77	1.7307675000000007
n566-1	n24	0	0	77	1.8776690625000005
n570-1	n27	0	0	77	2.064634687500001
n573-1	n29	0	0	77	2.180820468750001
n548-1	deletion
n542-1	n2	0	0	80	0.53552296875
n546-1	n4	0	0	80	0.81330046875
n549-1	n7	0	0	80	0.92815078125
n553-1	n11	0	0	80	1.1391548437499999
n556-1	n13	0	0	80	1.2580115625
n560-1	n16	0	0	80	1.4730220312500002
n564-1	n20	0	0	80	1.7200837500000006
n567-1	n23	0	0	80	1.8616434375000006
n571-1	n26	0	0	80	2.0566218750000007
n574-1	deletion
n543-1	n3	0	0	81	0.64503140625
n550-1	n9	0	0	81	1.0256399999999999
n557-1	n15	0	0	81	1.3581717187500002
n561-1	n19	0	0	81	1.6159171875000005
n568-1	n25	0	0	81	1.9431070312500005
n575-1	n30	0	0	81	2.2970062500000004
n577-1	n31	0	0	73	2.4091856250000006
n581-1	n36	0	0	73	2.6402217187500003
n584-1	n38	0	0	73	2.78712328125
n588-1	n41	0	0	73	2.98076625
n591-1	n42	0	0	73	3.0742490625
n578-1	n32	0	0	77	2.4091856250000006
n582-1	n35	0	0	77	2.6348798437500003
n596-1	n45	0	0	77	3.2919304687499995
n592-1	deletion
n585-1	deletion
n589-1	deletion
n579-1	n33	0	0	80	2.4105210937500003
n583-1	n37	0	0	80	2.6682665625000004
n590-1	n40	0	0	80	2.9593987499999996
n593-1	n43	0	0	80	3.0809264062499997
n586-1	deletion
n580-1	n34	0	0	81	2.5080103125
n587-1	n39	0	0	81	2.8512257812499997
n594-1	n44	0	0	81	3.2024540624999998
n595-1	n46	0	0	73	3.3119624999999995
n599-1	n49	0	0	73	3.514953749999999
n602-1	deletion
n606-1	n53	0	0	73	3.887549531249999
n609-1	deletion
n600-1	n50	0	0	77	3.518960156249999
n603-1	deletion
n607-1	deletion
n610-1	deletion
n597-1	n47	0	0	80	3.3119624999999995
n601-1	deletion
n608-1	n52	0	0	80	3.876865781249999
n611-1	n54	0	0	80	3.974354999999999
n604-1	deletion
n598-1	n48	0	0	81	3.4054453124999995
n605-1	n51	0	0	81	3.728628749999999
n612-1	n55	0	0	81	4.093211718749999
n613-1	n56	0	0	73	4.1880299999999995
n617-1	deletion
n624-1	n65	0	0	73	4.7569396875
n620-1	deletion
n627-1	deletion
n614-1	n58	0	0	77	4.204055624999999
n618-1	n60	0	0	77	4.44577546875
n621-1	n63	0	0	77	4.54192921875
n625-1	n67	0	0	77	4.7649525
n628-1	deletion
n615-1	n57	0	0	80	4.201384687499999
n619-1	n61	0	0	80	4.44577546875
n622-1	n62	0	0	80	4.5379228125
n626-1	n66	0	0	80	4.76361703125
n629-1	n68	0	0	80	4.899834843749999
n633-1	deletion
n616-1	n59	0	0	81	4.3242478124999995
n623-1	n64	0	0	81	4.63274109375
n630-1	n69	0	0	81	4.98530484375
n631-1	n70	0	0	73	5.1402192187499995
n635-1	n72	0	0	73	5.347216874999999
n638-1	n74	0	0	73	5.480763749999998
n642-1	n76	0	0	73	5.682419531249998
n645-1	n78	0	0	73	5.844011249999998
n636-1	n73	0	0	77	5.455389843749998
n639-1	deletion
n632-1	deletion
n643-1	deletion
n646-1	deletion
n644-1	n77	0	0	80	5.710464374999998
n647-1	n79	0	0	80	5.864043281249998
n652-1	n82	0	0	80	6.189897656249996
n656-1	n84	0	0	80	6.408914531249996
n659-1	n86	0	0	80	6.529106718749997
n663-1	n88	0	0	80	6.748123593749997
n666-1	n91	0	0	80	6.8950251562499965
n670-1	n95	0	0	80	7.154106093749997
n674-1	n97	0	0	80	7.341071718749996
n677-1	n100	0	0	80	7.471947656249996
n681-1	n102	0	0	80	7.676274374999996
n684-1	n105	0	0	80	7.799137499999995
n688-1	n107	0	0	80	8.026167187499995
n640-1	deletion
n692-1	deletion
n637-1	deletion
n634-1	n71	0	0	81	5.215005468749999
n641-1	n75	0	0	81	5.580923906249998
n648-1	n80	0	0	81	6.018957656249997
n654-1	n85	0	0	73	6.428946562499997
n661-1	n90	0	0	73	6.770826562499996
n650-1	deletion
n657-1	deletion
n664-1	deletion
n718-1	n81	0	0	75	6.147162656249996
n662-1	n89	0	0	77	6.7641492187499965
n669-1	n94	0	0	77	7.144757812499996
n665-1	deletion
n651-1	deletion
n655-1	deletion
n658-1	deletion
n653-1	n83	0	0	81	6.302077031249996
n660-1	n87	0	0	81	6.6613181249999975
n667-1	n92	0	0	81	6.9911789062499965
n719-1	n93	0	0	71	7.124725781249996
n672-1	n99	0	0	73	7.374458437499996
n679-1	n103	0	0	73	7.686958124999996
n686-1	n109	0	0	73	8.054212031249996
n690-1	n111	0	0	73	8.273228906249996
n682-1	deletion
n693-1	deletion
n668-1	deletion
n675-1	deletion
n673-1	n98	0	0	77	7.362439218749996
n683-1	n104	0	0	77	7.787118281249995
n687-1	n108	0	0	77	8.034179999999996
n680-1	deletion
n676-1	deletion
n671-1	n96	0	0	81	7.262279062499997
n678-1	n101	0	0	81	7.592139843749996
