idx,matchtype,partid,ppartid
0,0,n10-1,n0
1,0,n22-1,n14
2,0,n43-1,n29
3,1,n28-1,undefined
4,0,n11-1,n3
5,0,n21-1,n13
6,0,n23-1,n15
7,0,n27-1,n21
8,0,n29-1,n22
9,0,n33-1,n28
10,0,n44-1,n32
11,0,n12-1,n4
12,0,n20-1,n12
13,0,n24-1,n16
14,0,n26-1,n20
15,0,n30-1,n24
16,0,n32-1,n27
17,0,n45-1,n33
18,0,n13-1,n5
19,0,n19-1,n11
20,0,n25-1,n17
21,0,n31-1,n26
22,0,n46-1,n34
23,0,n18-1,n10
24,0,n7-1,n19
25,1,n14-1,undefined
26,0,n17-1,n9
27,0,n8-1,n25
28,1,n15-1,undefined
29,0,n9-1,n23
30,0,n3-1,n7
31,0,n1-1,n2
32,0,n16-1,n8
33,0,n4-1,n6
34,0,n2-1,n1
35,0,n54-1,n44
36,0,n53-1,n43
37,0,n52-1,n42
38,0,n47-1,n35
39,0,n51-1,n41
40,0,n48-1,n36
41,0,n50-1,n40
42,0,n37-1,n39
43,0,n35-1,n31
44,0,n49-1,n37
45,0,n36-1,n30
46,0,n55-1,n45
47,0,n61-1,n53
48,0,n56-1,n46
49,0,n60-1,n52
50,0,n62-1,n54
51,0,n66-1,n60
52,0,n57-1,n47
53,0,n59-1,n49
54,0,n63-1,n55
55,0,n65-1,n59
56,0,n58-1,n48
57,0,n64-1,n58
58,0,n40-1,n51
59,0,n41-1,n57
60,0,n42-1,n56
61,0,n39-1,n38
62,0,n78-1,n61
63,0,n79-1,n64
64,0,n89-1,n76
65,0,n91-1,n78
66,0,n80-1,n65
67,0,n88-1,n75
68,0,n81-1,n66
69,0,n87-1,n74
70,0,n82-1,n67
71,0,n86-1,n73
72,0,n83-1,n68
73,0,n85-1,n72
74,0,n70-1,n71
75,0,n68-1,n63
76,0,n84-1,n69
77,0,n103-1,n95
78,0,n146-1,n125
79,1,n121-1,undefined
80,0,n71-1,n70
81,0,n69-1,n62
82,0,n90-1,n77
83,0,n96-1,n85
84,0,n95-1,n84
85,0,n97-1,n86
86,0,n101-1,n92
87,0,n92-1,n79
88,0,n94-1,n81
89,0,n98-1,n87
90,0,n100-1,n91
91,0,n93-1,n80
92,0,n99-1,n90
93,0,n74-1,n83
94,0,n76-1,n89
95,0,n77-1,n88
96,0,n75-1,n82
97,0,n115-1,n94
98,0,n116-1,n96
99,0,n126-1,n107
100,0,n128-1,n110
101,0,n132-1,n115
102,0,n134-1,n117
103,0,n138-1,n123
104,0,n160-1,n127
105,0,n170-1,n139
106,0,n172-1,n141
107,0,n117-1,n97
108,0,n125-1,n106
109,0,n140-1,n98
110,1,n118-1,undefined
111,0,n124-1,n105
112,0,n119-1,n99
113,0,n123-1,n104
114,0,n120-1,n100
115,0,n122-1,n103
116,0,n105-1,n101
117,0,n106-1,n102
118,0,n104-1,n93
119,0,n127-1,n108
120,0,n133-1,n116
121,0,n129-1,n111
122,0,n131-1,n113
123,0,n135-1,n118
124,0,n137-1,n122
125,0,n130-1,n112
126,0,n136-1,n121
127,0,n114-1,n109
128,1,n109-1,undefined
129,0,n111-1,n120
130,0,n112-1,n119
131,0,n110-1,n114
132,0,n159-1,n124
133,0,n161-1,n128
134,0,n169-1,n138
135,0,n173-1,n142
136,0,n162-1,n129
137,0,n168-1,n137
138,0,n163-1,n130
139,0,n167-1,n136
140,1,n156-1,undefined
141,0,n164-1,n131
142,0,n166-1,n135
143,0,n148-1,n134
144,0,n165-1,n132
145,0,n149-1,n133
146,0,n147-1,n126
147,0,n171-1,n140
148,0,n177-1,n148
149,0,n176-1,n147
150,0,n178-1,n149
151,0,n182-1,n155
152,0,n175-1,n146
153,0,n179-1,n150
154,0,n181-1,n154
155,0,n174-1,n143
156,0,n180-1,n153
157,0,n152-1,n145
158,0,n154-1,n152
159,0,n155-1,n151
160,0,n153-1,n144
161,0,n196-1,n158
162,0,n197-1,n159
163,0,n207-1,n170
164,0,n198-1,n160
165,0,n206-1,n169
166,0,n199-1,n161
167,1,n221-1,undefined
168,0,n205-1,n168
169,0,n200-1,n162
170,0,n204-1,n167
171,0,n201-1,n163
172,1,n203-1,undefined
173,0,n186-1,n165
174,0,n184-1,n157
175,0,n202-1,n166
176,0,n187-1,n164
177,0,n185-1,n156
178,0,n208-1,n171
179,0,n214-1,n179
180,0,n209-1,n173
181,0,n213-1,n178
182,0,n215-1,n180
183,0,n219-1,n186
184,0,n210-1,n174
185,0,n212-1,n176
186,0,n216-1,n181
187,0,n218-1,n185
188,0,n211-1,n175
189,0,n217-1,n184
190,0,n195-1,n172
191,1,n190-1,undefined
192,0,n192-1,n183
193,0,n193-1,n182
194,0,n191-1,n177
195,0,n240-1,n189
196,0,n241-1,n190
197,0,n251-1,n202
198,0,n253-1,n204
199,0,n242-1,n191
200,0,n250-1,n201
201,0,n243-1,n192
202,0,n249-1,n200
203,0,n244-1,n193
204,0,n248-1,n199
205,1,n237-1,undefined
206,0,n245-1,n194
207,0,n247-1,n198
208,0,n229-1,n197
209,0,n227-1,n188
210,0,n246-1,n195
211,0,n230-1,n196
212,0,n228-1,n187
213,0,n252-1,n203
214,0,n258-1,n211
215,0,n257-1,n210
216,0,n259-1,n212
217,0,n263-1,n218
218,0,n254-1,n205
219,0,n256-1,n207
220,0,n260-1,n213
221,0,n262-1,n217
222,0,n255-1,n206
223,0,n261-1,n216
224,0,n233-1,n209
225,0,n235-1,n215
226,0,n236-1,n214
227,0,n234-1,n208
228,0,n277-1,n220
229,0,n278-1,n222
230,0,n288-1,n234
231,0,n279-1,n223
232,0,n287-1,n233
233,0,n280-1,n224
234,0,n320-1,n269
235,1,n302-1,undefined
236,0,n286-1,n232
237,0,n281-1,n225
238,0,n285-1,n231
