xml_id	midi_id	track	channel	pitch	onset
n10-1	n0	0	0	54	0.5194973437500001
n22-1	n12	0	0	54	2.4025082812500003
n43-1	n22	0	0	54	3.4975926562500006
n28-1	deletion
n11-1	n3	0	0	61	0.9254798437500001
n21-1	n11	0	0	61	2.2836515625000002
n27-1	n17	0	0	61	2.8365356250000002
n29-1	n18	0	0	61	3.0235012500000003
n33-1	n21	0	0	61	3.3667167187500007
n44-1	n25	0	0	61	3.6391523437500006
n23-1	deletion
n12-1	n4	0	0	64	1.0857360937500002
n20-1	n10	0	0	64	2.11938890625
n24-1	n13	0	0	64	2.5681064062500005
n45-1	n27	0	0	64	3.7406479687500003
n32-1	deletion
n26-1	deletion
n30-1	deletion
n13-1	n5	0	0	69	1.1925735937500004
n25-1	n14	0	0	69	2.6509054687500004
n46-1	n28	0	0	69	3.85015640625
n31-1	deletion
n19-1	deletion
n14-1	n6	0	0	73	1.3635135937500003
n7-1	n16	0	0	73	2.7337045312500003
n47-1	n29	0	0	73	3.9890451562500004
n18-1	deletion
n15-1	n7	0	0	76	1.4810348437500003
n17-1	n9	0	0	76	1.7160773437500003
n8-1	n20	0	0	76	3.1824220312500002
n9-1	n19	0	0	78	3.0942810937500003
n3-1	n15	0	0	80	2.6749439062500002
n1-1	n2	0	0	81	0.6944437500000001
n35-1	n24	0	0	81	3.5950818750000004
n16-1	deletion
n4-1	n8	0	0	85	1.6773487500000004
n2-1	n1	0	0	88	0.6543796875000001
n54-1	n37	0	0	61	4.699514531250001
n53-1	n36	0	0	64	4.598018906250001
n52-1	n35	0	0	69	4.495187812500001
n51-1	n34	0	0	73	4.3856793750000005
n48-1	n30	0	0	76	4.094547187500001
n50-1	n33	0	0	76	4.265487187500001
n37-1	n32	0	0	80	4.208062031250001
n49-1	n26	0	0	81	3.6845582812500006
n36-1	n23	0	0	88	3.5496759375000004
n55-1	n38	0	0	54	4.831725937500001
n61-1	n45	0	0	54	5.40197109375
n56-1	n39	0	0	61	4.882473750000001
n60-1	n44	0	0	61	5.2964690625
n62-1	n46	0	0	61	5.472750937500001
n66-1	n51	0	0	61	5.790592500000002
n57-1	n40	0	0	64	5.002665937500001
n63-1	n48	0	0	64	5.5595564062500005
n65-1	n50	0	0	64	5.750528437500002
n59-1	deletion
n58-1	n41	0	0	69	5.116180781250001
n64-1	deletion
n40-1	n43	0	0	73	5.166928593750001
n41-1	n49	0	0	76	5.602291406250001
n42-1	n47	0	0	78	5.54887265625
n39-1	n31	0	0	85	4.186694531250001
n78-1	n52	0	0	54	5.945506875000002
n89-1	n65	0	0	61	7.140751406250002
n91-1	n67	0	0	61	7.303678593750003
n95-1	n72	0	0	61	7.673603437500002
n97-1	n74	0	0	61	7.8325242187500015
n101-1	n78	0	0	61	8.1436884375
n116-1	n81	0	0	61	8.32931859375
n79-1	deletion
n80-1	n55	0	0	64	6.212600625000001
n88-1	n64	0	0	64	7.036584843750002
n92-1	n68	0	0	64	7.398496875000003
n94-1	deletion
n81-1	n56	0	0	69	6.323444531250001
n87-1	n63	0	0	69	6.921734531250002
n82-1	n57	0	0	73	6.459662343750001
n86-1	n62	0	0	73	6.813561562500001
n83-1	n58	0	0	76	6.554480625000001
n85-1	n61	0	0	76	6.704053125000001
n70-1	n60	0	0	80	6.702717656250001
n68-1	n54	0	0	81	6.0576862500000015
n84-1	deletion
n71-1	n59	0	0	85	6.685356562500001
n69-1	n53	0	0	88	6.032312343750002
n90-1	n66	0	0	54	7.243582500000002
n96-1	n73	0	0	54	7.765750781250002
n98-1	n75	0	0	64	7.9286779687500015
n100-1	deletion
n93-1	n69	0	0	69	7.495986093750003
n99-1	n77	0	0	69	7.986103125000001
n74-1	n71	0	0	73	7.613507343750002
n76-1	deletion
n77-1	n76	0	0	78	7.936690781250001
n75-1	n70	0	0	80	7.561424062500002
n115-1	n79	0	0	54	8.274564375
n126-1	n90	0	0	61	9.461796093750005
n117-1	n82	0	0	64	8.41745953125
n125-1	n89	0	0	64	9.345610312500003
n140-1	n83	0	0	68	8.51628421875
n118-1	deletion
n124-1	n88	0	0	69	9.217405312500004
n119-1	n84	0	0	73	8.807416406250002
n123-1	deletion
n120-1	n85	0	0	76	8.868847968750003
n122-1	deletion
n105-1	deletion
n121-1	n87	0	0	81	8.959659843750003
n146-1	n108	0	0	81	10.850683593750007
n103-1	deletion
n106-1	n86	0	0	85	8.912918437500004
n104-1	n80	0	0	88	8.3039446875
n127-1	n91	0	0	54	9.608697656250005
n133-1	n99	0	0	54	10.244380781250007
n128-1	n93	0	0	61	9.711528750000005
