xml_id	midi_id	track	channel	pitch	onset
n13-1	n0	1	0	62	2.049139254166666
n14-1	n4	1	0	62	2.5256335750000005
n2-1	n2	1	0	63	2.286318041666667
n6-1	n5	1	0	63	2.760675616666667
n3-1	n3	1	0	66	2.2948650250000004
n7-1	n7	1	0	66	2.770290972916667
n4-1	n1	1	0	74	2.283112922916667
n8-1	n6	1	0	74	2.760675616666667
n16-1	n8	1	0	62	2.9946492854166666
n31-1	n13	1	0	62	3.4476394020833334
n17-1	n12	1	0	65	3.217939225
n10-1	n11	1	0	66	3.207255495833333
n11-1	n10	1	0	69	3.18909315625
n12-1	n9	1	0	77	3.1858880375
n33-1	n18	1	0	57	4.091868270833333
n32-1	n17	1	0	62	3.8696467041666667
n20-1	n14	1	0	63	3.6484935104166665
n21-1	n16	1	0	66	3.6677242229166667
n22-1	n15	1	0	74	3.653835375
n35-1	deletion
n28-1	n25	1	0	56	4.543790014583333
n29-1	n24	1	0	59	4.5320379125
n34-1	n22	1	0	60	4.325841939583333
n25-1	n20	1	0	61	4.315158210416667
n49-1	n26	1	0	62	4.736097139583333
n26-1	deletion
n30-1	n23	1	0	67	4.5128072
n27-1	n19	1	0	72	4.313021464583334
n50-1	n30	1	0	62	5.184813764583333
n42-1	n31	1	0	63	5.391009737499999
n38-1	deletion
n39-1	n27	1	0	66	4.97113918125
n43-1	n32	1	0	66	5.4070353312499995
n40-1	n28	1	0	74	4.97113918125
n44-1	n33	1	0	74	5.418787433333333
n52-1	n34	1	0	62	5.6281885250000006
n67-1	n39	1	0	62	6.04164884375
n53-1	n37	1	0	65	5.8354528708333335
n46-1	n38	1	0	66	5.8354528708333335
n47-1	n35	1	0	69	5.82370076875
n48-1	n36	1	0	77	5.826905887500001
n69-1	n44	1	0	57	6.6890828312499995
n68-1	n43	1	0	62	6.482886858333333
n56-1	n40	1	0	63	6.257460172916667
n57-1	n41	1	0	66	6.2756225125
n58-1	n42	1	0	74	6.277759258333333
n71-1	n51	1	0	55	7.142072947916667
n64-1	n52	1	0	56	7.14420969375
n65-1	n50	1	0	59	7.132457591666666
n70-1	n48	1	0	60	6.9230564999999995
n61-1	n47	1	0	61	6.907030906249999
n85-1	n53	1	0	62	7.3397219375
n74-1	n54	1	0	63	7.543781164583333
n62-1	deletion
n66-1	n49	1	0	67	7.103611522916666
n63-1	n45	1	0	72	6.901689041666666
n86-1	n57	1	0	62	7.772412968749999
n78-1	n58	1	0	63	7.982882433333333
n75-1	n55	1	0	66	7.563011877083333
n79-1	n59	1	0	66	7.992497789583333
n76-1	n56	1	0	74	7.5694221145833325
n80-1	n60	1	0	74	8.001044772916666
n88-1	n61	1	0	62	8.196557016666665
n82-1	n62	1	0	63	8.407026481249998
n83-1	n64	1	0	66	8.440146041666665
n91-1	n65	1	0	69	8.662367608333328
n84-1	n63	1	0	74	8.438009295833332
n100-1	n75	1	0	63	9.30980159583333
n99-1	n74	1	0	65	9.081169791666662
n92-1	n66	1	0	67	8.890999412499994
n97-1	n72	1	0	67	9.018135789583328
n93-1	n67	1	0	69	8.890999412499994
n98-1	n73	1	0	69	9.025614399999995
n94-1	n70	1	0	73	8.94975992291666
n95-1	n69	1	0	75	8.947623177083328
n96-1	n68	1	0	81	8.946554804166661
n107-1	n82	1	0	38	9.985013279166658
n108-1	n81	1	0	45	9.983944906249992
n105-1	n80	1	0	60	9.744629372916659
n101-1	n76	1	0	62	9.46364729583333
n102-1	n77	1	0	66	9.504245466666662
n103-1	n78	1	0	68	9.525612924999995
n104-1	n79	1	0	75	9.540570145833328
n109-1	n83	1	0	50	10.211508337499993
n111-1	n86	1	0	50	10.450823870833327
n110-1	n84	1	0	57	10.213645083333326
n112-1	n85	1	0	57	10.442276887499993
n113-1	n87	1	0	62	10.682660793749994
n114-1	n88	1	0	69	10.685865912499994
n115-1	n90	1	0	62	10.916634462499994
n116-1	n89	1	0	69	10.910224224999993
n117-1	n91	1	0	69	11.137787656249994
n121-1	n94	1	0	69	11.382445054166663
n118-1	n92	1	0	74	11.13885602916666
n119-1	n93	1	0	81	11.13885602916666
n130-1	n103	1	0	63	12.033084160416658
n129-1	n102	1	0	65	11.820477949999992
n122-1	n95	1	0	67	11.623897333333328
n127-1	n100	1	0	67	11.739281608333327
n123-1	n96	1	0	69	11.63030757083333
n128-1	n101	1	0	69	11.771332795833326
n124-1	n98	1	0	73	11.67731597916666
n125-1	n99	1	0	75	11.678384352083327
n126-1	n97	1	0	81	11.668768995833329
n137-1	n111	1	0	38	12.722184691666657
n138-1	n110	1	0	45	12.71791119999999
n135-1	n109	1	0	60	12.485005904166657
n131-1	n104	1	0	62	12.19975033541666
n132-1	n105	1	0	66	12.244621997916658
n133-1	n106	1	0	68	12.257442472916658
n134-1	n108	1	0	75	12.27560481249999
n139-1	n112	1	0	50	12.939064393749991
