xml_id	midi_id	track	channel	pitch	onset
n13-1	n0	0	0	62	0.507478125
n14-1	n4	0	0	62	0.9949242187499998
n2-1	n1	0	0	63	0.69845015625
n6-1	n5	0	0	63	1.1618578124999999
n3-1	n2	0	0	66	0.7345078125
n7-1	n6	0	0	66	1.1885671875
n4-1	n3	0	0	74	0.7825846874999999
n8-1	n7	0	0	74	1.2206184375
n16-1	n8	0	0	62	1.45432546875
n31-1	n13	0	0	62	1.89235921875
n17-1	n12	0	0	65	1.666665
n10-1	n9	0	0	66	1.5892078125
n11-1	n10	0	0	69	1.64663296875
n12-1	n11	0	0	77	1.66532953125
n33-1	n18	0	0	57	2.5934803124999997
n32-1	n17	0	0	62	2.3664506249999997
n20-1	n14	0	0	63	2.0726475
n21-1	n15	0	0	66	2.1180534375
n22-1	n16	0	0	74	2.1541110937499997
n35-1	n24	0	0	55	3.046204218749999
n28-1	n23	0	0	56	3.028843124999999
n29-1	n25	0	0	59	3.048875156249999
n34-1	n21	0	0	60	2.8245164062499994
n25-1	n19	0	0	61	2.7604139062499993
n49-1	n28	0	0	62	3.3026142187499987
n38-1	n29	0	0	63	3.4668768749999987
n26-1	deletion
n30-1	n27	0	0	67	3.078255468749999
n27-1	n22	0	0	72	2.8392065624999994
n50-1	n32	0	0	62	3.763350937499999
n42-1	n33	0	0	63	3.924942656249999
n39-1	n30	0	0	66	3.505605468749999
n43-1	n34	0	0	66	3.970348593749999
n40-1	n31	0	0	74	3.541663124999999
n44-1	n35	0	0	74	3.9957224999999985
n52-1	n36	0	0	62	4.217410312499998
n67-1	n41	0	0	62	4.660785937499998
n53-1	n39	0	0	65	4.436427187499998
n46-1	n37	0	0	66	4.366982812499998
n47-1	n38	0	0	69	4.413724218749998
n48-1	n40	0	0	77	4.4444399999999975
n69-1	n46	0	0	57	5.336533124999999
n68-1	n45	0	0	62	5.125529062499998
n56-1	n42	0	0	63	4.825048593749998
n57-1	n43	0	0	66	4.862441718749999
n58-1	n44	0	0	74	4.905176718749998
n71-1	n53	0	0	55	5.766554062499998
n64-1	n51	0	0	56	5.734502812499998
n65-1	n52	0	0	59	5.762547656249998
n70-1	n50	0	0	60	5.558220937499999
n61-1	n47	0	0	61	5.4674090625
n85-1	n55	0	0	62	6.0256349999999985
n74-1	n56	0	0	63	6.200581406249999
n62-1	deletion
n66-1	n54	0	0	67	5.789257031249998
n63-1	n49	0	0	72	5.5488726562499995
n86-1	n59	0	0	62	6.485036249999999
n78-1	n60	0	0	63	6.641286093749999
n75-1	n57	0	0	66	6.2353035937499985
n79-1	n61	0	0	66	6.665324531249999
n76-1	n58	0	0	74	6.262012968749999
n80-1	n62	0	0	74	6.696040312499998
n88-1	n63	0	0	62	6.9043734374999985
n82-1	n64	0	0	63	7.068636093749999
n83-1	n65	0	0	66	7.091339062499999
n91-1	n67	0	0	69	7.322375156249999
n84-1	n66	0	0	74	7.112706562499999
n100-1	n77	0	0	63	7.907310468749998
n99-1	n76	0	0	65	7.697641874999998
n92-1	n70	0	0	67	7.518689062499998
n97-1	n74	0	0	67	7.658913281249998
n93-1	n69	0	0	69	7.5173535937499985
n98-1	n75	0	0	69	7.661584218749997
n94-1	n72	0	0	73	7.574778749999998
n95-1	n73	0	0	75	7.577449687499998
n96-1	n71	0	0	81	7.569436874999998
n107-1	n84	0	0	38	8.624457187499997
n108-1	n83	0	0	45	8.616444374999997
n105-1	n82	0	0	60	8.385408281249997
n101-1	n81	0	0	62	8.159714062499999
n102-1	n78	0	0	66	8.066231249999998
n103-1	n79	0	0	68	8.133004687499998
n104-1	n80	0	0	75	8.150365781249999
n109-1	n86	0	0	50	8.85015140625
n111-1	n87	0	0	50	9.058484531249999
n110-1	n85	0	0	57	8.83946765625
n112-1	n88	0	0	57	9.061155468749998
n113-1	n90	0	0	62	9.284178749999999
n114-1	n89	0	0	69	9.277501406249998
n115-1	n91	0	0	62	9.488505468749999
n116-1	n92	0	0	69	9.488505468749999
n117-1	n95	0	0	69	9.715535156249997
n121-1	n96	0	0	69	9.942564843749997
n118-1	n94	0	0	74	9.711528749999998
n119-1	n93	0	0	81	9.707522343749998
n130-1	n105	0	0	63	10.555544999999999
n129-1	n104	0	0	65	10.337863593749999
n122-1	n98	0	0	67	10.156239843749999
n127-1	n103	0	0	67	10.26708375
n123-1	n97	0	0	69	10.146891562499999
n128-1	n102	0	0	69	10.26574828125
n124-1	n100	0	0	73	10.209658593750001
n125-1	n101	0	0	75	10.209658593750001
n126-1	n99	0	0	81	10.20164578125
n137-1	n112	0	0	38	11.267349843749999
n138-1	n111	0	0	45	11.255330625
n135-1	n110	0	0	60	11.0042625
n131-1	n109	0	0	62	10.794593906249998
n132-1	n106	0	0	66	10.690427343749999
n133-1	n107	0	0	68	10.757200781249999
n134-1	n108	0	0	75	10.782574687499999
n139-1	n114	0	0	50	11.489037656249998
n141-1	n115	0	0	50	11.713396406249998
n140-1	n113	0	0	57	11.483695781249999
n142-1	n116	0	0	57	11.713396406249998
n143-1	n118	0	0	62	11.92974234375
n144-1	n117	0	0	69	11.923065
n151-1	n125	0	0	38	12.62151515625
n152-1	n124	0	0	45	12.612166875
n145-1	n120	0	0	62	12.154101093749999
n146-1	n119	0	0	69	12.15143015625
n147-1	n122	0	0	69	12.366440625
n148-1	n123	0	0	74	12.37578890625
n149-1	n121	0	0	81	12.357092343749999
n155-1	n129	0	0	38	13.08091640625
n156-1	n128	0	0	45	13.072903593749999
n153-1	n127	0	0	50	12.833854687499999
n157-1	n131	0	0	50	13.31328796875
n154-1	n126	0	0	57	12.8285128125
n158-1	n130	0	0	57	13.30527515625
n159-1	n133	0	0	38	13.5389821875
n170-1	n137	0	0	38	13.9983834375
n160-1	n132	0	0	45	13.52963390625
n171-1	n136	0	0	45	13.99437703125
n161-1	n135	0	0	50	13.766011875
n162-1	n134	0	0	57	13.75399265625
n174-1	n141	0	0	38	14.460455624999996
n175-1	n140	0	0	45	14.459120156249996
