onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,1.0,0.0,0.5,0,512,62,4,n13-1,0.0,0.507478
1.0,1.0,0.5,0.5,512,512,63,1,n2-1,0.0,0.507478
1.0,1.0,0.5,0.5,512,512,66,1,n3-1,0.0,0.507478
1.0,1.0,0.5,0.5,512,512,74,1,n4-1,0.0,0.507478
2.0,1.0,1.0,0.5,1024,512,62,4,n14-1,0.0,0.507478
3.0,1.0,1.5,0.5,1536,512,63,1,n6-1,3.0,1.161858
3.0,1.0,1.5,0.5,1536,512,66,1,n7-1,3.0,1.161858
3.0,1.0,1.5,0.5,1536,512,74,1,n8-1,3.0,1.161858
4.0,1.0,2.0,0.5,2048,512,62,4,n16-1,3.0,1.161858
5.0,1.0,2.5,0.5,2560,512,65,4,n17-1,3.0,1.161858
5.0,1.0,2.5,0.5,2560,512,66,1,n10-1,3.0,1.161858
5.0,1.0,2.5,0.5,2560,512,69,1,n11-1,3.0,1.161858
5.0,1.0,2.5,0.5,2560,512,77,1,n12-1,3.0,1.161858
6.0,1.0,3.0,0.5,3072,512,62,4,n31-1,6.0,1.892359
7.0,1.0,3.5,0.5,3584,512,63,1,n20-1,6.0,1.892359
7.0,1.0,3.5,0.5,3584,512,66,1,n21-1,6.0,1.892359
7.0,1.0,3.5,0.5,3584,512,74,1,n22-1,6.0,1.892359
8.0,1.0,4.0,0.5,4096,512,62,4,n32-1,6.0,1.892359
9.0,1.0,4.5,0.5,4608,512,57,4,n33-1,9.0,2.59348
10.0,1.0,5.0,0.5,5120,512,60,4,n34-1,9.0,2.59348
10.0,1.0,5.0,0.5,5120,512,61,1,n25-1,9.0,2.59348
10.0,1.0,5.0,0.5,5120,512,63,1,n26-1,9.0,2.59348
10.0,1.0,5.0,0.5,5120,512,72,1,n27-1,9.0,2.59348
11.0,1.0,5.5,0.5,5632,512,55,4,n35-1,9.0,2.59348
11.0,1.0,5.5,0.5,5632,512,56,1,n28-1,9.0,2.59348
11.0,1.0,5.5,0.5,5632,512,59,1,n29-1,9.0,2.59348
11.0,1.0,5.5,0.5,5632,512,67,1,n30-1,9.0,2.59348
12.0,1.0,6.0,0.5,6144,512,62,4,n49-1,12.0,3.302614
13.0,1.0,6.5,0.5,6656,512,63,1,n38-1,12.0,3.302614
13.0,1.0,6.5,0.5,6656,512,66,1,n39-1,12.0,3.302614
13.0,1.0,6.5,0.5,6656,512,74,1,n40-1,12.0,3.302614
14.0,1.0,7.0,0.5,7168,512,62,4,n50-1,12.0,3.302614
15.0,1.0,7.5,0.5,7680,512,63,1,n42-1,15.0,3.924943
15.0,1.0,7.5,0.5,7680,512,66,1,n43-1,15.0,3.924943
15.0,1.0,7.5,0.5,7680,512,74,1,n44-1,15.0,3.924943
16.0,1.0,8.0,0.5,8192,512,62,4,n52-1,15.0,3.924943
17.0,1.0,8.5,0.5,8704,512,65,4,n53-1,15.0,3.924943
17.0,1.0,8.5,0.5,8704,512,66,1,n46-1,15.0,3.924943
17.0,1.0,8.5,0.5,8704,512,69,1,n47-1,15.0,3.924943
17.0,1.0,8.5,0.5,8704,512,77,1,n48-1,15.0,3.924943
18.0,1.0,9.0,0.5,9216,512,62,4,n67-1,18.0,4.660786
19.0,1.0,9.5,0.5,9728,512,63,1,n56-1,18.0,4.660786
19.0,1.0,9.5,0.5,9728,512,66,1,n57-1,18.0,4.660786
19.0,1.0,9.5,0.5,9728,512,74,1,n58-1,18.0,4.660786
20.0,1.0,10.0,0.5,10240,512,62,4,n68-1,18.0,4.660786
21.0,1.0,10.5,0.5,10752,512,57,4,n69-1,21.0,5.336533
22.0,1.0,11.0,0.5,11264,512,60,4,n70-1,21.0,5.336533
22.0,1.0,11.0,0.5,11264,512,61,1,n61-1,21.0,5.336533
22.0,1.0,11.0,0.5,11264,512,63,1,n62-1,21.0,5.336533
22.0,1.0,11.0,0.5,11264,512,72,1,n63-1,21.0,5.336533
23.0,1.0,11.5,0.5,11776,512,55,4,n71-1,21.0,5.336533
23.0,1.0,11.5,0.5,11776,512,56,1,n64-1,21.0,5.336533
23.0,1.0,11.5,0.5,11776,512,59,1,n65-1,21.0,5.336533
23.0,1.0,11.5,0.5,11776,512,67,1,n66-1,21.0,5.336533
24.0,1.0,12.0,0.5,12288,512,62,4,n85-1,24.0,6.025635
25.0,1.0,12.5,0.5,12800,512,63,1,n74-1,24.0,6.025635
25.0,1.0,12.5,0.5,12800,512,66,1,n75-1,24.0,6.025635
25.0,1.0,12.5,0.5,12800,512,74,1,n76-1,24.0,6.025635
26.0,1.0,13.0,0.5,13312,512,62,4,n86-1,24.0,6.025635
27.0,1.0,13.5,0.5,13824,512,63,1,n78-1,27.0,6.641286
27.0,1.0,13.5,0.5,13824,512,66,1,n79-1,27.0,6.641286
27.0,1.0,13.5,0.5,13824,512,74,1,n80-1,27.0,6.641286
28.0,1.0,14.0,0.5,14336,512,62,4,n88-1,27.0,6.641286
29.0,1.0,14.5,0.5,14848,512,63,1,n82-1,27.0,6.641286
29.0,1.0,14.5,0.5,14848,512,66,1,n83-1,27.0,6.641286
29.0,1.0,14.5,0.5,14848,512,74,1,n84-1,27.0,6.641286
30.0,1.0,15.0,0.5,15360,512,69,4,n91-1,30.0,7.322375
31.0,0.33398438,15.5,0.16699219,15872,171,67,4,n92-1,30.0,7.322375
31.0,0.33398438,15.5,0.16699219,15872,171,69,4,n93-1,30.0,7.322375
31.333984,0.33203125,15.666992,0.16601562,16043,170,73,4,n94-1,30.0,7.322375
31.333984,0.33203125,15.666992,0.16601562,16043,170,75,4,n95-1,30.0,7.322375
31.333984,0.33203125,15.666992,0.16601562,16043,170,81,4,n96-1,30.0,7.322375
31.666016,0.33398438,15.833008,0.16699219,16213,171,67,4,n97-1,30.0,7.322375
31.666016,0.33398438,15.833008,0.16699219,16213,171,69,4,n98-1,30.0,7.322375
32.0,1.0,16.0,0.5,16384,512,65,4,n99-1,30.0,7.322375
33.0,1.0,16.5,0.5,16896,512,63,4,n100-1,33.0,7.90731
34.0,1.0,17.0,0.5,17408,512,62,4,n101-1,33.0,7.90731
34.0,1.0,17.0,0.5,17408,512,66,4,n102-1,33.0,7.90731
34.0,1.0,17.0,0.5,17408,512,68,4,n103-1,33.0,7.90731
34.0,1.0,17.0,0.5,17408,512,75,4,n104-1,33.0,7.90731
35.0,1.0,17.5,0.5,17920,512,60,4,n105-1,33.0,7.90731
36.0,1.0,18.0,0.5,18432,512,38,4,n107-1,36.0,8.620451
36.0,1.0,18.0,0.5,18432,512,45,4,n108-1,36.0,8.620451
37.0,1.0,18.5,0.5,18944,512,50,4,n109-1,36.0,8.620451
37.0,1.0,18.5,0.5,18944,512,57,4,n110-1,36.0,8.620451
38.0,1.0,19.0,0.5,19456,512,50,4,n111-1,36.0,8.620451
38.0,1.0,19.0,0.5,19456,512,57,4,n112-1,36.0,8.620451
39.0,1.0,19.5,0.5,19968,512,62,4,n113-1,39.0,9.28084
39.0,1.0,19.5,0.5,19968,512,69,4,n114-1,39.0,9.28084
40.0,1.0,20.0,0.5,20480,512,62,4,n115-1,39.0,9.28084
40.0,1.0,20.0,0.5,20480,512,69,4,n116-1,39.0,9.28084
41.0,1.0,20.5,0.5,20992,512,69,4,n117-1,39.0,9.28084
41.0,1.0,20.5,0.5,20992,512,74,4,n118-1,39.0,9.28084
41.0,1.0,20.5,0.5,20992,512,81,4,n119-1,39.0,9.28084
42.0,1.0,21.0,0.5,21504,512,69,4,n121-1,42.0,9.942565
43.0,0.33398438,21.5,0.16699219,22016,171,67,4,n122-1,42.0,9.942565
43.0,0.33398438,21.5,0.16699219,22016,171,69,4,n123-1,42.0,9.942565
43.333984,0.33203125,21.666992,0.16601562,22187,170,73,4,n124-1,42.0,9.942565
43.333984,0.33203125,21.666992,0.16601562,22187,170,75,4,n125-1,42.0,9.942565
43.333984,0.33203125,21.666992,0.16601562,22187,170,81,4,n126-1,42.0,9.942565
43.666016,0.33398438,21.833008,0.16699219,22357,171,67,4,n127-1,42.0,9.942565
43.666016,0.33398438,21.833008,0.16699219,22357,171,69,4,n128-1,42.0,9.942565
44.0,1.0,22.0,0.5,22528,512,65,4,n129-1,42.0,9.942565
45.0,1.0,22.5,0.5,23040,512,63,4,n130-1,45.0,10.555545
46.0,1.0,23.0,0.5,23552,512,62,4,n131-1,45.0,10.555545
46.0,1.0,23.0,0.5,23552,512,66,4,n132-1,45.0,10.555545
46.0,1.0,23.0,0.5,23552,512,68,4,n133-1,45.0,10.555545
46.0,1.0,23.0,0.5,23552,512,75,4,n134-1,45.0,10.555545
47.0,1.0,23.5,0.5,24064,512,60,4,n135-1,45.0,10.555545
48.0,1.0,24.0,0.5,24576,512,38,4,n137-1,48.0,11.26134
