onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.0918741,0.029914442,62,78,1,0,n0,2.091874,0.0
2.3856766,0.032051187,74,63,1,0,n1,2.091874,0.0
2.3995655,0.045940034,66,50,1,0,n2,2.091874,0.0
2.4027708,0.03632468,63,40,1,0,n3,2.091874,0.0
2.6517017,0.032051187,62,60,1,0,n4,2.091874,0.0
2.9017007,0.040598173,74,79,1,0,n5,2.091874,0.0
2.9123845,0.032051187,66,72,1,0,n6,2.091874,0.0
2.9187949,0.053418647,63,60,1,0,n7,2.091874,0.0
3.1901615,0.04380329,62,59,1,0,n8,2.918795,3.0
3.4219985,0.03418793,77,75,1,0,n9,2.918795,3.0
3.431614,0.028846068,69,70,1,0,n10,2.918795,3.0
3.4337506,0.040598173,66,59,1,0,n11,2.918795,3.0
3.4497762,0.027777696,65,51,1,0,n12,2.918795,3.0
3.6741345,0.026709324,62,83,1,0,n13,3.674134,6.0
3.921997,0.049145155,74,70,1,0,n14,3.674134,6.0
3.9401593,0.057692137,66,51,1,0,n15,3.674134,6.0
3.9497747,0.048076782,63,40,1,0,n16,3.674134,6.0
4.1880217,0.035256308,62,62,1,0,n17,3.674134,6.0
4.429474,0.039529797,57,77,1,0,n18,4.429474,9.0
4.6623793,0.032051187,72,80,1,0,n19,4.429474,9.0
4.664516,0.03311956,63,73,1,0,n20,4.429474,9.0
4.6730633,0.037393052,61,65,1,0,n21,4.429474,9.0
4.6752,0.030982815,60,64,1,0,n22,4.429474,9.0
4.925199,0.07585448,67,79,1,0,n23,4.429474,9.0
4.9337463,0.053418647,59,74,1,0,n24,4.429474,9.0
4.9380198,0.0512819,56,68,1,0,n25,4.429474,9.0
4.94443,0.05235027,55,49,1,0,n26,4.429474,9.0
5.199771,0.039529797,62,98,1,0,n27,5.199771,12.0
5.44336,0.03632468,74,73,1,0,n28,5.199771,12.0
5.448702,0.038461424,63,62,1,0,n29,5.199771,12.0
5.455112,0.037393052,66,65,1,0,n30,5.199771,12.0
5.7051115,0.035256308,62,67,1,0,n31,5.199771,12.0
5.9369483,0.06517075,74,85,1,0,n32,5.199771,12.0
5.9401536,0.050213527,66,82,1,0,n33,5.199771,12.0
5.9422903,0.045940034,63,76,1,0,n34,5.94229,15.0
6.216862,0.0512819,62,58,1,0,n35,5.94229,15.0
6.448699,0.032051187,77,80,1,0,n36,5.94229,15.0
6.454041,0.029914442,69,77,1,0,n37,5.94229,15.0
6.4657927,0.038461424,66,59,1,0,n38,5.94229,15.0
6.4764767,0.030982815,65,49,1,0,n39,5.94229,15.0
