onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.5074781,0.036057655,62,72,0,0,n0,0.507478,0.0
0.7745719,0.034722187,74,66,0,0,n1,0.507478,0.0
0.7852556,0.042735,63,28,0,0,n2,0.507478,0.0
1.0029371,0.040064063,62,56,0,0,n3,0.507478,0.0
1.2232894,0.03071578,63,73,0,0,n4,1.223289,3.0
1.2353086,0.03205125,74,83,0,0,n5,1.223289,3.0
1.239315,0.029380312,66,75,0,0,n6,1.223289,3.0
1.4569964,0.036057655,62,61,0,0,n7,1.223289,3.0
1.6626586,0.034722187,66,65,0,0,n8,1.223289,3.0
1.6800197,0.03071578,69,65,0,0,n9,1.223289,3.0
1.6840261,0.029380312,77,76,0,0,n10,1.223289,3.0
1.6880325,0.036057655,65,67,0,0,n11,1.223289,3.0
1.8977011,0.02270297,62,90,0,0,n12,1.897701,6.0
2.1233952,0.034722187,63,59,0,0,n13,1.897701,6.0
2.13675,0.044070467,66,64,0,0,n14,1.897701,6.0
2.1407564,0.03205125,74,69,0,0,n15,1.897701,6.0
2.3437476,0.03205125,62,71,0,0,n16,1.897701,6.0
2.566771,0.028044844,57,84,0,0,n17,2.566771,9.0
2.7537365,0.03338672,61,66,0,0,n18,2.566771,9.0
2.7737687,0.03338672,64,64,0,0,n19,2.566771,9.0
2.7791104,0.026709376,60,63,0,0,n20,2.566771,9.0
2.7844524,0.028044844,72,54,0,0,n21,2.566771,9.0
2.9821017,0.036057655,55,71,0,0,n22,2.566771,9.0
2.9821017,0.042735,59,56,0,0,n23,2.566771,9.0
2.9967918,0.065437965,67,56,0,0,n24,2.566771,9.0
3.2158089,0.024038438,62,71,0,0,n25,2.566771,9.0
3.416129,0.034722187,63,60,0,0,n26,3.215809,12.0
3.426813,0.036057655,74,72,0,0,n27,3.215809,12.0
3.4308193,0.03205125,66,67,0,0,n28,3.215809,12.0
3.637817,0.03205125,62,70,0,0,n29,3.215809,12.0
3.8368018,0.03338672,63,81,0,0,n30,3.215809,12.0
3.8528273,0.040064063,66,89,0,0,n31,3.836802,15.0
3.8621757,0.04540594,74,88,0,0,n32,3.836802,15.0
4.077186,0.04139953,62,63,0,0,n33,3.836802,15.0
4.2721643,0.034722187,66,55,0,0,n34,3.836802,15.0
4.284184,0.03338672,69,65,0,0,n35,3.836802,15.0
