xml_id	midi_id	track	channel	pitch	onset
n13-1	n0	0	0	62	0.5040625000000001
n14-1	n4	0	0	62	0.9915625000000001
n2-1	n1	0	0	63	0.7665625
n6-1	n5	0	0	63	1.1978125000000002
n3-1	n2	0	0	66	0.7718750000000001
n7-1	n7	0	0	66	1.2031250000000002
n4-1	n3	0	0	74	0.7718750000000001
n8-1	n6	0	0	74	1.1978125000000002
n16-1	n8	0	0	62	1.4375000000000002
n31-1	n13	0	0	62	1.8978125000000001
n17-1	n10	0	0	65	1.6740625000000002
n10-1	n11	0	0	66	1.6740625000000002
n11-1	n12	0	0	69	1.6781250000000003
n12-1	n9	0	0	77	1.6696875000000002
n33-1	n18	0	0	57	2.5946875
n32-1	n17	0	0	62	2.3750000000000004
n20-1	n15	0	0	63	2.1321875
n21-1	n16	0	0	66	2.1321875
n22-1	n14	0	0	74	2.121875
n35-1	n26	0	0	55	3.0540624999999997
n28-1	n24	0	0	56	3.0334375
n29-1	n25	0	0	59	3.0374999999999996
n34-1	n21	0	0	60	2.8228125
n25-1	n19	0	0	61	2.8115625
n49-1	n27	0	0	62	3.2603124999999995
n26-1	deletion
n30-1	n23	0	0	67	3.0259375
n27-1	n20	0	0	72	2.815625
n50-1	n31	0	0	62	3.7053125
n38-1	n29	0	0	63	3.5124999999999997
n42-1	n32	0	0	63	3.9259375
n39-1	n30	0	0	66	3.5165624999999996
n43-1	n34	0	0	66	3.9365625
n40-1	n28	0	0	74	3.5084375
n44-1	n33	0	0	74	3.9259375
n52-1	n35	0	0	62	4.1375
n67-1	n40	0	0	62	4.571875
n53-1	n39	0	0	65	4.3665625
n46-1	n37	0	0	66	4.3625
n47-1	n38	0	0	69	4.3625
n48-1	n36	0	0	77	4.3553125
n69-1	n45	0	0	57	5.252187499999998
n68-1	n44	0	0	62	5.021874999999999
n56-1	n41	0	0	63	4.7946875
n57-1	n43	0	0	66	4.8084375
n58-1	n42	0	0	74	4.7990625
n71-1	n53	0	0	55	5.7084375
n64-1	n51	0	0	56	5.6821874999999995
n65-1	n52	0	0	59	5.6821874999999995
n70-1	n48	0	0	60	5.4771874999999985
n61-1	n46	0	0	61	5.459374999999998
n85-1	n54	0	0	62	5.905312499999999
n62-1	deletion
n66-1	n50	0	0	67	5.670937499999999
n63-1	n47	0	0	72	5.467812499999998
n86-1	n58	0	0	62	6.3521874999999985
n74-1	n56	0	0	63	6.144687499999999
n78-1	n59	0	0	63	6.563437499999999
n75-1	n57	0	0	66	6.146874999999999
n79-1	n61	0	0	66	6.569687499999999
n76-1	n55	0	0	74	6.140624999999999
n80-1	n60	0	0	74	6.563437499999999
n88-1	n62	0	0	62	6.774999999999998
n82-1	n63	0	0	63	6.972812499999998
n83-1	n65	0	0	66	6.980312499999998
n91-1	n66	0	0	69	7.186562499999998
n84-1	n64	0	0	74	6.972812499999998
n100-1	n75	0	0	63	7.822812499999997
n99-1	n74	0	0	65	7.6053124999999975
n92-1	n68	0	0	67	7.421874999999997
n97-1	n71	0	0	67	7.539687499999998
n93-1	n67	0	0	69	7.416562499999998
n98-1	n72	0	0	69	7.5437499999999975
n94-1	n69	0	0	73	7.4334374999999975
n95-1	deletion
n96-1	n70	0	0	81	7.490624999999998
n107-1	n82	0	0	38	8.494687499999994
n108-1	n81	0	0	45	8.491562499999993
n105-1	n80	0	0	60	8.244687499999994
n101-1	n76	0	0	62	8.039687499999996
n102-1	n78	0	0	66	8.053124999999996
n103-1	n79	0	0	68	8.057187499999996
n104-1	n77	0	0	75	8.041562499999996
n109-1	n84	0	0	50	8.727187499999996
n111-1	n85	0	0	50	8.936562499999996
n110-1	n83	0	0	57	8.719687499999996
n112-1	n86	0	0	57	8.936562499999996
n113-1	n88	0	0	62	9.162499999999998
n114-1	n87	0	0	69	9.157187499999997
