xml_id	midi_id	track	channel	pitch	onset
n13-1	n0	1	0	62	2.00720953125
n14-1	n4	1	0	62	2.4746235937499996
n2-1	n1	1	0	63	2.2369101562499996
n6-1	n5	1	0	63	2.70699515625
n3-1	n2	1	0	66	2.2622840624999996
n7-1	n6	1	0	66	2.7136725
n4-1	n3	1	0	74	2.2702968749999997
n8-1	n7	1	0	74	2.72435625
n16-1	n8	1	0	62	2.95806328125
n31-1	n13	1	0	62	3.3840778124999993
n17-1	n11	1	0	65	3.1690673437499997
n10-1	n9	1	0	66	3.1530417187499995
n11-1	n10	1	0	69	3.1583835937499996
n12-1	n12	1	0	77	3.1770801562499997
n33-1	n18	1	0	57	4.04513484375
n32-1	n17	1	0	62	3.827453437499999
n20-1	n14	1	0	63	3.5790562499999994
n21-1	n15	1	0	66	3.5990882812499994
n22-1	n16	1	0	74	3.6244621874999994
n35-1	n26	1	0	55	4.4724848437499976
n28-1	n23	1	0	56	4.459130156249998
n29-1	n24	1	0	59	4.460465624999998
n34-1	n21	1	0	60	4.264151718749999
n25-1	n19	1	0	61	4.225423124999999
n49-1	n27	1	0	62	4.7061918749999965
n38-1	n28	1	0	63	4.906512187499997
n26-1	deletion
n30-1	deletion
n27-1	n22	1	0	72	4.264151718749999
n50-1	n31	1	0	62	5.152238437499997
n42-1	n32	1	0	63	5.324513906249996
n39-1	n29	1	0	66	4.927879687499997
n43-1	n33	1	0	66	5.343210468749996
n40-1	n30	1	0	74	4.943905312499997
n44-1	n34	1	0	74	5.361907031249996
n52-1	n35	1	0	62	5.576917499999997
n67-1	n40	1	0	62	6.0269704687499965
n53-1	n39	1	0	65	5.810624531249997
n46-1	n36	1	0	66	5.769224999999997
n47-1	n37	1	0	69	5.791927968749997
n48-1	n38	1	0	77	5.809289062499997
n69-1	n45	1	0	57	6.688027499999996
n68-1	n44	1	0	62	6.465004218749996
n56-1	n41	1	0	63	6.220613437499996
n57-1	n42	1	0	66	6.240645468749997
n58-1	n43	1	0	74	6.264683906249997
n71-1	n52	1	0	55	7.127396718749996
