xml_id	midi_id	track	channel	pitch	onset
n13-1	n0	0	0	62	1.5050732812500003
n14-1	n4	0	0	62	1.95646171875
n2-1	n1	0	0	63	1.7147418750000003
n6-1	n5	0	0	63	2.1180534375
n3-1	n3	0	0	66	1.7334384375000003
n7-1	n6	0	0	66	2.131408125
n4-1	n2	0	0	74	1.7307675000000002
n8-1	n7	0	0	74	2.13274359375
n16-1	n8	0	0	62	2.3424121875
n31-1	n13	0	0	62	2.7590784374999995
n17-1	n10	0	0	65	2.5360551562499998
n10-1	n9	0	0	66	2.5280423437499997
n11-1	n12	0	0	69	2.53872609375
n12-1	n11	0	0	77	2.5360551562499998
n33-1	n18	0	0	57	3.3894196874999993
n32-1	n17	0	0	62	3.1850929687499994
n20-1	n14	0	0	63	2.9447085937499997
n21-1	n15	0	0	66	2.9567278124999996
n22-1	n16	0	0	74	2.9620696874999997
n35-1	n23	0	0	55	3.7847184374999996
n28-1	n25	0	0	56	3.792731249999999
n29-1	n24	0	0	59	3.7887248437499994
n34-1	n19	0	0	60	3.5737143749999993
n25-1	n21	0	0	61	3.5910754687499993
n49-1	n27	0	0	62	4.002399843749999
n26-1	deletion
n30-1	n26	0	0	67	3.7980731249999993
n27-1	n20	0	0	72	3.5817271874999994
n50-1	n31	0	0	62	4.417730624999999
n38-1	n28	0	0	63	4.19871375
n42-1	n32	0	0	63	4.60603171875
n39-1	n29	0	0	66	4.217410312499999
n43-1	n33	0	0	66	4.6233928125
n40-1	n30	0	0	74	4.228094062499999
n44-1	n34	0	0	74	4.6287346875
n52-1	n35	0	0	62	4.8263840625
n67-1	n40	0	0	62	5.277772499999999
n53-1	n39	0	0	65	5.042729999999999
n46-1	n36	0	0	66	5.010678749999999
n47-1	n37	0	0	69	5.024033437499999
n48-1	n38	0	0	77	5.030710781249999
n69-1	n45	0	0	57	5.940165000000004
n68-1	n44	0	0	62	5.698445156250003
n56-1	n41	0	0	63	5.460731718750002
n57-1	n42	0	0	66	5.474086406250001
n58-1	n43	0	0	74	5.4794282812500015
n71-1	n50	0	0	55	6.344812031250003
n64-1	n51	0	0	56	6.350153906250003
n65-1	n52	0	0	59	6.360837656250003
n70-1	n49	0	0	60	6.1418207812500025
n61-1	n48	0	0	61	6.139149843750003
n85-1	n54	0	0	62	6.557151562500001
n74-1	n55	0	0	63	6.7494590625000015
n62-1	deletion
n66-1	n53	0	0	67	6.367515000000003
n63-1	n46	0	0	72	6.115111406250003
n86-1	n58	0	0	62	6.995185312500002
n78-1	n59	0	0	63	7.178144531250003
n75-1	n56	0	0	66	6.768155625000001
n79-1	n60	0	0	66	7.192834687500003
n76-1	n57	0	0	74	6.782845781250001
n80-1	n61	0	0	74	7.204853906250003
n88-1	n62	0	0	62	7.399832343750004
n82-1	n64	0	0	63	7.608165468750005
n83-1	n63	0	0	66	7.606830000000005
n91-1	n66	0	0	69	7.805814843750005
n84-1	n65	0	0	74	7.610836406250004
n100-1	n75	0	0	63	8.45485265625001
n99-1	n74	0	0	65	8.226487500000005
n92-1	n67	0	0	67	8.010141562500005
n97-1	n72	0	0	67	8.128998281250006
n93-1	n68	0	0	69	8.016818906250005
n98-1	n73	0	0	69	8.131669218750005
n94-1	n71	0	0	73	8.074244062500005
n95-1	n70	0	0	75	8.072908593750006
n96-1	n69	0	0	81	8.070237656250006
n107-1	n82	0	0	38	9.119916093750017
n108-1	n81	0	0	45	9.109232343750017
n105-1	n80	0	0	60	8.895557343750014
n101-1	n76	0	0	62	8.609767031250012
n102-1	n77	0	0	66	8.645824687500012
n103-1	n78	0	0	68	8.648495625000011
n104-1	n79	0	0	75	8.659179375000011
n109-1	n84	0	0	50	9.31489453125002
n111-1	n85	0	0	50	9.519221250000024
n110-1	n83	0	0	57	9.312223593750021
n112-1	n86	0	0	57	9.519221250000024
n113-1	n87	0	0	62	9.732896250000026
n114-1	n88	0	0	69	9.736902656250026
n115-1	n90	0	0	62	9.958590468750026
n116-1	n89	0	0	69	9.955919531250027
n121-1	n93	0	0	69	10.388611406250025
n123-1	n95	0	0	69	10.584925312500026
n117-1	deletion
n118-1	n92	0	0	74	10.166923593750026
n119-1	n91	0	0	81	10.164252656250026
n130-1	n102	0	0	63	11.045662031250028
n129-1	n101	0	0	65	10.798600312500023
n122-1	n94	0	0	67	10.582254375000026
n127-1	n100	0	0	67	10.697104687500023
n128-1	n99	0	0	69	10.691762812500023
n124-1	n96	0	0	73	10.622318437500025
n125-1	n98	0	0	75	10.630331250000024
n126-1	n97	0	0	81	10.627660312500025
n137-1	n109	0	0	38	11.686687031250035
n138-1	n108	0	0	45	11.685351562500035
n135-1	n107	0	0	60	11.459657343750031
n131-1	n103	0	0	62	11.20458281250003
n132-1	n104	0	0	66	11.23529859375003
n133-1	n105	0	0	68	11.23663406250003
n134-1	n106	0	0	75	11.23663406250003
n139-1	n111	0	0	50	11.929742343750037
n141-1	n112	0	0	50	12.11136609375004
n140-1	n110	0	0	57	11.919058593750037
n142-1	n113	0	0	57	12.118043437500038
n143-1	n114	0	0	62	12.321034687500042
n144-1	n115	0	0	69	12.323705625000041
n151-1	n121	0	0	38	12.972743437500041
n152-1	n120	0	0	45	12.970072500000041
n145-1	n116	0	0	62	12.52936781250004
n146-1	n117	0	0	69	12.53070328125004
n147-1	deletion
n148-1	n119	0	0	74	12.75506203125004
n149-1	n118	0	0	81	12.74972015625004
n155-1	n124	0	0	38	13.422796406250043
n156-1	n125	0	0	45	13.422796406250043
n153-1	n122	0	0	50	13.211792343750044
n157-1	n126	0	0	50	13.629794062500043
n154-1	n123	0	0	57	13.214463281250044
n158-1	n127	0	0	57	13.637806875000043
n159-1	n128	0	0	38	13.852817343750043
n170-1	n133	0	0	38	14.294857500000042
n160-1	n129	0	0	45	13.854152812500043
n171-1	n132	0	0	45	14.292186562500042
n161-1	n130	0	0	50	14.081182500000043
n162-1	n131	0	0	57	14.082517968750043
n174-1	n137	0	0	38	14.74357500000004
n175-1	n136	0	0	45	14.728884843750041
n172-1	n135	0	0	50	14.513874375000041
n176-1	n139	0	0	50	14.954579062500043
n173-1	n134	0	0	57	14.508532500000042
n177-1	n138	0	0	57	14.947901718750042
n178-1	n140	0	0	38	15.144215625000047
n179-1	n142	0	0	45	15.170925000000047
n199-1	n150	0	0	48	15.706447968750048
n180-1	n146	0	0	50	15.363232500000045
n200-1	n151	0	0	55	15.731821875000046
n164-1	n141	0	0	62	15.144215625000047
n165-1	n143	0	0	69	15.212324531250047
n166-1	n144	0	0	74	15.253724062500046
n167-1	n145	0	0	74	15.361897031250045
n168-1	n147	0	0	75	15.425999531250044
n190-1	deletion
n169-1	n148	0	0	82	15.543520781250047
n191-1	deletion
n182-1	n149	0	0	86	15.701106093750049
n192-1	n156	0	0	63	16.13246250000004
n193-1	n157	0	0	67	16.14581718750004
n203-1	deletion
n195-1	n158	0	0	70	16.292718750000038
n194-1	deletion
n196-1	n159	0	0	75	16.316757187500038
n187-1	n160	0	0	81	16.342131093750037
n186-1	n155	0	0	82	16.11109500000004
n183-1	n152	0	0	84	15.928135781250047
n185-1	n154	0	0	84	16.046992500000044
n184-1	n153	0	0	86	15.996244687500047
n222-1	n167	0	0	48	16.956446718750044
n223-1	n168	0	0	55	16.967130468750042
n202-1	n162	0	0	60	16.73475890625004
