onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.5130861,2.3611088,67,50,0,0,n0,-10.0,-10.0
1.5424664,2.2382457,59,37,0,0,n1,1.527776,0.0
2.1247308,1.6559813,62,31,0,0,n2,1.527776,0.0
2.6442282,1.1364839,43,27,0,0,n3,1.527776,0.0
2.669602,1.11111,59,14,0,0,n4,2.656915,1.0
3.1610546,0.6196575,62,35,0,0,n5,2.656915,1.0
3.6792164,2.2983418,59,33,0,0,n6,2.656915,1.0
3.700584,2.2769742,36,33,0,0,n7,3.6899,2.0
4.178682,1.7988764,69,57,0,0,n8,3.6899,2.0
4.2134037,1.7641542,64,38,0,0,n9,3.6899,2.0
4.682153,1.2954047,66,62,0,0,n10,3.6899,2.0
4.7342367,1.2433214,52,31,0,0,n11,3.6899,2.0
4.751598,1.2259603,59,29,0,0,n12,4.734237,3.0
5.2123346,0.7652236,64,60,0,0,n13,4.734237,3.0
5.746522,2.2689614,62,56,0,0,n14,4.734237,3.0
5.7812443,2.234239,54,35,0,0,n15,5.781244,4.0
5.7932634,2.22222,38,36,0,0,n16,5.781244,4.0
6.255336,1.7601478,59,46,0,0,n17,5.781244,4.0
6.746788,1.2686954,64,60,0,0,n18,5.781244,4.0
6.774833,1.2406504,54,30,0,0,n19,6.774833,5.0
6.8015423,1.2139411,47,24,0,0,n20,6.774833,5.0
7.2275567,0.78792655,66,62,0,0,n21,6.774833,5.0
7.274298,0.7411851,59,40,0,0,n22,6.774833,5.0
7.785783,1.3888875,66,54,0,0,n23,6.774833,5.0
7.8245115,1.3501589,40,35,0,0,n24,7.824511,6.0
7.8258467,1.3488234,55,38,0,0,n25,7.824511,6.0
8.372053,0.8026167,64,51,0,0,n26,7.824511,6.0
8.421466,0.75320435,59,32,0,0,n27,7.824511,6.0
8.906241,1.4663447,64,41,0,0,n28,7.824511,6.0
8.934286,1.4382999,55,34,0,0,n29,8.934286,7.0
8.962331,1.410255,50,33,0,0,n30,8.934286,7.0
9.453783,0.9188025,59,41,0,0,n31,8.934286,7.0
10.094809,4.2775064,71,69,0,0,n32,8.934286,7.0
10.137544,2.1754787,60,42,0,0,n33,10.116176,8.0
10.677073,1.6359493,64,43,0,0,n34,10.116176,8.0
11.163183,1.1498386,60,40,0,0,n35,10.116176,8.0
11.189893,1.1231292,55,41,0,0,n36,11.176538,9.0
11.677339,0.6356831,64,46,0,0,n37,11.176538,9.0
12.1554365,2.2168782,60,40,0,0,n38,11.176538,9.0
12.194165,2.1781495,45,35,0,0,n39,12.174801,10.0
12.6549015,1.7174128,72,66,0,0,n40,12.174801,10.0
12.717669,1.6546458,64,33,0,0,n41,12.174801,10.0
13.138342,1.2339731,69,69,0,0,n42,12.174801,10.0
13.185083,1.1872317,60,30,0,0,n43,13.185083,11.0
